#,category,title,description,measureId,metricType,firstPerformanceYear,lastPerformanceYear,isInverse,overallAlgorithm,submissionMethods,default
11,cost,Acute Kidney Injury Requiring New Inpatient Dialysis,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Acute Kidney Injury Requiring New Inpatient Dialysis episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who receive their first inpatient dialysis service for acute kidney injury during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 30 days after the trigger.",COST_AKID_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-aki-new-hd.pdf
12,cost,Elective Primary Hip Arthroplasty,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Elective Primary Hip Arthroplasty episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who receive an elective primary hip arthroplasty during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 30 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_PHA_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-el-ha.pdf
13,cost,Femoral or Inguinal Hernia Repair,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Femoral or Inguinal Hernia Repair episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo surgical procedure to repair a femoral or inguinal hernia during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 30 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_FIHR_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-fihr.pdf
14,cost,Hemodialysis Access Creation,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Hemodialysis Access Creation episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo a procedure for the creation of graft or fistula access for long-term hemodialysis during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 60 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_HAC_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-hd-access.pdf
15,cost,Inpatient Chronic Obstructive Pulmonary Disease (COPD) Exacerbation,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Inpatient COPD Exacerbation episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who receive inpatient treatment for an acute exacerbation of COPD during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This acute inpatient medical condition measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 60 days after the trigger.",COST_COPDE_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ip-copd.pdf
16,cost,Lower Gastrointestinal Hemorrhage (groups only),"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Lower Gastrointestinal Hemorrhage episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who receive inpatient non-surgical treatment for acute bleeding in the lower gastrointestinal tract during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This acute inpatient medical condition measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 35 days after the trigger.",COST_LGH_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-lgi-bleed.pdf
17,cost,"Lumbar Spine Fusion for Degenerative Disease, 1-3 Levels","Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Lumbar Spine Fusion for Degenerative Disease, 1-3 Levels episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo surgery for lumbar spine fusion during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 30 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_LSFDD_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-l-fusion.pdf
18,cost,"Lumpectomy Partial Mastectomy, Simple Mastectomy","Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Lumpectomy, Partial Mastectomy, Simple Mastectomy episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo partial or total mastectomy for breast cancer during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 30 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_LPMSM_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-lump-mast.pdf
19,cost,Non-Emergent Coronary Artery Bypass Graft (CABG),"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Non-Emergent CABG episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo a CABG procedure during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 30 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_NECABG_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ne-cabg.pdf
20,cost,Renal or Ureteral Stone Surgical Treatment,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized1 Medicare allowed amount,2 and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. The Renal or Ureteral Stone Surgical Treatment episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for beneficiaries who receive surgical treatment for renal or ureteral stones during the performance period. The cost measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 90 days prior to the clinical event that opens, or “triggers,” the episode through 30 days after the trigger.",COST_RUSST_1,costScore,2020,null,TRUE,null,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-rn-stone.pdf
