QCDR Name,Measure ID,Measure Title,Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Number of performance rates to be submitted                                                  ,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year
AAD’s DataDerm™,AAD6,Skin Cancer: Biopsy Reporting Time - Clinician to Patient," Percentage of patients with skin biopsy specimens with a diagnosis of cutaneous basal or squamous cell carcinoma or melanoma (including in situ disease) or primary cutaneous malignancies who are notified of their final biopsy pathology findings within less than or equal to 14 days from the time the biopsy was performed.

Performance Rate Descriptions:

simple average of the performance rates",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,AAD’s DataDerm™,2020
AAD’s DataDerm™,AAD7,Psoriasis: Screening for Psoriatic Arthritis,"Percentage of patients with diagnosis of psoriasis who are screened for psoriatic arthritis at each visit.

Performance Rate Descriptions:

simple average of the performance rates",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,N/A,No,AAD’s DataDerm™,2020
AAD’s DataDerm™,AAD8,Chronic Skin Conditions: Patient Reported Quality-of-Life,"The percentage of patients aged 18 years and older with a chronic skin condition whose self-assessed quality-of-life was recorded at least once in the medical record within the measurement period.

Performance Rate Descriptions:

simple average of the performance rates",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,N/A,No,AAD’s DataDerm™,2020
AAD’s DataDerm™,AAD9,Psoriasis – Improvement in Patient-Reported Itch Severity,"The percentage of patients, aged 18 years and older, with a diagnosis of psoriasis where at an initial (index) visit have a patient reported itch severity assessment performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.

Performance Rate Descriptions:

simple average of the performance rates",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,AAD’s DataDerm™,2020
AAD’s DataDerm™,ACMS1,Adherence to Mohs Micrographic Surgery Appropriate Use Criteria,"Percentage of Mohs micrographic surgery cases that meet criteria according to published Mohs surgery appropriate use criteria (AUC) guidelines.

",N/A,Efficiency and Cost Reduction,Yes,Efficiency and Cost/Resource Use,No,Yes,No,No,1,N/A,No,MohsAIQ,2019
AAD’s DataDerm™,ASPS21,Continuation of Anticoagulation Therapy in the Office-based Setting for Reconstruction After Skin Cancer Resection Procedures,"Percentage of patients aged 18 and older on prescribed anticoagulation therapy who underwent reconstruction after skin cancer resection in the office-based setting for whom anticoagulant therapy was continued prior to surgery

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,ASPS TOPS-QCDR,2020
AAD’s DataDerm™,ASPS23,Avoidance of Opioid Prescriptions for Reconstruction After Skin Cancer Resection,"Percentage of patients aged 18 and older who underwent reconstruction after skin cancer resection who were prescribed opioid/narcotic therapy* as first line therapy (as defined by a prescription in anticipation of or at time of surgery) by the reconstructing surgeon for post-operative pain management. (Inverse measure)

",N/A,Patient Safety,Yes,Process,Yes,Yes,No,No,1,N/A,No,ASPS TOPS-QCDR,2020
AAD’s DataDerm™,ASPS25,Avoidance of Post-operative Systemic Antibiotics for Office-based Reconstruction After Skin Cancer Resection Procedures,"Percentage of patients aged 18 and older who underwent reconstruction after skin cancer resection in the office-based* setting who were prescribed post-operative systemic antibiotics to be taken immediately following reconstruction surgery (inverse measure)

",N/A,Effective Clinical Care,Yes,Process,Yes,Yes,No,No,1,N/A,No,ASPS TOPS-QCDR,2020
AAOS Orthopaedic Quality Resource Center,AJRR3,Hip Arthroplasty: Shared Decision-Making: Trial of Conservative (Non-surgical) Therapy,"Percentage of patients undergoing a hip arthroplasty with documented shared decision-making including discussion of conservative (non-surgical) therapy (e.g. NSAIDs, analgesics, weight loss, exercise, injections) prior to the procedure.

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,AAOS Orthopaedic Quality Resource Center,2016
AAOS Orthopaedic Quality Resource Center,AJRR4,Hip Arthroplasty: Venous Thromboembolic and Cardiovascular Risk Evaluation,"Percentage of patients undergoing a hip arthroplasty who are evaluated for the presence or absence of cardiovascular risk factors within 30 days prior to the procedure (e.g. history of deep venous thrombosis (DVT), pulmonary embolism (PE), myocardial infarction (MI), arrhythmia, and stroke).

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,AAOS Orthopaedic Quality Resource Center,2016
ABFM PRIME,ABFM10,Person-Centered Primary Care Measure Performance Measure (PCPCM-PM),"The Person-Centered Primary Care Measure Performance Measure (PCPCM-PM) utilizes the PCPCM (a comprehensive and parsimonious set of 11 patient-reported items) to assess the broad scope of primary care.
PCPCM PROM
1. My practice makes it easy for me to get care.
Definitely		Mostly		Somewhat		Not at all
2. My practice is able to provide most of my care.
Definitely		Mostly		Somewhat		Not at all
3. In caring for me, my doctor considers all the factors that affect my health.
Definitely		Mostly		Somewhat		Not at all
4. My practice coordinates the care I get from multiple places.
Definitely		Mostly		Somewhat		Not at all
5. My doctor or practice knows me as a person.
Definitely		Mostly		Somewhat		Not at all
6. My doctor and I have been through a lot together.
Definitely		Mostly		Somewhat		Not at all
7. My doctor or practice stands up for me.
Definitely		Mostly		Somewhat		Not at all
8. The care I get takes into account knowledge of my family.
Definitely		Mostly		Somewhat		Not at all
9. The care I get in this practice is informed by knowledge of my community.
Definitely		Mostly		Somewhat		Not at all
10. Over time, my practice helps me to stay healthy.
Definitely		Mostly		Somewhat		Not at all
11. Over time, my practice helps me to meet my goals.
Definitely		Mostly		Somewhat		Not at all

Performance Rate Descriptions:

Total Mean Score will be the reported performance score translated into a percentage. Higher score indicates better quality. Calculation method: Individual item scores reported as average of patient responses on 1-4 scale. Summary score is sum of individual item scores divided by the number of items answered and translated into a percentage. If fewer than 8 items are answered, omit this patient’s responses from PCPCM-PM calculation.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,ABFM PRIME,2020
ABFM PRIME,ABFM2,Patients Admitted to ICU who Have Care Preferences Documented,"Percentage of adult 18 and older patients admitted to ICU who receive palliative care and survive at least 2 days who have their care preferences documented within 2 days OR documentation as to why this was not done.

Performance Rate Descriptions:

Patients in the denominator who had their care preferences documented within 2 days of ICU palliative care initial visit or have documentation of why this was not done.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,ABFM PRIME,2018
ABFM PRIME,ABFM3,Patients Treated with an Opioid Who Are Given a Bowel Regimen,"Percentage of adults 18 and older treated with an opioid that are offered/prescribed a bowel regimen during the same visit or documentation of reason for why this was not needed.

Performance Rate Descriptions:

Patients where a bowel regimen was offered/prescribed, or documentation as to why this was not needed.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,ABFM PRIME,2018
ABFM PRIME,ABFM5,Palliative Care—Treatment Preferences,"The percentage of adult patients 18 and older with documentation of preferences for life-sustaining treatments within the first three visits

Performance Rate Descriptions:

Patients who have documentation of preferences for life-sustaining treatments within the first three visits",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,ABFM PRIME,2018
ABFM PRIME,ABFM6,Palliative Care Timely Dyspnea Screening & Treatment,"Percentage of palliative care adult patients 18 years and older who were screened for dyspnea during the initial palliative care encounter or documentation that a screening was attempted AND for those with moderate/severe dyspnea or who are uncomfortable due to dyspnea who receive treatment within 1 day of screening.

Performance Rate Descriptions:

Patients who screened for dyspnea and if positive for dyspnea received treatment within 1 day of screening.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,ABFM PRIME,2018
ABFM PRIME,ABFM7,Pain Brought Under Control within the first three visits,"Percent of patients 18 and older who report being uncomfortable because of pain at the initial palliative care assessment who report pain was brought to a comfortable level (e.g. “Comfortable? Yes/No”, “mild” or pain score < 4) within the first three visits

Performance Rate Descriptions:

Patients whose pain was brought to a comfortable level (answered “comfortable”, qualitatively “mild” or numerical pain score <4) within the first three visits",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,N/A,No,ABFM PRIME,2018
ABFM PRIME,ABFM9,Measuring the Value-Functions of Primary Care: Provider Level Continuity Measure,"Bice-Boxerman Continuity of Care Primary Care Physician Measure (BB-COC-PC).

At a patient-level, BB-COC is a measure that considers the dispersion of primary care visits across providers, such that patients with higher scores have most of their primary care visits to the same provider or a small number of providers while those lower scores see a larger number providers. Formally, an individual BB-COC score is calculated as follows:

BB-COC=(∑_(i=1)^k n_i^2 -N)/(N(N-1)) (1)

where k is the number of providers, n_i is the number of visits to provider i, and N is the total number of visits. (Note that it is necessary that the patient has at least two visits.)
We will calculate the physician-level continuity measure for all patients as follows:

BB-COC-PC=(∑_1^k 〖((BB-COC)(n_k ))〗)/(N*(n_k)) (2)

Where BB-COC is the individual patient continuity score, n is number of total primary care visits for patient k during the study period, and N is the total number of patients seen by the physicians during the study period. This approach gives greater weight to patients with more visits.

",N/A,Communication and Care Coordination,Yes,Structure,No,Yes,No,No,1,N/A,No,ABFM PRIME,2020
ABG QCDR,ABG16,Planned use of difficult airway equipment,"For all patients on whom difficult airway equipment is used in the operating room/procedure room during an anesthetic, the rate with which it's use is planned ahead of time for either therapeutic or educational purposes.

The definition of difficult airway equipment for this measure excludes stylets and/or bougies unless they have been modified to include a light source or some other mechanical addition to manipulate their placement.

",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,No,ABG QCDR,2016
ABG QCDR,ABG38,Second provider present for induction/intubation of known or suspected difficult airway,"In adult patients with a known or suspected difficult airway, presence of a dedicated second provider at induction of general endotracheal anesthesia who can serve as an assistant for management of a difficult airway.

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,ABG QCDR,2019
ABG QCDR,AQI18,Coronary Artery Bypass Graft (CABG): Prolonged Intubation – Inverse Measure,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require postoperative intubation > 24 hours

Performance Rate Descriptions:

This measure has a single performance rate which describes the percentage of CABG patients who experience prolonged intubation",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2016
ABG QCDR,AQI48,Patient-Reported Experience with Anesthesia,"Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care and who reported a positive experience.

This measure will consist of two performance rates:

AQI48a: Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care
AQI48b: Percentage of patients, aged 18 and older, who completed a survey on their patient experience and satisfaction with anesthesia care who report a positive experience with anesthesia care

NOTE: The measure requires that a valid survey, as defined in the numerator of AQI48a, be sent to patients between discharge from the facility and within 30 days of facility discharge. To report AQI48b, a minimum number of 20 surveys with the mandatory question completed must be reported. ** In order to be scored on this measure, clinicians must report BOTH AQI48a AND AQI48b.

Performance Rate Descriptions:

This measure has two performance rates. The first performance rate, AQI48a, describes the percentage of surgical patients who receive a survey of their experience with anesthesia care. The second performance rate, AQI48b, describes the percentage of surgical patients who report a positive experience with anesthesia care.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2017
ABG QCDR,AQI55,Team-Based Implementation of a Care-and-Communication Bundle for ICU Patients,"Percentage of patients, regardless of age, who are admitted to an intensive care unit (ICU) for ≥48 hours and who received critical care services who have documentation by managing physician of 1) attempted or actual identification of a surrogate decision maker, 2) an advance directive, and 3) the patient’s preference for cardiopulmonary resuscitation, within 48 hours of ICU admission

Performance Rate Descriptions:

This measure has a single performance rate which describes the percentage of ICU patients whose end-of-life preferences are addressed",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI56,Use of Neuraxial Techniques and/or Peripheral Nerve Blocks for Total Knee Arthroplasty (TKA),"Percentage of patients, regardless of age, that undergo primary total knee arthroplasty for whom neuraxial anesthesia and/or a peripheral nerve block is performed

Performance Rate Descriptions:

This measure consists of a single performance rate that describes the percentage of total knee arthroplasty patients for whom neuraxial techniques are used.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI57,Safe Opioid Prescribing Practices,"Percentage of patients, aged 18 years and older, prescribed opioid medications for longer than six weeks’ duration for whom ALL of the following opioid prescribing best practices are followed:

1. Chemical dependency screening (includes laboratory testing and/or questionnaire) within the immediate 6 months prior to the encounter
2. Co-prescription of naloxone or documented discussion regarding offer of Naloxone co-prescription, if prescription is ≥50 MME/day
3. Non co-prescription of benzodiazepine medications by prescribing pain physician and documentation of a discussion with patient regarding risks of concomitant use of benzodiazepine and opioid medications.

Performance Rate Descriptions:

This measure consists of a single performance rate that describes the percentage of patients prescribed long-term opioids with recommended safe opioid prescribing practices.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI58,Infection Control Practices for Open Interventional Pain Procedures,"Percentage of patients, regardless of age, that undergo an open interventional pain procedure for whom ALL of the following infection control best practices are followed by anesthesiologist(s) and scrub technologist(s), in addition to standard sterile technique:
1. Double gloving (two pairs of sterile gloves are worn)
2. Chlorhexidine with alcohol used for surgical site preparation
3. Weight-based preoperative antibiotic dosing and, if indicated by procedure duration, weight-based re-dosing
4. Administration of pre-operative antibiotics within 1 hour, or 2 hours for vancomycin, prior to surgical incision

Performance Rate Descriptions:

This measure consists of a single performance rate that describes the percentage of open pain procedure patients for whom appropriate infection prevention protocols are used.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI61,Ambulatory Post-Discharge Patient Follow-Up,"Percentage of patients, regardless of age, who received anesthesia services in an ambulatory setting whose post-discharge status was assessed within 72 hours of discharge

Performance Rate Descriptions:

This measure has a single performance rate that describes the percentage of ambulatory surgical patients who receive post-discharge follow-up.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI62,Obstructive Sleep Apnea: Patient Education,"Percentage of patients aged 18 years or older, who undergo an elective procedure requiring anesthesia services who are screened for obstructive sleep apnea (OSA) AND, if positive, have documentation that they received education regarding their risk for OSA prior to PACU discharge

Performance Rate Descriptions:

This measure has a single performance rate that describes the percentage of surgical patients who are screened for OSA and educated on their condition.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI67,Consultation for Frail Patients,"Percentage of patients aged 70 years or older, who undergo an inpatient procedure requiring anesthesia services and have a positive frailty screening result who receive a multidisciplinary consult or care during the hospital encounter

Performance Rate Descriptions:

This measure has a single performance rate that describes the percentage of frail surgical patients who receive a multidisciplinary consult.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI68,Obstructive Sleep Apnea: Mitigation Strategies,"Percentage of patients aged 18 years or older, who undergo an elective procedure requiring anesthesia services who are screened for obstructive sleep apnea (OSA) AND, if positive, for whom two or more selected mitigation strategies was used prior to PACU discharge

Performance Rate Descriptions:

This measure consists of a single performance rate that describes the percentage of surgical patients who are screened for obstructive sleep apnea and for whom their anesthesia care is modified based on the results.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2020
ACEP's Clinical Emergency Data Registry (CEDR),ACEP19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,"Percentage of emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who have an indication for a head CT

",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2016
ACEP's Clinical Emergency Data Registry (CEDR),ACEP20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,"Percentage of emergency department visits for patients aged 2 through 17 years who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who are classified as low risk according to the PECARN prediction rules for traumatic brain injury

",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2016
ACEP's Clinical Emergency Data Registry (CEDR),ACEP21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,"Percentage of emergency department visits for patients aged 18 years and older with an emergency department discharge diagnosis of chest pain during which coagulation studies were ordered by an emergency care provider

",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2016
ACEP's Clinical Emergency Data Registry (CEDR),ACEP22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,"Percentage of emergency department visits during which patients aged 18 years and older had a CT pulmonary angiogram (CTPA) ordered by an emergency care provider, regardless of discharge disposition, with either moderate or high pre-test clinical probability for pulmonary embolism OR positive result or elevated D-dimer level

",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2016
ACEP's Clinical Emergency Data Registry (CEDR),ACEP25,Tobacco Use: Screening and Cessation Intervention for Patients with Asthma and COPD,"Percentage of patients aged 18 years and older with a diagnosis of asthma or COPD seen in the ED who were screened for tobacco use during any ED encounter AND who received tobacco cessation intervention if identified as a tobacco user

",N/A,Community/Population Health,No,Process,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2016
ACEP's Clinical Emergency Data Registry (CEDR),ACEP30,Sepsis Management: Septic Shock: Lactate Clearance Rate of ≥ 10%,"Percentage of emergency department visits for patients aged 18 years and older with septic shock who had an elevated serum lactate result (>2mmol/L) and a subsequent serum lactate level measurement performed following the elevated serum lactate result with a lactate clearance rate of ≥ 10% during the emergency department visit

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2016
ACEP's Clinical Emergency Data Registry (CEDR),ACEP31,Appropriate Foley catheter use in the emergency department,"Percentage of emergency department (ED) visits for admitted patients aged 18 years and older where an indwelling Foley catheter is ordered and the patient had at least one indication for an indwelling Foley catheter

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2016
ACEP's Clinical Emergency Data Registry (CEDR),ACEP48,"Sepsis Management: Septic Shock: Lactate Level Measurement, Antibiotics Ordered, and Fluid Resuscitation","Percentage of emergency department visits resulting in hospital admission for patients aged 18 years and older with septic shock who had an order for all the following during the emergency department visit: a serum lactate level, antibiotics, and >1L of crystalloids

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
ACEP's Clinical Emergency Data Registry (CEDR),ACEP50,ED Median Time from ED arrival to ED departure for discharged ED patients for Adult Patients,"Time (in minutes) from ED arrival to ED departure for discharged patients for Adult Patients

",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,Yes,No,Yes,No,1,N/A,Yes,ACEP's Clinical Emergency Data Registry (CEDR),2020
ACEP's Clinical Emergency Data Registry (CEDR),ACEP51,ED Median Time from ED arrival to ED departure for discharged ED patients for Pediatric Patients,"Time (in minutes) from ED arrival to ED departure for discharged patients for Pediatric Patients

",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,Yes,No,Yes,No,1,N/A,Yes,ACEP's Clinical Emergency Data Registry (CEDR),2020
ACEP's Clinical Emergency Data Registry (CEDR),ACEP52,Appropriate Emergency Department Utilization of Lumbar Spine Imaging for Atraumatic Low Back Pain,"Percentage of emergency department visits during which patients aged 18 years and older had a CT or MRI of the Lumbar Spine ordered by an emergency care provider, regardless of discharge disposition, presenting with acute, non-complex low back pain.

",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2020
ACEP's Clinical Emergency Data Registry (CEDR),ACEP53,Appropriate Use of Imaging for Recurrent Renal Colic,"Percentage of emergency department (ED) visits for patients aged 18-50 years presenting with flank pain with a history of kidney stones during which no imaging is ordered, OR appropriate imaging (ie, plain film radiography or ultrasound) is ordered.

",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,No,ACEP's Clinical Emergency Data Registry (CEDR),2020
ACEP's Clinical Emergency Data Registry (CEDR),ECPR39,Avoid Head CT for Patients with Uncomplicated Syncope,"Percentage of Adult Syncope Patients Who Did Not Receive a Head CT Scan Ordered by the Provider

",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,No,E-CPR (Emergency - Clinical Performance Registry),2016
ACEP's Clinical Emergency Data Registry (CEDR),ECPR40,Initiation of the Initial Sepsis Bundle,"Percentage of Adult Emergency Department Patients Diagnosed with Severe Sepsis or Septic Shock That Have Initiation of the Initial Sepsis Bundle

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,E-CPR (Emergency - Clinical Performance Registry),2016
