Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted ,
QCDR,Patient Reported Trust in Provider,,,,ECPR59,E-CPR (Emergency - Clinical Performance Registry),"1718371, 4757099, 8483899, 1725296",Percentage of Adult Patients Who Completed a Survey Regarding Their Care Visit Who Reported They Would Trust the Doctor/Provider to Care for their Friends/Family,Patient Engagement/Experience,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,,,,,EPREOP30,,"6775913, 7418330",,,,,,,,,,,,,,,
QCDR,Intraoperative Hypotension (IOH) among Non-Emergent Noncardiac Surgical Cases,,,,EPREOP31,,,"Percentage of general, neuraxial, or regional anesthesia care cases in which the mean arterial pressure (MAP) fell below 65 mmHg for a cumulative total of 15 minutes or more",,,,,,,,,,,,,,
QCDR,,,,,FOTO4,,,"This is a patient-reported outcome performance measure (PRO-PM) consisting of a patient-reported outcome measure (PROM) of risk-adjusted change in functional status (FS) for patients aged 14 years and older with lymphedema or other causes of edema. 
For patients with such conditions affecting the arm, hand, chest, or breast body regions, the change in FS is assessed using the FOTO Upper Quadrant Edema (UQE) FS PROM.  For patients with such conditions affecting the leg, foot, groin, or lower trunk regions, the change in FS is assessed using the FOTO Lower Quadrant Edema (LQE) FS PROM. 
PROM scores were scaled to the 0-100 metric, with higher scores representing higher perceived FS. To fairly measure performance between providers, the measure is risk-adjusted to patient characteristics known to be associated with FS outcomes and used as a performance measure at the patient and provider levels to assess quality.",,,,,,,,,,,,,,
QCDR,,,,,FOTO5,,,"This is a patient-reported outcome performance measure (PRO-PM) consisting of a patient-reported outcome measure (PROM) of risk-adjusted functional status (FS) change in balance confidence for patients aged 14+ with balance impairments. The change in FS is assessed using the FOTO Balance Confidence, an item-response theory-based PROM derived from the 16-items of the Activities-specific Balance Confidence (ABC) Scale©, (1-3) scored using the T-score metric (mean=50, SD=10), with higher scores representing higher balance confidence. (4) 
Patient responses to ABC Scale© items may be used to directly score Balance Confidence PROM, thus allowing clinicians flexibility of choice of PROM used in routine clinical care without adding to patient response burden. In order to fairly measure performance between providers, this quality measure is risk-adjusted to patient characteristics known to be associated with FS outcomes and used as a performance measure at the patient and provider levels to assess quality.",,,,,,,,,,,,,,
QCDR,,,,,FOTO6,,,"This is a patient-reported outcome performance measure (PRO-PM) consisting of a patient-reported outcome measure (PROM) of risk-adjusted functional status (FS) change for patients aged 14 years and older with vestibular and other dizziness-related impairments. The change in FS is assessed using the FOTO Dizziness Positional Status (DPS) or Dizziness Functional Status (DFS) PROM; these are item-response theory-based PROMs developed using items from the Dizziness Handicap Inventory (DHI), scored using the T-score metric (mean=50, SD=10), with higher scores representing better FS. (1 )
The DPS and DFS measure separate domains represented within DHI items.  The DPS score will be applied to this quality measure for patients with a statistically derived DPS cut-score (T-score) of 55 or lower; the DFS score will be applied for patients with a DPS T-score of greater than 55 at initial evaluation.  This approach is consistent with clinical and research observations that two types of vestibular impairments, positional- and functional-dominant, have distinctly different clinical presentations and expected outcomes.  
Using a single PROM score derived from all 25 DHI items is not recommended due to score validity weaknesses. (2-5 Robust analyses using extensive exploratory and confirmatory factor analyses based on over 28,000 episodes of care determined the DHI items represent multiple domains that are different from those originally hypothesized, (6) thus using a single overall score would pose a threat to validity. However, patient responses to DHI items may be used to directly score the DPS and DFS, thus allowing clinicians greater flexibility of choice of PROM used in routine clinical care without adding to clinician nor patient burden.
To fairly measure performance between providers, this quality measure is risk-adjusted to patient characteristics known to be associated with FS outcomes and used as a performance measure at the patient and provider levels to assess quality.",,,,,,,,,,,,,,
QCDR,,,,,FOTO7,,,"This is a patient-reported outcome performance measure (PRO-PM) consisting of a patient-reported outcome measure (PROM) of risk-adjusted change in functional status (FS) for patients aged 14 years and older who have experienced a stroke with sequelae impacting physical functional abilities. For patients with such conditions affecting use of the hand, arm, and upper trunk, the change in FS is assessed using the FOTO Stroke Upper Extremity (SUE) FS PROM. (1) For patients with such conditions affecting the foot, leg, and lower trunk, the change in FS is assessed using the FOTO Stroke Lower Extremity (SLE) FS PROM. (1) PROM cores were scaled to the 0-100 metric, with higher scores representing higher perceived functional status. In order to fairly measure performance between providers, the measure is risk-adjusted to patient characteristics known to be associated with FS outcomes and used as a performance measure (PM) at the patient and provider levels to assess quality.",,,,,,,,,,,,,,
QCDR,,,,,GIQIC10,,,,,,,2024,,,,,,,,,,
QCDR,,,,,GIQIC23,,5846856,,,,,,,,,,,,,,,
QCDR,,,,,GIQIC24,,,,,,,2024,,,,,,,,,,
QCDR,,,,,GIQIC25,,,,,,,2024,,,,,,,,,,
QCDR,Screening Colonoscopy Adenoma Detection Rate,,,,GIQIC26,GIQuIC,5846856,The percentage of patients aged 45 to 75 years with at least one conventional adenoma or colorectal cancer detected during screening colonoscopy,Outcome,Y,2024,,QCDR,,N,multiPerformanceRate,simpleAverage,,,,N,
QCDR,,,,,HCPR16,,,,,,,2024,,,,,,,,,,
QCDR,,,,,HCPR17,,,,,,,2024,,,,,,,,,,
QCDR,,,,,HCPR20,,"4757099, 8483899, 1725296, 5133825",,,,,,,,,,,,,,,
QCDR,Physician’s Orders for Life-Sustaining Treatment (POLST) Form,,,,HCPR25,H-CPR (Hospitalist ÐClinical Performance Registry),"4757099, 8483899, 1725296",Percentage of Patients Greater Than or Equal to 65 Years of Age with Physician’s Orders for Life-Sustaining Treatment (POLST) Forms Completed,Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Heart Failure (HF): SGLT-2 Inhibitor Therapy for Left Ventricular Systolic Dysfunction (LVSD),,,,HCPR26,H-CPR (Hospitalist –Clinical Performance Registry),"4757099, 8483899",Percentage of Patients Aged 18 years and Older with a Diagnosis of Heart Failure (HF) With a Current or Prior Left Ventricular Ejection Fraction (LVEF) Less Than or Equal to 40% Who Were Prescribed SGLT-2 Inhibitor Therapy at Hospital Discharge.,Process,N,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Point-of-Care Ultrasound: Evaluation for Pneumothorax after Central Venous Catheter (CVC) Placement,,,,HCPR27,H-CPR (Hospitalist –Clinical Performance Registry),"8483899, 4757099, 1725296",Percentage of Patients Aged 18 years and Older Who Undergo Central Venous Catheter (CVC) Insertion for Whom Point-of-Care Ultrasound Was Performed to Evaluate for Pneumothorax.,Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,,,,,HM7,,"7037323, 3471690, 3565744, 3967247",,,,,,,,,,,,,,N,
QCDR,,,,,IRIS41,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS43,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS44,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS46,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS48,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS49,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS51,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS53,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS55,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS56,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS57,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS59,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS6,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IRIS60,,,,,,,2024,,,,,,,,,,
QCDR,Visual Acuity Improvement Following Cataract Surgery and Minimally Invasive Glaucoma Surgery,,,,IRIS61,American Academy of Ophthalmology IRIS¨ Registry (Intelligent Research in Sight),3927141,Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract who had cataract surgery and minimally invasive glaucoma surgery and achieved 20/30 best-corrected distance visual acuity or better within 4 months following the cataract surgery.,Outcome,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Regaining Vision After Cataract Surgery,,,,IRIS62,American Academy of Ophthalmology IRIS¨ Registry (Intelligent Research in Sight),3927141,Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract and comorbidities and pre-operative visual acuity of 20/400 or worse who had cataract surgery and an improvement in best-corrected distance visual acuity within 30 days following the cataract surgery,Outcome,Y,2024,,QCDR,,N,singlePerformanceRate, overallStratumOnly,,,,N,
QCDR,,,,,IROMS11,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS12,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS13,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS14,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS16,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS17,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS18,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS19,,,,,,,2024,,,,,,,,,,
QCDR,,,,,IROMS20,,,,,,,2024,,,,,,,,,,
QCDR,,,,,KEET01,,,,,,,2024,,,,,,,,,,
QCDR,,,,,LMBR1,,,,,,,2024,,,,,,,,,,
QCDR,,,,,LMBR10,,,,,,,2024,,,,,,,,,,
QCDR,,,,,LMBR2,,,,,,,2024,,,,,,,,,,
QCDR,,,,,LMBR3,,,,,,,2024,,,,,,,,,,
QCDR,,,,,LMBR4,,,,,,,2024,,,,,,,,,,
QCDR,,,,,LMBR5,,,,,,,2024,,,,,,,,,,
QCDR,,,,,LMBR6,,,,,,,2024,,,,,,,,,,
