Vendor ID,measureId,title,description,NQS Domain ,Numerator,Denominator,Denominator Exclusions ,Denominator Exceptions ,Numerator Exclusions ,Number of performance rates to be  submitted                                                  ,"Indicate an Overall Performance Rate if more than 1 performance rate is to be submitted.                                        Specify which of the submitted rates will represent an overall performance rate for the measure or how an overall performance rate could be calculated based on the data submitted [for example, simple average of the performance rates submitted or weighted average (sum of the numerators divided by the sum of the denominators), etc.]                                                           (REQUIRED)",measureType,High Priority,Outcome,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Is the Measure Risk-Adjusted   ,Primary Steward,nqfId,firstPerformanceYear
4649789,AAD3,Basal Cell Carcinoma/Squamous Cell Carcinoma: Mohs Surgery for Superficial Basal Cell Carcinoma of the Trunk for Immune Competent Patients,"The percentage of immune‐competent patients with pathologically‐proven primary superficial basal cell carcinoma (BCC) lesions on the trunk (chest, back, abdomen) who are treated with Mohs surgery. ",Efficiency and Cost Reduction,Number of patients with pathologically‐proven primary superficial BCC of the trunk treated by the provider utilizing Mohs surgery [CPT 17313] ,"All pathologically-proven primary superficial basal cell carcinoma (BCC) lesions on the trunk (chest, back, abdomen) on immune-competent patients aged 18 and older treated by the provider within the performance period. ","Patients whose immune system is compromised by disease or active treatment of disease.
Examples of immunocompromised patients include but are not limited to HIV, organ transplant, hematologic malignancy, or pharmacologic immunosuppression.
",None,"Tumors that have a pathologically documented mixed histology including a more aggressive histologic subtype, or a more aggressive tumor is found on any stage if Mohs surgery is performed.
Examples of pathology report documentation for this exclusion include but are not limited to:
o Pathology report states that it cannot exclude a deeper or more aggressive tumor histology for any reason other than because it is a partial biopsy sample
o Pathology report states that there is a collision tumor with another tumor that has a more aggressive histology",1,N/A,Process,High Priority,N/A,Y,Y,N,N,N,AAD'S DataDerm,N/A,2017
4649789,AAD4,Basal Cell Carcinoma/Squamous Cell Carcinoma: Mohs Surgery for Squamous Cell Carcinoma in Situ or Keratoacanthoma Type Squamous Cell Carcinoma 1 cm or Smaller on the Trunk,"The percentage of immune‐competent patients with pathologically‐proven primary squamous carcinoma in situ (SCCis) lesions of any size on the trunk (chest, back, abdomen) or keratoacanthoma type squamous cell carcinoma (SCC‐KA) lesions 1 cm or smaller on the trunk (chest, back, abdomen) who are treated with Mohs surgery. ",Efficiency and Cost Reduction,Number of patients with pathologically‐proven primary SCCis or SCC‐KA lesions of the trunk treated by the provider utilizing Mohs surgery [CPT 17313] ,"All pathologically-proven primary SCCis or SCC-KA lesions on the trunk (chest, back, abdomen) that are 1 cm or smaller in immunocompetent patients aged 18 and older treated by the provider within the performance period. ",1) Patients whose immune system is compromised by disease or active treatment of disease. 2) Patients who have a genetic syndrome that increases their risk for skin cancer due to decreased immune response or abnormalities in the skin cell cycle. 3) Tumors in areas of previous radiation therapy. ,None,"Squamous cell carcinoma in situ (SCCis) tumors that have pathologically documented areas of dermal invasion, or dermal invasion is found on any stage if Mohs surgery is performed.
Examples of pathology report documentation for this exclusion include but are not limited to:
o Pathology report states that it cannot exclude a deeper or more aggressive tumor histology for any reason other than because it is a partial biopsy sample
o Pathology report states that there is a collision tumor with another tumor that has a more aggressive histology",1,N/A,Process,High Priority,N/A,Y,Y,N,N,N,AAD'S DataDerm,N/A,2017
4649789,AAD5,Biopsy: Reporting Time - Clinician to Patient,Percentage of patients with skin biopsy specimens with a diagnosis of cutaneous basal or squamous cell carcinoma (including in situ disease) who are notified of their final biopsy pathology findings within less than or equal to 14 days from the time the biopsy was performed. ,Communication and Care Coordination,Number of cutaneous biopsies by the clinician consistent with basal cell carcinoma or squamous cell carcinoma (to include in situ disease) for which the patient was notified of their final biopsy pathology findings within less than or equal to 14  days from the time when the biopsy was performed. ,All cutaneous biopsies on patients aged 18 and older by the clinician consistent with cutaneous basal or squamous cell carcinoma (including in situ disease). ,Pathology reports for tissue specimens produced from excision. ,None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,AAD'S DataDerm,N/A,2017
8933551,AAN1,Diabetes/Pre-Diabetes Screening for Patients with DSP,"Percentage of patients age 18 years and older with a diagnosis of distal symmetric
polyneuropathy who had screening tests for diabetes (eg fasting blood sugar test, a hemoglobin
A1C, or a 2 hour Glucose Tolerance Test) reviewed, requested or ordered when seen for an
initial evaluation for distal symmetric polyneuropathy.",Effective Clinical Care,"Patients who had screening tests for diabetes (eg, fasting blood sugar testing,
hemoglobin A1C, or a 2 hour Glucose Tolerance Test) reviewed, requested,
or ordered when seen for an initial evaluation for distal symmetric
polyneuropathy.","All patients age 18 years and older with a diagnosis of distal symmetric
polyneuropathy seen for an initial evaluation of distal symmetric
polyneuropathy.",None,"• Documentation of a medical reason for not reviewing, requesting or
ordering diabetes screening tests (eg patient has a diagnosis of
diabetes, patient has a known medical condition to cause neuropathy,
patient had previous diabetes screening)
• Documentation of a patient reason for not reviewing, requesting or
ordering diabetes screening tests (eg, patient declines to undergo
testing)
• Documentation of a system reason for not reviewing, requesting or
ordering diabetes screening tests (eg patient does not have insurance
to pay for testing)",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
8933551,AAN10,Falls screening (aggregation of AAN disease specific falls measures),"Percentage of patients with Parkinson’s disease, multiple sclerosis, distal symmetric polyneuropathy, ALS, epilepsy, dementia who were screened for falls at least annually and counseling provided on falls prevention for those with 2 or more falls or 1 fall with injury",Patient Safety,"Percentage of patients with Parkinson’s disease, multiple sclerosis, distal symmetric polyneuropathy, ALS, epilepsy, dementia who were screened for falls at least annually and counseling provided on falls prevention for those with 2 or more falls or 1 fall with injury","Patients with a current diagnosis of Parkinson's disease, multiple sclerosis,
distal symmetric polyneuropathy, ALS, epilepsy, dementia","• Documentation of medical reason for not querying a patient (or caregiver) about falls (e.g.,
patient is unable to respond and no informant is available, patient is cognitively impaired and
unable to communicate, patient is non-ambulatory)
• Documentation of a patient reason for not querying the patient about falls (e.g. patient
declines to answer the query about falls) ",None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
8933551,AAN11,Overuse of barbiturate and opioid containing medications for primary headache disorders ,"Percentage of patients age 12 years and older with a diagnosis of primary headache who were prescribed opioid or barbiturate containing medications assessed for medication overuse headache within the 12-month measurement period, and if identified as overusing opioid or barbiturate containing medication, treated or referred for treatment.",Effective Clinical Care,"Patients assessed for opioid or barbiturate containing medication overuse headache within the 12 month measurement period, and if barbiturate or opioid medication overuse headache is identified, treatment or referral for treatment was provided.",All patients aged 12 years and older diagnosed with a primary headache disorder and prescribed an opioid or barbiturate containing medication,None,"•  Medical exception for not assessing, treating, or referring patient for treatment of opioid or barbiturate medication overuse (i.e., patient already assessed and treated for opioid use disorder within the last year; patient has a documented failure of non-opioid options and does not have an opioid use disorder; patient has contraindications to all other medications for primary headache).",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
8933551,AAN12,Quality of Life Assessment for Patients with Epilepsy,Percentage of patients whose quality of life assessment results are maintained or improved during the measurement period. ,Person and Care-giver-Centered Experiences and Outcomes,Patients whose most recent QOLIE-10-P score is maintained or improved from the prior QOLIE-10-P score obtained in the measurement period.  ,Patients aged 18 years and older diagnosed with epilepsy who had two office visits during the two-year measurement period which occurred at least 4 weeks apart. ,None,None,None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,Axon Registry,N/A,2018
8933551,AAN14,Current MS Disability Scale Score,Percentage of patients with MS who have a MS disability scale score* documented in the medical record in the past 12 months and had appropriate follow up,Effective Clinical Care,"Patients with MS who have a MS disability scale score* documented in the
medical record in the past 12 months.
*MS disability scale score is defined as the score obtained from administering one
of the following:
• Patient Determined Disease Steps (PDDS)1,
• At least 2 measures of MS Functional Composite (MSFC)2,
• Kurtzke Expanded Disability Status Scale (EDSS)3,4,
• European Database on MS Grading System (EDMUS-GS)5,6,
• Functional Independence Measure (FIM)7,
• Guy's Neurological Disability Scale (GNDS)8,
• Neurological Rating Scale from the Scripps Clinic,9
• MS Rating Scale, Revised (MSRS-R).10
• Appropriate instruments from the NIH Toolbox (i.e. if the patient's
primary impairment is motor, motor function would be assessed).11
• Appropriate instruments from the PROMIS12 or NeuroQOL.13",All patients with a diagnosis of MS.,None,"• Patient declines to self-report and declines neurological examination.
• Patient is unable to participate in neurological examination (i.e., advanced
stage dementia, profound psychosis, neurodevelopmental disorder, brain
injury encephalopathy, or hydrocephalus.)",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2018
8933551,AAN15,Quality of Life Assessment,"Percentage of patients age 18 years and older with a neurologic condition who had a PROMIS-29 administered, the results reviewed and had appropriate follow up ",Person and Care-giver-Centered Experiences and Outcomes,Patients who had their PROMIS-29 scores reviewed and had appropriate follow up ,All patients aged 18 years and older with a neurologic condition who had a PROMIS-29 administered in the FIGMD module during the measurement period ,"• Unable to complete screening instrument – advance stage dementia, profound psychosis, neurodevelopmental disorder, brain injury, encephalopathy, hydrocephalus, comatose or delirious
• Patient declines
*For location via search term in a registry, the work group encourages providers to document this exclusion in the following format: “Patient declines assessment” or “Patient refuses assessment”.
",N/A ,N/A ,1,N/A,Process ,High Priority,N/A ,N,Y,N,N,N,Axon Registry,N/A,2018
8933551,AAN16,Falls Outcome for Patients with Parkinson's Disease,Percentage of patients diagnosed with PD for who the number of falls was maintained or reduced from initial baseline. ,Patient Safety,"Patients who reported their fall rate during the July 1 to December 31, 20XX^ encounter was maintained or reduced from prior report during January 1 to June 30, 20XX* encounter of the measurement period.

^July 1 to December 31, 20XX a number of falls is recorded in the following format: ""Patient reports n falls occurred during the last 6 months."" n= number of falls per patient report; n must be a number and cannot be an approximation such as, a few times, some falls, occasional falls, daily falls, etc. The number of falls recorded should reflect the 6-month period preceding the date of encounter and does not reflect a 6-month calendar period. If multiple visits occur during July 1, to December 31, 20XX the number of falls used for measure calculation purposes shall be the lowest number.

*January 1 to June 30, 20XX a number of falls is recorded in the following format: ""Patient reports n falls occurred during the last 6 months."" n= number of falls per patient report; n must be a number and cannot be an approximation such as, a few times, some falls, occasional falls, daily falls, etc. The number of falls recorded should reflect the 6-month period preceding the date of encounter and does not reflect a 6-month calendar period. If multiple visits occur during January 1, to June 30, 20XX the number of falls used for measure calculation purposes shall be the highest number.


**To perform well on this measure, the July 1 to December 31, 20XX number of falls should be the same or less than the January 1 to June 30, 20XX number of falls for improvement to be captured.
","Patients with a diagnosis of Parkinson's disease who had at least two encounters during the measurement period and had the number of falls documented at each encounter. One encounter must occur in January 1 to June 30, 20XX and another encounter must occur in July 1 to December 31, 20XX. ","• 	No documentation of number of falls in the required format. (i.e.., ""Patient reports n falls occurred during the last 6 months."")  ",None,None,1,N/A,Outcome,High Priority,N/A,N,Y,N,N,N,Axon Registry,N/A,2018
8933551,AAN18,First line treatment for infantile spasms (IS),Percentage of patients receiving appropriate first line treatment for infantile spasms (IS),Effective Clinical Care,"Patients who received any guideline recommended first line therapy* as initial
treatment for IS as soon as diagnosed, but no later than 1 week after initial,
confirmed diagnosis**
*Guideline Recommended Treatments:
• Adrenocorticotropic hormone (ACTH)
• High dose prednisolone
• vigabatrin (VGB)
**Diagnosis is usually defined as seizure marked by momentary flexion or
extension of the neck, trunk, extremities, or any combination, with onset occurring
in first year of life with or without the presence of hypsarrhythmia.
Recommended treatments subject to change if approved treatments added after
measure approval.",All patients aged 2 weeks to 36 months diagnosed with IS,None,"• Medical provider identified all 3 treatments are contraindicated
• Caregiver refuses all 3 treatments
• Patient participating in a research trial that precludes use of these
medications as first line therapy.
• Presence of an inborn error of metabolism disorder (may include, but not
limited to: (1) disorders of amino acid metabolism (phenylketonuria,
dihydropteridine reductase deficiency, pyridoxine deficiency, pyrodoxal-5-
phosphatase deficiency, folinic acid deficiency), (2) organic acidurias (Dglyceric
aciduria, methylmalonic aciduria, propionic acidemia, maple syrup
urine disease), (3) disorders of fatty acid oxidation (short-chain acylcoenzyme
A dehydrogenase enzyme deficiency), where alternative therapy
is recommended and/or more appropriate.1
• Resective epilepsy surgery is recommended as first line treatment.",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2018
8933551,AAN19,Botulinum Toxin Serotype A (BoNT-A) for spasticity or dystonia,Percentage of patients with spasticity or dystonia who were evaluated or referred or treated with BoNTA,Communication and Care Coordination,Patients who were evaluated OR treated OR referred for BoNT-A injection,"All patients < 18 years of age with moderate to severe localized/segmental
spasticity or dystonia in the upper and/or lower extremities",None,"• Patient/caregiver refuse
• BoNT-A is contraindicated
• Patient has established care with another neurology or non-neurology
provider that can evaluate the need for and/or provide BoNT-A injections",None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,Axon Registry,N/A,2018
8933551,AAN2,DSP Screening for Unhealthy Alcohol Use ,"Patients with a diagnosis of DSP who were screened with a validated screening instrument for unhealthy alcohol use* at time of initial diagnosis and once yearly for those with prior diagnosis, and if screening was positive, brief counseling provided. ",Effective Clinical Care,"Patients with a diagnosis of DSP who were screened with a validated screening instrument for unhealthy alcohol use when seen for an initial evaluation and if positive, brief counseling provided
*Unhealthy alcohol use covers a spectrum that is associated with varying degrees of risk to health. Categories representing unhealthy alcohol use include risky use, problem drinking, harmful use, and alcohol abuse, and the less common but more severe alcoholism and alcohol dependence.
Unhealthy alcohol use can be assessed using one of a number of available valid and reliable instruments available from medical literature. Examples include, but are not limited to:
•  CAGE-AID (Cut-down, Annoyed, Guilty, Eye-opener)46
•  AUDIT C (Alcohol Use Disorders Identification Test – Consumption)41
A systematic method of assessing for unhealthy alcohol use should be utilized. Please refer to the National Institute on Alcohol Abuse and Alcoholism publication: Helping Patients Who Drink Too Much: A Clinician's Guide for additional information regarding systematic screening methods.47",All patients age 18 years and older with a diagnosis of distal symmetric polyneuropathy,"•  Documentation of a medical reason for not screening the patient with a validated screening instrument for unhealthy alcohol use (eg patient diagnosed with alcoholism)
Documentation of a patient reason for not screening the patient with a validated screening instrument for unhealthy alcohol use (eg patient declines to answer questions/complete the screening)",None,None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
8933551,AAN20,Querying for co-morbid conditions of tic disorder (TD) and Tourette syndrome (TS),"Percentage of patients who were queried for psychological and/or behavioral co-morbid conditions of
tic disorder (TD) or Tourette syndrome (TS)",Effective Clinical Care,"Patients who were queried for symptoms of psychological and/or behavioral co-morbid conditions* at least once per year, and if present, patient was treated ** or referred*** for treatment of co-morbid conditions.

**Treated is an intervention and/or medication implemented for co-morbid conditions. ***Referred includes a referral to psychiatry or psychology
","All patients aged < 18 years with the diagnosis of TD* or TS who do not have an
existing diagnosis of a comorbid condition
*Tic disorders include:1
• Chronic or transient (DSM IV)
• Persistent or provisional (DSM V)
• Motor and vocal
• Other tic disorder
• Tic disorder not specified",None,• Patient/caregiver refuse,None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2018
8933551,AAN4,Screening for Psychiatric or Behavioral Health Disorders,"Percent of all visits for patients with a diagnosis of epilepsy where the patient was screened for
psychiatric or behavioral disorders.",Communication and Care Coordination,"Patient visits where patient was screened* for psychiatric or behavioral
health disorders.**
*Screened: Questioning by the individual provider to identify areas of
concern, may include standardized testing.
**Psychiatric or behavioral disorders may include, but are not limited to
anxiety, depression, suicidality, mood disorder, attention deficit hyperactive
disorder, cognitive dysfunction, or other neurobehavioral disorders.",All visits for patients with diagnosis of epilepsy.,None,"• Caregiver is unavailable for a patient who is non-communicative
or has an intellectual disability.
• Patient has an existing diagnosis of psychiatric disorder and is being
actively treated.
• Patient declines screening.",None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
8933551,AAN5,MEDICATION PRESCRIBED FOR ACUTE MIGRAINE ATTACK,"Percentage of patients age 12 years and older with a diagnosis of migraine who were prescribed a guideline
recommended medication for acute migraine attacks within the 12 month measurement period.",Effective Clinical Care,"Patients who were prescribed a guideline recommended medication for acute migraine
attacks*within the 12 month measurement period.
* Guideline recommended acute medications for acute migraine attack include the following
but are not limited to: triptans, dihydroergotamine (DHE). Triptans and DHE are only
examples of medications that may be used. The clinician should use his/her best judgment to
prescribe a medication for acute migraine attacks to meet the specific needs of the individual
patient. Note: There is an exception for this measure for patients whose migraines are
controlled with over the counter (OTC) medications.
Note: The above list of medications/drug names is based on clinical guidelines and other
evidence and may not be all-inclusive or current. Physicians and other health care
professionals should refer to the Food and Drug Administration's (FDA) web site page
entitled ""Drug Safety Communications"" for up-to-date drug recall and alert information
when prescribing medications.",All patients age 12 years old and older with a diagnosis of migraine headache.,None,"•¸ Medical exception for not prescribing a guideline recommended acute migraine
medication (i.e., guideline recommended medication is medically contraindicated or
ineffective for the patient; migraines are effectively controlled with OTC medications
or with NSAIDs; patient is already on an effective acute migraine medication
prescribed by another clinician; patient has no pain with migraine)
•¸ Patient exception for not prescribing a guideline recommended acute migraine
medication (i.e., patient declines a prescription for any acute migraine medication)
•¸ System exception for not prescribing a guideline recommended acute migraine
medication (i.e., patient does not have insurance to cover the cost of prescribed
abortive migraine medication)",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
8933551,AAN8,Exercise and Appropriate Physical Activity Counseling for Patients with MS,"Percentage of patients with MS who are counseled* on the benefits of exercise and appropriate
physical activity for patients with MS in the past 12 months.",Effective Clinical Care,"Patients with MS counseled* on the benefits of exercise and appropriate physical
activity for patients with MS in past 12 months.
*Counseled: to advise seriously and formally after consultation",All patients with a diagnosis of MS.,None,"None**
**All patients including those unable to exercise should be provided information
on appropriate range of motion and activity.",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
8933551,AAN9,Querying About Symptoms of Autonomic Dysfunction for Patients with Parkinson's Disease ,"Percentage of all patients with a diagnosis of PD (or caregivers, as appropriate) who were queried about symptoms of autonomic dysfunction* in the past 12 months and if autonomic dysfunction identified had appropriate follow-up. ",Patient Safety,"Percentage of all patients with a diagnosis of PD (or caregivers, as appropriate) who were queried about symptoms of autonomic dysfunction* in the past 12 months and if autonomic dysfunction identified had appropriate follow-up.
*autonomic dysfunction is defined as: orthostatic hypotension or intolerance, constipation, urinary urgency, incontinence, and nocturia, fecal incontinence, urinary retention requiring catheterization, delayed gastric emptying, dysphagia, drooling, hyperhidrosis, or sexual dysfunction.",All patients with a diagnosis of PD.,None,None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,Axon Registry,N/A,2017
