measueId,statumName,shotDesciption,longDesciption,initialPopulationUuid,denominatoUuid,numeatoUuid,denominatoExclusionUUID,denominatoExceptionUUID
394,meningococcal,One dose of meningococcal vaccine,Patients who had one dose of meningococcal vaccine on o between the patient's 11th and 13th bithdays,,,,,
394,Tdap,"One tetanus, diphtheia toxoids and acellula petussis vaccine","Patients who had one tetanus, diphtheia toxoids and acellula petussis vaccine (Tdap) on o between the patient's 10th and 13th bithdays",,,,,
394,HPV,Completed the HPV vaccine,Patients who have completed the HPV vaccine with deffeent dates of sevice on o between the patient's 9th and 13th bithdays,,,,,
394,oveall,"Compliant fo Meningococcal, Tdap and HPV","All patients who ae compliant fo Meningococcal, Tdap and HPV duing the specified timefames",,,,,
398,oveall,"5-50 yeas well-contolled asthma, without elevated isk of exacebation","Oveall Pecentage fo patients (aged 5-50 yeas) with well-contolled asthma, without elevated isk of exacebation",,,,,
398,5-17,"5-17 yeas well-contolled asthma, without elevated isk of exacebation","Pecentage of pediatic patients (aged 5-17 yeas) with well-contolled asthma, without elevated isk of exacebation.",,,,,
398,18-50,"18-50 yeas well-contolled asthma, without elevated isk of exacebation","Pecentage of adult patients (aged 18-50 yeas) with well-contolled asthma, without elevated isk of exacebation",,,,,
398,ACT5-17,5 to 17 asthma well-contolled specified asthma contol tool esult,Asthma well-contolled (submit the most ecent specified asthma contol tool esult) fo patients 5 to 17 with Asthma,,,,,
398,ACT18-50,18 to 50 asthma well-contolled specified asthma contol tool esult,Asthma well-contolled (submit the most ecent specified asthma contol tool esult) fo patients 18 to 50 with Asthma,,,,,
398,lowRisk5-17,5 to 17 with asthma elevated isk of exacebation,Patient not at elevated isk of exacebation fo patients 5 to 17 with Asthma,,,,,
398,lowRisk18-50,18 to 50 with asthma elevated isk of exacebation,Patient not at elevated isk of exacebation fo patients 18 to 50 with Asthma,,,,,
459,oveall,Patients 18 yeas of age o olde as of Januay 1 of the denominato identification peiod who had a lumba discectomy/laminotomy pocedue pefomed duing the denominato identification peiod,Pecentage of patients 18 yeas of age o olde as of Januay 1 of the denominato identification peiod who had a lumba discectomy/laminotomy pocedue pefomed duing the denominato identification peiod and whose back pain was measued by the Visual Analog Scale (VAS) within thee months peopeatively AND thee months (6 - 20 weeks) postopeatively.,,,,,
459,aveageChange,Aveage of the change in pain peopeatively to post-opeatively among patients having eceived a lumba discectomy/laminotomy pocedue.,Aveage change (peopeative to thee months (6 - 20 weeks) postopeative) in back pain fo all eligible patients 18 yeas of age o olde as of Januay 1 of the denominato identification peiod who had a lumba discectomy/laminotomy pocedue pefomed duing the denominato identification peiod and whose back pain was measued by the visual analog scale (vas) within thee months peopeatively and at thee months (6 - 20 weeks) postopeatively,,,,,
460,oveall,Patients 18 yeas of age o olde as of Januay 1 of the denominato identification peiod who had a lumba spine fusion pocedue pefomed duing the denominato identification peiod,"Pecentage of patients 18 yeas of age o olde as of Octobe 1 of the denominato identification
peiod who had a lumba spine fusion pocedue pefomed duing the denominato identification peiod and whose back pain was measued by the Visual Analog Scale (VAS) within thee months peopeatively AND at one yea (+/- 3 months) postopeatively.",,,,,
460,aveageChange,Aveage of the change in pain peopeatively to post-opeatively among patients having eceived a lumba fusion.,Aveage change (peopeative to one yea postopeative) in back pain fo all eligible patients 18 yeas of age o olde as of Octobe 1 of the denominato identification peiod who had a lumba spine fusion pocedue pefomed duing the denominato identification peiod and whose back pain was measued by the visual analog scale (vas) within thee months peopeatively and at one yea (+/- 3 months) postopeatively,,,,,
461,oveall,Patients 18 yeas of age o olde as of Januay 1 of the denominato identification peiod who had a lumba discectomy/laminotomy pocedue pefomed duing the denominato identification peiod.,"Pecentage of patients 18 yeas of age o olde as of Januay 1 of the denominato identification
peiod who had a lumba discectomy/laminotomy pocedue pefomed duing the denominato identification peiod and whose leg pain was measued by the Visual Analog Scale (VAS) within thee months peopeatively AND at thee months (6 to 20 weeks) postopeatively.",,,,,
461,aveageChange,Aveage of the change in pain peopeatively to postopeatively among patients having eceived a lumba discectomy/laminotomy.,Aveage change (peopeative to thee months (6 to 20 weeks) postopeative) in leg pain fo all eligible patients 18 yeas of age o olde as of Januay 1 of the denominato identification peiod who had a lumba discectomy/laminectomy pocedue pefomed duing the denominato identification peiod and whose leg pain was measued by the visual analog scale (vas) within thee months peopeatively and at thee months (6 to 20 weeks) postopeatively,,,,,
467,<1,"Bith to 1 yea of age) who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool","Childen in the eligible population who tuned 1 duing the pefomance peiod. (Bith to 1 yea of age) who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool with intepetation and epot within 12 months peceding o on thei bithday",,,,,
467,1-2,"Childen >1 to 2 who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool","Childen in the eligible population who tuned 2 duing the pefomance peiod (> 1 yea to 2 yeas of age) who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool with intepetation and epot within 12 months peceding o on thei bithday",,,,,
467,2-3,"Childen >2 to 3 who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool","Childen in the eligible population who tuned 3 duing the pefomance peiod ( > 2 yeas to 3 yeas of age) who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool with intepetation and epot within 12 months peceding o on thei bithday",,,,,
467,oveall,"Total Pefomance Rate based on all childen who tuned 1, 2, o 3 duing the pefomance peiod who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool with intepetation and epot within 12 months peceding o on thei bithday, i.e., the sum of denominatos 1, 2, and 3.","Total Pefomance Rate based on all childen who tuned 1, 2, o 3 duing the pefomance peiod who wee sceened fo isk of developmental, behavioal and social delays using a standadized tool with intepetation and epot within 12 months peceding o on thei bithday, i.e., the sum of denominatos 1, 2, and 3.",,,,,
