measureId,stratumName,description
392,overall,Overall percentage of patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days
394,meningococcal,"Patients who had one dose of meningococcal vaccine (serogroups A, C, W, Y), on or between the patient’s 11th and 13th birthdays"
394,Tdap,"Patients who had one tetanus, diphtheria toxoids and acellular pertussis vaccine (Tdap) on or between the patient’s 10th and 13th birthdays"
394,HPV,Patients who have completed the HPV vaccine series with different dates of service on or between the patient’s 9th and 13th birthdays
394,overall,"All patients who are compliant for Meningococcal (serogroups A, C, W, Y), Tdap and HPV during the specified timeframes"
398,overall,"Overall Percentage for patients (aged 5-50 years) with well-controlled asthma, without elevated risk of exacerbation"
398,pedCtrlNoExacRisk,"Percentage of pediatric patients (aged 5-17 years) with well-controlled asthma, without elevated risk of exacerbation"
398,adultCtrlNoExacRisk,"Percentage of adult patients (aged 18-50 years) with well-controlled asthma, without elevated risk of exacerbation"
398,pedsWellCtrl,Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 5 to 17 with Asthma
398,adultsWellCtrl,Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 18 to 50 with Asthma
398,pedsNoRiskExac,Patient not at elevated risk of exacerbation for patients 5 to 17 with Asthma
398,adultsNoRiskExac,Patient not at elevated risk of exacerbation for patients 18 to 50 with Asthma
400,screening,Percentage of patients age >= 18 years who have never been tested for HCV antibodies and who receive an HCV antibody test.
400,follow-up/trtmt,"Percentage of patients age >= 18 years who have a reactive HCV antibody test, who have a follow up HCV viral test, and if HCV viremia is detected, have treatment initiated within three months or are referred to a clinician who treats HCV infection within one month of the reactive HCV antibody test."
409,reporting,Percentage of patients with mRS score assessed at 90 days following endovascular stroke intervention
409,performance,Percentage of patients with mRS score of 0 to 2 assessed at 90 days following endovascular stroke intervention
431,reporting,Patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method
431,performance,Patients aged 18 years and older who were identified as unhealthy alcohol users who received brief counseling
431,combinedPopulations,"Patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method and, if identified as unhealthy alcohol users received brief counseling, or were not identified as unhealthy alcohol users"
459,discectomyLaminectmy,Percentage of lumbar discectomy/laminectomy procedures for which the patient reports back pain less than or equal to 3.0 OR an improvement of 5.0 points or greater on the VAS or Numeric Pain scale at three months (6 to 20 weeks) postoperatively
459,lumbarFusion,Percentage of lumbar fusion procedures for which the patient reports back pain less than or equal to 3.0 OR an improvement of 5.0 points or greater on the VAS or Numeric pain scale at one year (9 to 15 months) postoperatively
461,discectomyLaminectmy,Percentage of lumbar discectomy/laminectomy procedures for which the patient reports leg pain less than or equal to 3.0 OR an improvement of 5.0 points or greater on the VAS or Numeric Pain scale at three months (6 to 20 weeks) postoperatively
461,lumbarFusion,Percentage of lumbar fusion procedures for which the patient reports leg painless than or equal to 3.0 OR an improvement of 5.0 points or greater on the VAS or Numeric Pain scale at one year (9 to 15 months) postoperatively after lumbar fusion.
471,discectomyLaminectmy,Percentage of lumbar discectomy/laminectomy procedures for which the patient reports functional status is less than or equal to 22 OR an improvement of 30 points or greater on the Oswestry Disability Index (ODI version 2.1a) at three months (6 to 20 weeks) postoperatively
471,lumbarFusion,Percentage of lumbar fusion procedures for which the patient reports functional status is less than or equal to 22 OR an improvement of 30 points or greater on the Oswestry Disability Index (ODI Version 2.1a) patient reported outcome tool at one year (9 to 15 months) postoperatively
493,influenza,Percentage of patients (19 years of age and older on the date of the encounter) who received an influenza vaccine on or between July 1 of the year prior to the measurement period and June 30 of the measurement period
493,Tdap,"Percentage of patients (19 years of age and older on the date of the encounter) who received at least 1 tetanus and diphtheria (Td) vaccine or 1 tetanus, diphtheria, and pertussis (Tdap) vaccine between 9 years prior to the encounter and the end of the measurement period"
493,herpesZoster,Percentage of patients (50 years of age and older on the date of the encounter) who received at least 1 dose of the herpes zoster live vaccine or 2 doses of the herpes zoster recombinant vaccine anytime on or after the patients’ 50th birthday
493,pneumococcal,"Percentage of patients (66 years of age or older on the date of the encounter) who were administered any pneumococcal conjugate vaccine or polysaccharide vaccine, on or after their 60th birthday and before the end of the measurement period"
495,heard,Patient felt heard and understood by this provider and team
495,bestInterest,Patient felt this provider and team put my best interests first when making recommendations about my care
495,seen,"Patient felt this provider and team saw me as a person, not just someone with a medical problem"
495,understood,Patient felt this provider and team understood what is important to me in my life
497,influenza,Percentage of patients who received an influenza immunization or who reported previous receipt of an influenza immunization
497,pneumococcal,Percentage of patients who received a pneumococcal vaccination on or after their 60th birthday
497,mammogram,Percentage of patients with a mammogram during the 27 months prior to the end of the measurement period
497,colorectal,Percentage of patients with one or more appropriate colorectal cancer screenings
497,BMI,"Percentage of patients with a documented BMI, with follow-up plan if applicable, during the encounter or during the previous 12 months"
497,tobacco,"Percentage of patients screened for tobacco use and, if identified as a tobacco user, received cessation intervention during the encounter or within the previous six months"
497,HBP,"Percentage of visits where patients were screened for high blood pressure with a documented follow-up plan, as indicated"
503,overall,Percentage of patients aged 14 years and older who achieved a net increase in PAM® score of at least 3 points in a 6 to 12 month period.
503,6points,Percentage of patients aged 14 years and older who achieved a net increase in PAM® score of at least 6 points in a 6 to 12 month period.
503,AveChg,Average change between baseline PAM® score and the second score within 6 to 12 months of a baseline PAM® score.
504,24hour,"Percentage of patients for whom a suicide safety plan is initiated, reviewed, or updated in collaboration between the patient and their clinician (concurrent or within 24 hours of clinical encounter)"
504,overall,"Percentage of patients for whom a suicide safety plan is initiated, reviewed, or updated in collaboration between the individual and their clinician at the time the suicidal ideation, behavior or risk is identified (concurrent or within 24 hours of clinical encounter) AND reviewed and updated within 120 days after initiation."
