measureId,title,description,isRequired,metricType,firstPerformanceYear,weight,objective,isBonus,reportingCategory,substitutes,exclusion,measureSpecification
PI_HIE_4,Support Electronic Referral Loops By Receiving and Incorporating Health Information ,"For at least one electronic summary of care record received for patient encounters during the performance period for which a MIPS eligible clinician was the receiving party of a transition of care or referral, or for patient encounters during the performance period in which the MIPS eligible clinician has never before encountered the patient, the MIPS eligible clinician conducts clinical information reconciliation for medication, medication allergy, and current problem list.",TRUE,proportion,2019,20,Health Information Exchange,FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresSupportElectronicReferralLoopsReceivingandIncorpo.pdf
PI_LVITC_2,Support Electronic Referral Loops By Receiving and Incorporating Health Information Exclusion,Any MIPS eligible clinician who receives transitions of care or referrals or has patient encounters in which the MIPS eligible clinician has never before encountered the patient fewer than 100 times during the performance period.,FALSE ,boolean,2019,0,Health Information Exchange,FALSE,exclusion ,,,
PI_CUITC_1,Support Electronic Referral Loops By Receiving and Incorporating Health Information Exclusion,Any MIPS eligible clinician who is unable to implement the measure for a MIPS performance period in 2019 would be excluded from having to report this measure.,FALSE ,boolean,2019,0,Health Information Exchange,FALSE,exclusion ,,,
PI_PEA_1,Provide Patients Electronic Access to Their Health Information,"For at least one unique patient seen by the MIPS eligible clinician: (1) The patient (or the patient-authorized representative) is provided timely access to view online, download, and transmit his or her health information; and (2) The MIPS eligible clinician ensures the patient's health information is available for the patient (or patient-authorized representative) to access using any application of their choice that is configured to meet the technical specifications of the Application Programing Interface (API) in the MIPS eligible clinician's certified electronic health record technology (CEHRT). ",TRUE,proportion,2017,40,Provider to Patient Exchange,FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresProvidePatientsElectronicAccesstoTheirHealthInfor.pdf
PI_PHCDRR_2,Syndromic Surveillance Reporting,The MIPS eligible clinician is in active engagement with a public health agency to submit syndromic surveillance data from an urgent care setting.,"TRUE",boolean,2017,null,Public Health and Clinical Data Exchange,FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresSyndromicSurveillanceReporting.pdf
PI_PHCDRR_2_MULTI,Syndromic Surveillance Reporting for Multiple Registry Engagement,"Report as true if,  active engagement with more than one Syndromic Surveillance registry in accordance with PI_PHCDRR_2.",FALSE ,boolean,2018,10,Public Health and Clinical Data Exchange,FALSE,required,,,
PI_PHCDRR_2_EX_1,Syndromic Surveillance Reporting Exclusion,Any MIPS eligible clinician who is not in a category of health care providers from which ambulatory syndromic surveillance data is collected by their jurisdiction's syndromic surveillance system.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_2_EX_2,Syndromic Surveillance Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction for which no public health agency is capable of receiving electronic syndromic surveillance data in the specific standards required to meet the CEHRT definition at the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_2_EX_3,Syndromic Surveillance Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction where no public health agency has declared readiness to receive syndromic surveillance data from MIPS eligible clinicians as of 6 months prior to the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_1,Immunization Registry Reporting,The MIPS eligible clinician is in active engagement with a public health agency to submit immunization data and receive immunization forecasts and histories from the public health immunization registry/immunization information system (IIS).,"TRUE",boolean,2017,null,Public Health and Clinical Data Exchange,FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresImmunizationRegistryReporting.pdf
PI_PHCDRR_1_MULTI,Immunization Registry Reporting for Multiple Registry Engagement,Report as true if active engagement with more than one immunization registry in accordance with PI_PHCDRR_1.,FALSE ,boolean,2018,10,Public Health and Clinical Data Exchange,FALSE,required,,,
PI_PHCDRR_1_EX_1,Immunization Registry Reporting Exclusion ,Any MIPS eligible clinician who does not administer any immunizations to any of the populations for which data is collected by its jurisdiction's immunization registry or immunization information system during the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_1_EX_2,Immunization Registry Reporting Exclusion ,Any MIPS eligible clinician who operates in a jurisdiction for which no immunization registry or immunization information system is capable of accepting the specific standards required to meet the CEHRT definition at the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_1_EX_3,Immunization Registry Reporting Exclusion ,Any MIPS eligible clinician who operates in a jurisdiction where no immunization registry or immunization information system has declared readiness to receive immunization data as of 6 months prior to the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_3,Electronic Case Reporting,The MIPS eligible clinician is in active engagement with a public health agency to electronically submit case reporting of reportable conditions.,"TRUE",boolean,2017,null,Public Health and Clinical Data Exchange,FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresElectronicCaseReporting.pdf
PI_PHCDRR_3_MULTI,Electronic Case Reporting for Multiple Registry Engagement,"Report as true if,  active engagement with more than one Electronic Case Reporting registry in accordance with PI_PHCDRR_3.",FALSE ,boolean,2018,10,Public Health and Clinical Data Exchange,FALSE,required,,,
PI_PHCDRR_3_EX_1,Electronic Case Reporting Exclusion,Any MIPS eligible clinician who does not treat or diagnose any reportable diseases for which data is collected by their jurisdiction's reportable disease system during the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_3_EX_2,Electronic Case Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction for which no public health agency is capable of receiving electronic case reporting data in the specific standards required to meet the CEHRT definition at the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_3_EX_3,Electronic Case Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction where no public health agency has declared readiness to receive electronic case reporting data as of 6 months prior to the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_4,Public Health Registry Reporting,The MIPS eligible clinician is in active engagement with a public health agency to submit data to public health registries.,"TRUE",boolean,2017,null,Public Health and Clinical Data Exchange,FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresPublicHealthRegistryReporting.pdf
PI_PHCDRR_4_MULTI,Public Health Registry Reporting for Multiple Registry Engagement,"Report as true if,  active engagement with more than one Public Health Registry in accordance with PI_PHCDRR_4.",FALSE ,boolean,2018,10,Public Health and Clinical Data Exchange,FALSE,required,,,
PI_PHCDRR_4_EX_1,Public Health Registry Reporting Exclusion,Any MIPS eligible clinician who does not diagnose or directly treat any disease or condition associated with a public health registry in the MIPS eligible clinician's jurisdiction during the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_4_EX_2,Public Health Registry Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction for which no public health agency is capable of accepting electronic registry transactions in the specific standards required to meet the CEHRT definition at the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_4_EX_3,Public Health Registry Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction where no public health registry for which the MIPS eligible clinician is eligible has declared readiness to receive electronic registry transactions as of 6 months prior to the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_5,Clinical Data Registry Reporting,The MIPS eligible clinician is in active engagement to submit data to a clinical data registry.,"TRUE",boolean,2017,null,Public Health and Clinical Data Exchange,FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresClinicalDataRegistryReporting.pdf
PI_PHCDRR_5_MULTI,Clinical Data Registry Reporting for Multiple Registry Engagement,"Report as true if, active engagement with more than one Clinical Data Registry in accordance with PI_PHCDRR_5.",FALSE ,boolean,2018,10,Public Health and Clinical Data Exchange,FALSE,required,,,
PI_PHCDRR_5_EX_1,Clinical Data Registry Reporting Exclusion,Any MIPS eligible clinician who does not diagnose or directly treat any disease or condition associated with a clinical data registry in their jurisdiction during the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_5_EX_2,Clinical Data Registry Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction for which no clinical data registry is capable of accepting electronic registry transactions in the specific standards required to meet the CEHRT definition at the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
PI_PHCDRR_5_EX_3,Clinical Data Registry Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction where no clinical data registry for which the MIPS eligible clinician is eligible has declared readiness to receive electronic registry transactions as of 6 months prior to the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,,,
