QCDR Name,Measure ID,Measure Title,Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,"Proportional Measure 
",Continuous Variable Measure  ,Ratio Measure  ,Number of performance rates to be  submitted                                                  ,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year 
AAD'S DataDerm,ACMS1,Adherence to Mohs Micrographic Surgery Appropriate Use Criteria,Percentage of Mohs micrographic surgery cases that meet criteria according to published Mohs surgery appropriate use criteria (AUC) guidelines.,N/A,Efficiency and Cost Reduction,Yes,Efficiency and Cost/Resource Use,No,Yes,No,No,1,1st Performance Rate,No,MohsAIQ,2019
AAPM&R's Registry,AAPMR1,Assessment and Management of Muscle Spasticity--Inpatient,"Percentage of patients, regardless of age with a diagnosis of stroke, acquired brain injury (ABI), spinal cord injury (SCI), cerebral palsy (CP), or multiple sclerosis (MS) who are admitted to inpatient rehabilitation, skilled nursing facility, or long-term care hospital with a documented assessment of muscle spasticity AND if muscle spasticity is present, a plan of care to monitor and/or manage muscle spasticity is documented prior to discharge

Three rates are reported:
Rate 1: Percentage of patients, regardless of age with a diagnosis of stroke, acquired brain injury (ABI), spinal cord injury (SCI), cerebral palsy (CP), or multiple sclerosis (MS) who are admitted to inpatient rehabilitation, skilled nursing facility, or long-term care hospital with a documented assessment of muscle spasticity prior to discharge

Rate 2: Percentage of patients regardless of age with a diagnosis of stroke, acquired brain injury (ABI), spinal cord injury (SCI), cerebral palsy (CP), or multiple sclerosis (MS) who are admitted to inpatient rehabilitation, skilled nursing facility, or long-term care hospital with muscle spasticity who have a documented plan of care to monitor and/or manage muscle spasticity prior to discharge.

Rate 3: Percentage of patients, regardless of age with a diagnosis of stroke, acquired brain injury (ABI), spinal cord injury (SCI), cerebral palsy (CP), or multiple sclerosis (MS) who are admitted to inpatient rehabilitation, skilled nursing facility, or long-term care hospital with a documented assessment of muscle spasticity AND if muscle spasticity is present, a plan of care to monitor and/or manage muscle spasticity is documented prior to discharge

-It is expected that population Criteria 1 and 3 should be submitted on all patients. Population Criteria 2 could only be reported for those patients who were identified as having muscle spasticity  who have a documented plan of care to monitor and/or manage muscle spasticity prior to discharge.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,3,3rd Performance Rate,No,AAPM&R's Registry,2019
AAPM&R's Registry,AAPMR2,Management of Muscle Spasticity--Outpatient,"Percentage of patients, regardless of age with a diagnosis of stroke, acquired brain injury (ABI), spinal cord injury (SCI), cerebral palsy (CP), or multiple sclerosis (MS) with muscle spasticity, who are seen for an office visit during the measurement period with a documented plan of care to monitor and/or manage muscle spasticity",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,AAPM&R's Registry,2019
AAPM&R's Registry,AAPMR3,Functional Assessment to Determine Rehabilitation Needs,"Percentage of patients aged 18 and older who have experienced a stroke or acute brain injury (ischemic stroke, hemorrhagic stroke, acute brain injury)  and are admitted to acute care who have a comprehensive functional assessment to determine rehabilitation needs performed prior to discharge.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,AAPM&R's Registry,2019
AAPM&R's Registry,AAPMR4,Family Training-Inpatient Rehabilitation/Skilled Nursing Facility-Discharged to Home,"Percentage of patients aged 18 years and older who have experienced a stroke or acute brain injury (ischemic stroke, hemorrhagic stroke, acture brain injury) discharged from inpatient rehabilitation, skilled nursing facility, or long-term care hospital to home, whose family/caregiver(s) demonstrated successful teach-back regarding skills for care of the patient in the home setting",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,AAPM&R's Registry,2019
AAPM&R's Registry,AAPMR5,Post-Acute Brain Injury: Depression Screening and Follow-Up Plan of Care,"Percentage of patients aged 18 years and older who have experienced an acute brain injury (ischemic stroke, hemorrhagic stroke, acute brain injury), seen for an office visit during the measurement period who were screened for depression using a validated tool and if screened positive AND if positive, a follow up plan of care is documented on the date of the positive screen",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,AAPM&R's Registry,2019
AAPM&R's Registry,NPA24,Narcotic Pain Medicine Management Following Elective Spine Procedure,Percentage of patients aged 18 years and older with documentation of narcotic use/requirements at baseline (initial encounter) and at 3 months following initial assessment and interventions for treatment of spine-related pain symptoms and documentation of follow-up plan.,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Quality Outcomes Database (QOD),2019
AAPM&R's Registry,NPA25,Depression and Anxiety Assessment Prior to Spine-Related Therapies,Percentage of patients aged 18 years and older with documentation of depression and/or anxiety assessment through discussion with the patient including the use of a standardized assessment tool prior to index therapy(-ies) for treatment of spine-related pain symptoms.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Quality Outcomes Database (QOD),2019
AAPM&R's Registry,NPA26,Functional Outcome Assessment for Spine Intervention,"Percentage of patients aged 18 years and older undergoing spine intervention(s) who completed baseline and 3-month follow-up (patient-reported) functional outcome assessment, with at least 10% improvement in the functional status scaled score from the baseline. This measure will be calculated with 2 performance rates:
Rate 1: Patient population with Follow-up/Patient population with baseline
Rate 2: Patient population with improvement in functional status after Follow-up/Patient population with Follow-up. 
Overall Rate = Rate 2",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,Quality Outcomes Database (QOD),2019
AAPM&R's Registry,NPA27,Spine/Extremity Pain Assessment,"Percentage of patients aged 18 years and older with documentation of a pain assessment through discussion with the patient including the use of a standardized back or neck pain tool(s) AND/OR leg or arm pain tool(s) at baseline and 3 months following initial assessment and intervention(s) for treatment of spine-related pain symptoms with at least 10% improvement in the pain status from the baseline and documentation of follow-up plan.  This measure will be calculated with 2 performance rates:
Rate 1: Patient population with Follow-up/Patient population with baseline
Rate 2: Patient population with improvement in pain status after Follow-up/Patient population with Follow-up. 
Overall Rate = Rate 2",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,2,2nd Performance Rate,No,Quality Outcomes Database (QOD),2019
AAPM&R's Registry,NPA28,Patient Satisfaction With Spine Care,"Percentage of patients aged 18 years and older undergoing spine intervention(s) who completed 3-month follow-up (patient-reported) satisfaction with care assessment. Satisfaction will be reported as % of patients reporting satisfaction with procedure.  This measure will be calculated with 2 performance rates:
Rate 1: Patient population with Follow-up/Patient population with baseline
Rate 2: Patient population with improvement in satisfaction with care status after Follow-up/Patient population with Follow-up. 
Overall Rate = Rate 2",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,2,2nd Performance Rate,No,Quality Outcomes Database (QOD),2019
AAPM&R's Registry,NPA29,Quality-of-Life Assessment for Spine Intervention,"Percentage of patients aged 18 years and older undergoing index spine intervention(s) who completed baseline and 3-month follow-up (patient-reported) quality-of-life assessment, with an improvement in the quality of life status from baseline. This measure will be calculated with 2 performance rates:
Rate 1: Patient population with Follow-up/Patient population with baseline
Rate 2: Patient population with improvement in quality of life status after Follow-up/Patient population with Follow-up. 
Overall Rate = Rate 2",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,2,2nd Performance Rate,No,Quality Outcomes Database (QOD),2019
AAPM&R's Registry,NPAGSC8,Complication Following Percutaneous Spine-Related Procedure,"Proportion of patients undergoing percutaneous spine-related procedures who have a complication (specifically, CSF leak, deep venous thrombosis [DVT], pulmonary embolism [PE], myocardial infarction [MI], stroke, procedure related infection or unexpected new neurological deficit) in the 30-day post-procedure period.",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,AAPM&R's Registry,2017
AAPM&R's Registry,NPAGSC9,Unplanned Admission to Hospital Following Percutaneous Spine Procedure within the 30-Day Post-procedure Period,Percentage of patients aged 18 years and older who had any unplanned admission following percutaneous spine-related procedure within the 30-day post-procedure period,N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,AAPM&R's Registry,2017
ABFM PRIME,ABFM2,Patients Admitted to ICU who Have Care Preferences Documented,Percentage of adult 18 and older patients admitted to ICU who receive palliative care and survive at least 2 days who have their care preferences documented within 2 days OR documentation as to why this was not done.,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABFM PRIME,2018
ABFM PRIME,ABFM3,Patients Treated with an Opioid Who Are Given a Bowel Regimen,Percentage of adults 18 and older treated with an opioid that are offered/prescribed a bowel regimen during the same visit or documentation of reason for why this was not needed,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,ABFM PRIME,2018
ABFM PRIME,ABFM5,Palliative Care-Treatment Preferences,The percentage of adult patients 18 and older with documentation of preferences for life-sustaining treatments within the first three visits,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABFM PRIME,2018
ABFM PRIME,ABFM6,Palliative Care Timely Dyspnea Screening & Treatment,Percentage of palliative care adult patients 18 years and older who were screened for dyspnea during the initial palliative care encounter or documentation that a screening was attempted AND for those with moderate/severe dyspnea or who are uncomfortable due to dyspnea who receive treatment within 1 day of screening.,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABFM PRIME,2018
ABFM PRIME,ABFM7,Pain Brought Under Control within the first three visits,"Percent of patients 18 and older who report being uncomfortable because of pain at the initial palliative care assessment who report pain was brought to a comfortable level (e.g. ""Comfortable? Yes/No"", ""mild"" or pain score < 4) within the first three visits",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,ABFM PRIME,2018
ABFM PRIME,ABFM8,Measuring the Value-Functions of Primary Care: Provider Level Continuity Measure,"Bice-Boxerman Continuity of Care Primary Care Physician Measure (BB-COC-PC).  

At a patient-level, BB-COC is a measure that considers the dispersion of primary care visits across providers, such that patients with higher scores have most of their primary care visits to the same provider or a small number of providers while those lower scores see a larger number providers.  Formally, an individual BB-COC score is calculated as follows:

BB-COC=(∑_(i=1)^k n_i^2 -N)/(N(N-1))    (1)

where k is the number of providers, n_i is the number of visits to provider i, and N is the total number of visits.  (Note that it is necessary that the patient has at least two visits.)
We will calculate the physician-level continuity measure for all patients as follows: 
  
BB-COC-PC=(∑_1^k _((BB-COC)(n_k ))_)/(N*(n_k))  (2)

Where BB-COC is the individual patient continuity score, n is number of total primary care visits for patient k during the study period, and N is the total number of patients seen by the physicians during the study period.  This approach gives greater weight to patients with more visits.",N/A,Communication and Care Coordination,Yes,Structure,No,Yes,No,No,1,1st Performance Rate,No,ABFM PRIME,2018
ABG QCDR,ABG16,Planned use of difficult airway equipment,"For all patients on whom difficult airway equipment is used in the operating room/procedure room during an anesthetic, the rate with which it's use is planned ahead of time for either therapeutic or educational purposes. 

The definition of difficult airway equipment for this measure excludes stylets and/or bougies unless they have been modified to include a light source or some other mechanical addition to manipulate their placement.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2017
ABG QCDR,ABG34,Mood Assessment Screening and treatment,Percentage of patients with a diagnosis of chronic pain who were assessed for depression and anxiety with a standardized tool at least twice in the calendar year and who are treated for mood disorders during the calendar year as a result of their elevated assessment scores.,N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2017
ABG QCDR,ABG37,Preoperative Screening for Anesthetic Risk Factors,"Percentage of patients, regardless of age, undergoing a surgical, therapeutic or diagnostic procedures under anesthesia in an operating/procedure room during the performance period and who have a documented use of a pre-operative assessment of two or more anesthetic risk factors prior to the start of anesthesia and the procedure did not result in an impairment of anesthesia or the patient did not experience a decrease in the effectiveness of anesthesia. Risk factor assessment must include at least two of the following: 

-	Symptoms of Gastroesophageal Reflux Disease
-	 History of Glaucoma or elevated eye pressures
-	Post-operative Nausea and Vomiting risk factors
-	Alcohol and recreational drug use
-	Herbal supplements and antibiotic impairment of anesthesia",N/A,Patient Safety,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,"ABG QCDR, SCG Health",2019
ABG QCDR,ABG38,Second provider present for induction/intubation of known or suspected difficult airway,"In adult patients with a known or suspected difficult airway, presence of a dedicated second provider at induction of general endotracheal anesthesia who can serve as an assistant for management of a difficult airway.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2019
ABG QCDR,ABG39,Preoperative Active Warming,"Percentage of patients, aged 18 years and older who present for colorectal surgery with regional or general anesthesia who have core temperatures checked preoperatively within one hour prior to induction of anesthesia and, when less than 36C, have active warming measures applied.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2019
ABG QCDR,ABG7,Immediate Adult Post-Operative Pain Management,The percentage of patients 18 or older admitted to the PACU after an anesthetic with a maximum pain score <7/10 prior to anesthesia end time.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2017
ABG QCDR,AQI48,Patient-Reported Experience with Anesthesia,"Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care and who reported a positive experience. 

This measure will consist of two performance rates:

Rate 1: AQI48a: Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care 
Rate 2: AQI48b: Percentage of patients, aged 18 and older, who completed a survey on their patient experience and satisfaction with anesthesia care who report a positive experience with anesthesia care

NOTE: The measure requires that a valid survey, as defined in the numerator, be sent to patients between discharge from the facility and within 30 days of facility discharge. To report AQI 48b, a minimum number of 20 surveys with the mandatory question completed must be reported.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2017
ABG QCDR,AQI55,Team-Based Implementation of a Care-and-Communication Bundle for ICU Patients,"Percentage of patients, regardless of age, who are admitted to an intensive care unit (ICU) for >=48 hours and who received critical care services who have documentation by managing physician of 1) attempted or actual identification of a surrogate decision maker, 2) an advance directive, and 3) the patient's preference for cardiopulmonary resuscitation, within 48 hours of ICU admission",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI56,Use of Neuraxial Techniques and/or Peripheral Nerve Blocks for Total Knee Arthroplasty (TKA),"Percentage of patients, regardless of age, that undergo primary total knee arthroplasty for whom neuraxial anesthesia and/or a peripheral nerve block is performed",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI57,Safe Opioid Prescribing Practices,"Percentage of patients, aged 18 years and older, prescribed opioid medications for longer than six weeks' duration for whom ALL of the following opioid prescribing best practices are followed:

1. Chemical dependency screening (includes laboratory testing and/or questionnaire) within the immediate 6 months prior to the encounter
2. Co-prescription of naloxone or documented discussion regarding offer of Naloxone co-prescription, if prescription is >=50 MME/day
3. Non co-prescription of benzodiazepine medications by prescribing pain physician and documentation of a discussion with patient regarding risks of concomitant use of benzodiazepine and opioid medications.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI58,Infection Control Practices for Open Interventional Pain Procedures,"Percentage of patients, regardless of age, that undergo an open interventional pain procedure for whom ALL of the following infection control best practices are followed by anesthesiologist(s) and scrub technologist(s), in addition to standard sterile technique: 
1. Double gloving (two pairs of sterile gloves are worn)
2. Chlorhexidine with alcohol used for surgical site preparation
3. Weight-based preoperative antibiotic dosing and, if indicated by procedure duration, weight-based re-dosing
4. Administration of pre-operative antibiotics within 1 hour, or 2 hours for vancomycin, prior to surgical incision",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI59,Multimodal Pain Management,"Percentage of patients, regardless of age, undergoing selected elective surgical procedures that were managed with multimodal pain medicine.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
ABG QCDR,AQI61,Ambulatory Post-Discharge Patient Follow-Up,"Percentage of patients, regardless of age, who received anesthesia services in an ambulatory setting whose post-discharge status was assessed within 72 hours of discharge",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI62,Obstructive Sleep Apnea: Patient Education,"Percentage of patients aged 18 years or older, who undergo an elective procedure requiring anesthesia services who are screened for obstructive sleep apnea (OSA) AND, if positive, have documentation that they received education regarding their risk for OSA prior to PACU discharge",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI63,Neuromuscular Blockade: Documented Assessment of Neuromuscular Function Prior to Extubation,Percentage of patients requiring anesthesia services with a documented assessment of neuromuscular blockade reversal after last dose of non-depolarizing neuromuscular blocker,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI64,Neuromuscular Blockade: Reversal Administered,"Percentage patients aged 12 years and older, requiring anesthesia services where nondepolarizing neuromuscular blockade is used and neostigmine, sugammadex, and/or edrophonium are administered prior to extubation",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI66,Obstructive Sleep Apnea: Mitigation Strategies,"Percentage of patients aged 18 years or older, who undergo an elective procedure requiring anesthesia services who are screened for obstructive sleep apnea (OSA) AND, if positive, for whom two or more selected mitigation strategies was used prior to PACU discharge",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ABG QCDR,AQI67,Consultation for Frail Patients,"Percentage of patients aged 70 years or older, who undergo an inpatient procedure requiring anesthesia services and have a positive frailty screening result who receive a multidisciplinary consult or care during the hospital encounter",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019
ACEP's Clinical Emergency Data Registry (CEDR),ACEP19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,Percentage of emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who have an indication for a head CT,N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
ACEP's Clinical Emergency Data Registry (CEDR),ACEP20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,Percentage of emergency department visits for patients aged 2 through 17 years who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who are classified as low risk according to the PECARN prediction rules for traumatic brain injury,N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
ACEP's Clinical Emergency Data Registry (CEDR),ACEP21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,Percentage of emergency department visits for patients aged 18 years and older with an emergency department discharge diagnosis of chest pain during which coagulation studies were ordered by an emergency care provider,N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
ACEP's Clinical Emergency Data Registry (CEDR),ACEP22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,"Percentage of emergency department visits during which patients aged 18 years and older had a CT pulmonary angiogram (CTPA) ordered by an emergency care provider, regardless of discharge disposition, with either moderate or high pre-test clinical probability for pulmonary embolism OR positive result or elevated D-dimer level",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
ACEP's Clinical Emergency Data Registry (CEDR),ACEP25,Tobacco Use:  Screening and Cessation Intervention for Patients with Asthma and COPD,Percentage of patients aged 18 years and older with a diagnosis of asthma or COPD seen in the ED who were screened for tobacco use during any ED encounter AND who received tobacco cessation intervention if identified as a tobacco user,N/A,Community/Population Health,No,Process,No,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
ACEP's Clinical Emergency Data Registry (CEDR),ACEP30,Sepsis Management: Septic Shock: Lactate Clearance Rate of >= 10%,Percentage of emergency department visits for patients aged 18 years and older with septic shock who had an elevated serum lactate result (>2mmol/L) and a subsequent serum lactate level measurement performed following the elevated serum lactate result with a lactate clearance rate of >= 10% during the emergency department visit,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
ACEP's Clinical Emergency Data Registry (CEDR),ACEP31,Appropriate Foley catheter use in the emergency department,Percentage of emergency department (ED) visits for admitted patients aged 18 years and older where an indwelling Foley catheter is ordered and the patient had at least one indication for an indwelling Foley catheter,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017
