title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,CMS142v7,N/A,89,19,Percentage of patients aged 18 years and older with a diagnosis of diabetic retinopathy who had a dilated macular or fundus exam performed with documented communication to the physician who manages the ongoing care of the patient with diabetes mellitus regarding the findings of the macular or fundus exam at least once within 12 months,Communication and Care Coordination ,Process,Physician Consortium for Performance Improvement,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_019_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_019_MedicarePartBClaims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2019/cms142v7,FALSE,FALSE
Perioperative Care: Selection of Prophylactic Antibiotic - First OR Second-Generation Cephalosporin,N/A,N/A,268,21,Percentage of surgical patients aged 18 years and older undergoing procedures with the indications for a first OR second-generation cephalosporin prophylactic antibiotic who had an order for a first OR second-generation cephalosporin for antimicrobial prophylaxis,Patient Safety,Process,American Society of Plastic Surgeons,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_021_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_021_MedicarePartBClaims.pdf,,,FALSE,FALSE
Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N/A,N/A,N/A,23,"Percentage of surgical patients aged 18 years and older undergoing procedures for which venous thromboembolism (VTE) prophylaxis is indicated in all patients, who had an order for Low Molecular Weight Heparin (LMWH), Low-Dose Unfractionated Heparin (LDUH), adjusted-dose warfarin, fondaparinux or mechanical prophylaxis to be given within 24 hours prior to incision time or within 24 hours after surgery end time",Patient Safety,Process,American Society of Plastic Surgeons,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,-,-,X,X,X,X,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_023_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_023_MedicarePartBClaims.pdf,,,FALSE,FALSE
Communication with the Physician or Other Clinician Managing On-Going Care Post-Fracture for Men and Women Aged 50 Years and Older,N/A,N/A,N/A,24,"Percentage of patients aged 50 years and older treated for a fracture with documentation of communication, between the physician treating the fracture and the physician or other clinician managing the patient's on-going care, that a fracture occurred and that the patient was or should be considered for osteoporosis treatment or testing. This measure is submitted by the physician who treats the fracture and who therefore is held accountable for the communication",Communication and Care Coordination,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_024_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_024_MedicarePartBClaims.pdf,,,FALSE,FALSE
Screening for Osteoporosis for Women Aged 65-85 Years of Age,N/A,N/A,46,39,Percentage of female patients aged 65-85 years of age who ever had a central dual-energy X-ray absorptiometry (DXA) to check for osteoporosis,Effective Clinical Care,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_039_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_039_MedicarePartBClaims.pdf,,,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N/A,N/A,236,44,Percentage of isolated Coronary Artery Bypass Graft (CABG) surgeries for patients aged 18 years and older who received a beta-blocker within 24 hours prior to surgical incision,Effective Clinical Care,Process,Centers for Medicare & Medicaid Services,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_044_MIPSCQM.pdf,,,,FALSE,FALSE
Medication Reconciliation Post-Discharge,N/A,N/A,97,46,"The percentage of discharges from any inpatient facility (e.g. hospital, skilled nursing facility, or rehabilitation facility) for patients 18 years of age and older seen within 30 days following discharge in the office by the physician, prescribing practitioner, registered nurse, or clinical pharmacist providing on-going care for whom the discharge medication list was reconciled with the current medication list in the outpatient medical record
This measure is submitted as three rates stratified by age group:
- Submission Criteria 1: 18-64 years of age
- Submission Criteria 2: 65 years and older
- Total Rate: All patients 18 years of age and older",Communication and Care Coordination,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,multiPerformanceRate,2017,null,,TRUE,FALSE,,3,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_046_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_046_MedicarePartBClaims.pdf,,,FALSE,FALSE
Advance Care Plan,N/A,N/A,326,47,Percentage of patients aged 65 years and older who have an advance care plan or surrogate decision maker documented in the medical record or documentation in the medical record that an advance care plan was discussed but the patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan,Communication and Care Coordination,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,X,-,X,-,-,X,X,X,-,X,X,-,-,X,-,X,X,-,-,-,X,X,X,X,X,-,X,X,X,-,-,-,-,X,-,X,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_047_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_047_MedicarePartBClaims.pdf,,,FALSE,FALSE
Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,N/A,48,Percentage of female patients aged 65 years and older who were assessed for the presence or absence of urinary incontinence within 12 months,Effective Clinical Care,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_048_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_048_MedicarePartBClaims.pdf,,,FALSE,FALSE
Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,N/A,50,Percentage of female patients aged 65 years and older with a diagnosis of urinary incontinence with a documented plan of care for urinary incontinence at least once within 12 months,Person and Caregiver-Centered Experience and Outcomes,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_050_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_050_MedicarePartBClaims.pdf,,,FALSE,FALSE
Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N/A,N/A,91,51,Percentage of patients aged 18 years and older with a diagnosis of COPD who had spirometry results documented,Effective Clinical Care,Process,American Thoracic Society,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_051_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_051_MedicarePartBClaims.pdf,,,FALSE,FALSE
Chronic Obstructive Pulmonary Disease (COPD): Long-Acting Inhaled Bronchodilator Therapy,N/A,N/A,102,52,Percentage of patients aged 18 years and older with a diagnosis of COPD (FEV1/FVC < 70%) and who have an FEV1 less than 60% predicted and have symptoms who were prescribed a long-acting inhaled bronchodilator,Effective Clinical Care,Process,American Thoracic Society,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_052_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_052_MedicarePartBClaims.pdf,,,FALSE,FALSE
Appropriate Treatment for Children with Upper Respiratory Infection (URI),CMS154v7,N/A,69,65,Percentage of children 3 months - 18 years of age who were diagnosed with upper respiratory infection (URI) and were not dispensed an antibiotic prescription on or three days after the episode,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,X,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_065_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms154v7,FALSE,FALSE
Appropriate Testing for Children with Pharyngitis,CMS146v7,N/A,N/A,66,"Percentage of children 3-18 years of age who were diagnosed with pharyngitis, ordered an antibiotic and received a group A streptococcus (strep) test for the episode",Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,X,-,-,X,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_066_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms146v7,FALSE,FALSE
 Hematology: Myelodysplastic Syndrome (MDS) and Acute Leukemias: Baseline Cytogenetic Testing Performed on Bone Marrow ,N/A,N/A,377,67,Percentage of patients aged 18 years and older with a diagnosis of myelodysplastic syndrome (MDS) or an acute leukemia who had baseline cytogenetic testing performed on bone marrow,Effective Clinical Care,Process,American Society of Hematology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_067_MIPSCQM.pdf,,,,FALSE,FALSE
 Hematology: Myelodysplastic Syndrome (MDS): Documentation of Iron Stores in Patients Receiving Erythropoietin Therapy,N/A,N/A,378,68,Percentage of patients aged 18 years and older with a diagnosis of myelodysplastic syndrome (MDS) who are receiving erythropoietin therapy with documentation of iron stores within 60 days prior to initiating erythropoietin therapy,Effective Clinical Care,Process,American Society of Hematology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_068_MIPSCQM.pdf,,,,FALSE,FALSE
 Hematology: Multiple Myeloma: Treatment with Bisphosphonates ,N/A,N/A,N/A,69,"Percentage of patients aged 18 years and older with a diagnosis of multiple myeloma, not in remission, who were prescribed or received intravenous bisphosphonate therapy within the 12-month reporting period",Effective Clinical Care,Process,American Society of Hematology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_069_MIPSCQM.pdf,,,,FALSE,TRUE
Hematology: Chronic Lymphocytic Leukemia (CLL): Baseline Flow Cytometry,N/A,N/A,N/A,70,"Percentage of patients aged 18 years and older, seen within a 12-month reporting period, with a diagnosis of chronic lymphocytic leukemia (CLL) made at any time during or prior to the reporting period who had baseline flow cytometry studies performed and documented in the chart",Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_070_MIPSCQM.pdf,,,,FALSE,FALSE
 Prevention of Central Venous Catheter (CVC) - Related Bloodstream Infections ,N/A,N/A,2726,76,"Percentage of patients, regardless of age, who undergo central venous catheter (CVC) insertion for whom CVC was inserted with all elements of maximal sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed",Patient Safety,Process,American Society of Anesthesiologists,X,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_076_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_076_MedicarePartBClaims.pdf,,,FALSE,FALSE
Acute Otitis Externa (AOE): Topical Therapy,N/A,N/A,653,91,Percentage of patients aged 2 years and older with a diagnosis of AOE who were prescribed topical preparations,Effective Clinical Care,Process,American Academy of Otolaryngology - Head and Neck Surgery,X,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_091_MIPSCQM%20(1).pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_091_MedicarePartBClaims.pdf,,,FALSE,FALSE
Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy - Avoidance of Inappropriate Use,N/A,N/A,654,93,Percentage of patients aged 2 years and older with a diagnosis of AOE who were not prescribed systemic antimicrobial therapy,Efficiency and Cost Reduction,Process,American Academy of Otolaryngology - Head and Neck Surgery,X,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_093_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_093_MedicarePartBClaims.pdf,,,FALSE,FALSE
