title,description,measureId,subcategoryId,weight,metricType,firstPerformanceYear
Use of QCDR for feedback reports that incorporate population health ,"Use of a QCDR to generate regular feedback reports that summarize local practice patterns and treatment outcomes, including for vulnerable populations.",IA_PM_7,Population Management,High,boolean,2017
Regular review practices in place on targeted patient population needs,"Implement regular reviews of targeted patient population needs, such as structured clinical case reviews, which include access to reports that show unique characteristics of MIPS eligible clinician's patient population, identification of underserved patients, and how clinical treatment needs are being tailored, if necessary, to address unique needs and what resources in the community have been identified as additional resources. The review should consider how structural inequities, such as racism, are influencing patterns of care and consider changes to acknowledge and address them. Reviews should stratify patient data by demographic characteristics and health related social needs to appropriately identify differences among unique populations and assess the drivers of gaps and disparities and identify interventions appropriate for the needs of the sub-populations.",IA_PM_11,Population Management,Medium,boolean,2017
Population empanelment,"Empanel (assign responsibility for) the total population, linking each patient to a MIPS eligible clinician or group or care team.

Empanelment is a series of processes that assign each active patient to a MIPS eligible clinician or group and/or care team, confirm assignment with patients and clinicians, and use the resultant patient panels as a foundation for individual patient and population health management. 

Empanelment identifies the patients and population for whom the MIPS eligible clinician or group and/or care team is responsible and is the foundation for the relationship continuity between patient and MIPS eligible clinician or group /care team that is at the heart of comprehensive primary care. Effective empanelment requires identification of the “active population” of the practice: those patients who identify and use your practice as a source for primary care. There are many ways to define “active patients” operationally, but generally, the definition of “active patients” includes patients who have sought care within the last 24 to 36 months, allowing inclusion of younger patients who have minimal acute or preventive health care.
",IA_PM_12,Population Management,Medium,boolean,2017
Chronic Care and Preventative Care Management for Empaneled Patients,"In order to receive credit for this activity, a MIPS eligible clinician must manage chronic and preventive care for empaneled patients (that is, patients assigned to care teams for the purpose of population health management), which could include one or more of the following actions:
• Provide patients annually with an opportunity for development and/or adjustment of an individualized plan of care as appropriate to age and health status, including health risk appraisal; gender, age and condition-specific preventive care services; and plan of care for chronic conditions;
• Use evidence based, condition-specific pathways for care of chronic conditions (for example, hypertension, diabetes, depression, asthma, and heart failure). These might include, but are not limited to, the NCQA Diabetes Recognition Program (DRP) and the NCQA Heart/Stroke Recognition Program (HSRP);
• Use pre-visit planning, that is, preparations for conversations or actions to propose with patient before an in-office visit to optimize preventive care and team management of patients with chronic conditions;
• Use panel support tools, (that is, registry functionality) or other technology that can use clinical data to identify trends or data points in patient records to identify services due;
• Use predictive analytical models to predict risk, onset and progression of chronic diseases; and/or
• Use reminders and outreach (e.g., phone calls, emails, postcards, patient portals, and community health workers where available) to alert and educate patients about services due; and/or routine medication reconciliation.",IA_PM_13,Population Management,Medium,boolean,2017
Implementation of methodologies for improvements in longitudinal care management for high risk patients,"Provide longitudinal care management to patients at high risk for adverse health outcome or harm that could include one or more of the following: 
• Use a consistent method to assign and adjust global risk status for all empaneled patients to allow risk stratification into actionable risk cohorts. Monitor the risk-stratification method and refine as necessary to improve accuracy of risk status identification; 
• Use a personalized plan of care for patients at high risk for adverse health outcome or harm, integrating patient goals, values and priorities; and/or
• Use on-site practice-based or shared care managers to proactively monitor and coordinate care for the highest risk cohort of patients.
",IA_PM_14,Population Management,Medium,boolean,2017
Implementation of episodic care management practice improvements,"Provide episodic care management, including management across transitions and referrals that could include one or more of the following:
• Routine and timely follow-up to hospitalizations, ED visits and stays in other institutional settings, including symptom and disease management, and medication reconciliation and management; and/or
• Managing care intensively through new diagnoses, injuries and exacerbations of illness.
",IA_PM_15,Population Management,Medium,boolean,2017
Implementation of medication management practice improvements,"Manage medications to maximize efficiency, effectiveness and safety that could include one or more of the following: 
• Reconcile and coordinate medications and provide medication management across transitions of care settings and eligible clinicians or groups; 
• Integrate a pharmacist into the care team; and/or
• Conduct periodic, structured medication reviews.
",IA_PM_16,Population Management,Medium,boolean,2017
Participation in Population Health Research,"Participation in federally and/or privately funded research that identifies interventions, tools, or processes that can improve a targeted patient population.",IA_PM_17,Population Management,Medium,boolean,2018
Provide Clinical-Community Linkages,"Engaging community health workers to provide a comprehensive link to community resources through family-based services focusing on success in health, education, and self-sufficiency. This activity supports individual MIPS eligible clinicians or groups that coordinate with primary care and other clinicians, engage and support patients, use of health information technology, and employ quality measurement and improvement processes. An example of this community based program is the NCQA Patient-Centered Connected Care (PCCC) Recognition Program or other such programs that meet these criteria.",IA_PM_18,Population Management,Medium,boolean,2018
Glycemic Screening Services,"For at-risk outpatient Medicare beneficiaries, individual MIPS eligible clinicians and groups must attest to implementation of systematic preventive approaches in clinical practice for at least 60 percent for the 2018 performance period and 75 percent in future years, of electronic medical records with documentation of screening patients for abnormal blood glucose according to current US Preventive Services Task Force (USPSTF) and/or American Diabetes Association (ADA) guidelines.",IA_PM_19,Population Management,Medium,boolean,2018
Glycemic Referring Services,"For at-risk outpatient Medicare beneficiaries, individual MIPS eligible clinicians and groups must attest to implementation of systematic preventive approaches in clinical practice for at least 60 percent for the CY 2018 performance period and 75 percent in future years, of medical records with documentation of referring eligible patients with prediabetes to a CDC-recognized diabetes prevention program operating under the framework of the National Diabetes Prevention Program.",IA_PM_20,Population Management,Medium,boolean,2018
Advance Care Planning,"Implementation of practices/processes to develop advance care planning that includes: documenting the advance care plan or living will within the medical record, educating clinicians about advance care planning motivating them to address advance care planning needs of their patients, and how these needs can translate into quality improvement, educating clinicians on approaches and barriers to talking to patients about end-of-life and palliative care needs and ways to manage its documentation, as well as informing clinicians of the healthcare policy side of advance care planning.",IA_PM_21,Population Management,Medium,boolean,2018
Implementation of Use of Specialist Reports Back to Referring Clinician or Group to Close Referral Loop,Performance of regular practices that include providing specialist reports back to the referring individual MIPS eligible clinician or group to close the referral loop or where the referring individual MIPS eligible clinician or group initiates regular inquiries to specialist for specialist reports which could be documented or noted in the EHR technology.,IA_CC_1,Care Coordination,Medium,boolean,2017
Implementation of improvements that contribute to more timely communication of test results,Timely communication of test results defined as timely identification of abnormal test results with timely follow-up.,IA_CC_2,Care Coordination,Medium,boolean,2017
Regular training in care coordination,Implementation of regular care coordination training. ,IA_CC_7,Care Coordination,Medium,boolean,2017
Implementation of documentation improvements for practice/process improvements,"Implementation of practices/processes that document care coordination activities (e.g., a documented care coordination encounter that tracks all clinical staff involved and communications from date patient is scheduled for outpatient procedure through day of procedure).",IA_CC_8,Care Coordination,Medium,boolean,2017
Implementation of practices/processes for developing regular individual care plans,"Implementation of practices/processes, including a discussion on care, to develop regularly updated individual care plans for at-risk patients that are shared with the beneficiary or caregiver(s). Individual care plans should include consideration of a patient’s goals and priorities, as well as desired outcomes of care.",IA_CC_9,Care Coordination,Medium,boolean,2017
Care transition documentation practice improvements,"In order to receive credit for this activity, a MIPS eligible clinician must document practices/processes for care transition with documentation of how a MIPS eligible clinician or group carried out an action plan for the patient with the patient’s preferences in mind (that is, a “patient-centered” plan) during the first 30 days following a discharge. Examples of these practices/processes for care transition include: staff involved in the care transition; phone calls conducted in support of transition; accompaniments of patients to appointments or other navigation actions; home visits; patient information access to their medical records; real time communication between PCP and consulting clinicians; PCP included on specialist follow-up or transition communications.",IA_CC_10,Care Coordination,Medium,boolean,2017
Care transition standard operational improvements,"Establish standard operations to manage transitions of care that could include one or more of the following: 
• Establish formalized lines of communication with local settings in which empaneled patients receive care to ensure documented flow of information and seamless transitions in care; and/or
• Partner with community or hospital-based transitional care services.
",IA_CC_11,Care Coordination,Medium,boolean,2017
Care coordination agreements that promote improvements in patient tracking across settings,"Establish effective care coordination and active referral management that could include one or more of the following:
• Establish care coordination agreements with frequently used consultants that set expectations for documented flow of information and MIPS eligible clinician or MIPS eligible clinician group expectations between settings. Provide patients with information that sets their expectations consistently with the care coordination agreements; 
• Track patients referred to specialist through the entire process; and/or
• Systematically integrate information from referrals into the plan of care.
",IA_CC_12,Care Coordination,Medium,boolean,2017
Practice Improvements for Bilateral Exchange of Patient Information,"Ensure that there is bilateral exchange of necessary patient information to guide patient care, such as Open Notes, that could include one or more of the following: 
• Participate in a Health Information Exchange if available; and/or 
• Use structured referral notes.
",IA_CC_13,Care Coordination,Medium,boolean,2017
Practice improvements that engage community resources to support patient health goals,"Select and screen for the health-related social needs (HRSN) that are relevant for your patient population using tools that have been tested with underserved populations. If possible, use a screening tool that is health IT-enabled and includes standards-based, coded question/field for the capture of data. After screening, address HRSNs identified through at least one of the following:
• Maintain formal relationships with community- based organizations to strengthen the community service referral process, implementing closed-loop referrals where feasible; or 
• Update a guide to available community resources, or work with community partners to provide a community resource guide and provide it to patients who are found to be at risk in one or more HRSN area; or
• Record findings of screening and trigger follow-up within the electronic health record (EHR); then analyze EHR data on patients with one or more HRSN needed to identify and implement approaches to better serve their holistic needs through linkages with community resources. 

HRSNs prioritized by your practice might include health-harming legal needs, which require both health and legal support to resolve, areas such as food and housing insecurity, or needs such as exercise, nutrition, or chronic disease self-management.",IA_CC_14,Care Coordination,High,boolean,2017
PSH Care Coordination,"Participation in a Perioperative Surgical Home (PSH) that provides a patient-centered, physician-led, interdisciplinary, and team-based system of coordinated patient care, which coordinates care from pre-procedure assessment through the acute care episode, recovery, and post-acute care. This activity allows for reporting of strategies and processes related to care coordination of patients receiving surgical or procedural care within a PSH. The clinician must perform one or more of the following care coordination activities:
• Coordinate with care managers/navigators in preoperative clinic to plan and implementation comprehensive post discharge plan of care;
• Deploy perioperative clinic and care processes to reduce post-operative visits to emergency rooms;
• Implement evidence-informed practices and standardize care across the entire spectrum of surgical patients; or
• Implement processes to ensure effective communications and education of patients’ post-discharge instructions.
",IA_CC_15,Care Coordination,High,boolean,2018
Primary Care Physician and Behavioral Health Bilateral Electronic Exchange of Information for Shared Patients,The primary care and behavioral health practices use the same electronic health record system for shared patients or have an established bidirectional flow of primary care and behavioral health records.,IA_CC_16,Care Coordination,Medium,boolean,2018
Patient Navigator Program,"Implement a Patient Navigator Program that offers evidence-based resources and tools to reduce avoidable hospital readmissions, utilizing a patient-centered and team-based approach, leveraging evidence-based best practices to improve care for patients by making hospitalizations less stressful, and the recovery period more supportive by implementing quality improvement strategies.",IA_CC_17,Care Coordination,High,boolean,2018
Relationship-Centered Communication,"In order to receive credit for this activity, MIPS eligible clinicians must participate in a minimum of eight hours of training on relationship-centered care tenets such as making effective open-ended inquiries; eliciting patient stories and perspectives; listening and responding with empathy; using the ART (ask, respond, tell) communication technique to engage patients, and developing a shared care plan. The training may be conducted in formats such as, but not limited to: interactive simulations practicing the skills above, or didactic instructions on how to implement improvement action plans, monitor progress, and promote stability around improved clinician communication.",IA_CC_18,Care Coordination,Medium,boolean,2019
Tracking of clinician’s relationship to and responsibility for a patient by reporting MACRA patient relationship codes.,"To receive credit for this improvement activity, a MIPS eligible clinician must attest that they reported MACRA patient relationship codes (PRC) using the applicable HCPCS modifiers on 50 percent or more of their Medicare claims for a minimum of a continuous 90-day period within the performance period. Reporting the PRC modifiers enables the identification of a clinician’s relationship with, and responsibility for, a patient at the time of furnishing an item or service. See the CY 2018 PFS final rule (82 FR 53232 through 53234) for more details on these codes.",IA_CC_19,Care Coordination,High,boolean,2020
Use of certified EHR to capture patient reported outcomes,"To improve patient access, perform activities beyond routine care that enable capture of patient reported outcomes (for example, related to functional status, symptoms and symptom burden, health behaviors, or patient experience) or patient activation measures (that is, measures of patient involvement in their care) through use of certified electronic health record technology, and record these outcomes data for clinician review.",IA_BE_1,Beneficiary Engagement,Medium,boolean,2017
Engagement with QIN-QIO to implement self-management training programs,"Engagement with a Quality Innovation Network-Quality Improvement Organization, which may include participation in self-management training programs such as diabetes.",IA_BE_3,Beneficiary Engagement,Medium,boolean,2017
Engagement of patients through implementation of improvements in patient portal,"To receive credit for this activity, MIPS eligible clinicians must provide access to an enhanced patient/caregiver portal that allows users (patients or caregivers and their clinicians) to engage in bidirectional information exchange. The primary use of this portal should be clinical and not administrative. Examples of the use of such a portal include, but are not limited to:  brief patient reevaluation by messaging; communication about test results and follow up; communication about medication adherence, side effects, and refills; blood pressure management for a patient with hypertension; blood sugar management for a patient with diabetes; or any relevant acute or chronic disease management.",IA_BE_4,Beneficiary Engagement,Medium,boolean,2017
Enhancements/regular updates to practice websites/tools that also include considerations for patients with cognitive disabilities,"Enhancements and ongoing regular updates and use of websites/tools that include consideration for compliance with section 508 of the Rehabilitation Act of 1973 or for improved design for patients with cognitive disabilities. Refer to the CMS website on Section 508 of the Rehabilitation Act https://www.cms.gov/Research-Statistics-Data-and-Systems/CMS-Information-Technology/Section508/index.html?redirect=/InfoTechGenInfo/07_Section508.asp that requires that institutions receiving federal funds solicit, procure, maintain and use all electronic and information technology (EIT) so that equal or alternate/comparable access is given to members of the public with and without disabilities. For example, this includes designing a patient portal or website that is compliant with section 508 of the Rehabilitation Act of 1973.",IA_BE_5,Beneficiary Engagement,Medium,boolean,2017
Regularly Assess Patient Experience of Care and Follow Up on Findings,"Collect and follow up on patient experience and satisfaction data. This activity also requires follow-up on findings of assessments, including the development and implementation of improvement plans. To fulfill the requirements of this activity, MIPS eligible clinicians can use surveys (e.g., Consumer Assessment of Healthcare Providers and Systems Survey), advisory councils, or other mechanisms. MIPS eligible clinicians may consider implementing patient surveys in multiple languages, based on the needs of their patient population.",IA_BE_6,Beneficiary Engagement,High,boolean,2017
"Participation in a QCDR, that promotes use of patient engagement tools. ","Participation in a Qualified Clinical Data Registry (QCDR), that promotes patient engagement, including:
• Use of processes and tools that engage patients for adherence to treatment plans;
• Implementation of patient self-action plans;
• Implementation of shared clinical decision making capabilities; or
• Use of QCDR patient experience data to inform and advance improvements in beneficiary engagement.",IA_BE_7,Beneficiary Engagement,Medium,boolean,2017
"Participation in a QCDR, that promotes collaborative learning network opportunities that are interactive. ","Participation in a QCDR, that promotes collaborative learning network opportunities that are interactive. ",IA_BE_8,Beneficiary Engagement,Medium,boolean,2017
Use evidence-based decision aids to support shared decision-making.,Use evidence-based decision aids to support shared decision-making.,IA_BE_12,Beneficiary Engagement,Medium,boolean,2017
Engage Patients and Families to Guide Improvement in the System of Care,"Engage patients and families to guide improvement in the system of care by leveraging digital tools for ongoing guidance and assessments outside the encounter, including the collection and use of patient data for return-to-work and patient quality of life improvement. Platforms and devices that collect patient-generated health data (PGHD) must do so with an active feedback loop, either providing PGHD in real or near-real time to the care team, or generating clinically endorsed real or near-real time automated feedback to the patient, including patient reported outcomes (PROs). Examples include patient engagement and outcomes tracking platforms, cellular or web-enabled bi-directional systems, and other devices that transmit clinically valid objective and subjective data back to care teams. Because many consumer-grade devices capture PGHD (for example, wellness devices), platforms or devices eligible for this improvement activity must be, at a minimum, endorsed and offered clinically by care teams to patients to automatically send ongoing guidance (one way). Platforms and devices that additionally collect PGHD must do so with an active feedback loop, either providing PGHD in real or near-real time to the care team, or generating clinically endorsed real or near-real time automated feedback to the patient (e.g. automated patient-facing instructions based on glucometer readings). Therefore, unlike passive platforms or devices that may collect but do not transmit PGHD in real or near-real time to clinical care teams, active devices and platforms can inform the patient or the clinical care team in a timely manner of important parameters regarding a patient’s status, adherence, comprehension, and indicators of clinical concern.",IA_BE_14,Beneficiary Engagement,High,boolean,2017
"Engagement of Patients, Family, and Caregivers in Developing a Plan of Care","Engage patients, family, and caregivers in developing a plan of care and prioritizing their goals for action, documented in the electronic health record (EHR) technology.",IA_BE_15,Beneficiary Engagement,Medium,boolean,2017
Promote Self-management in Usual Care,"To help patients self-manage their care, incorporate culturally and linguistically tailored evidence-based techniques for promoting self-management into usual care, and provide patients with tools and resources for self-management. Examples of evidence-based techniques to use in usual care include: goal setting with structured follow-up, Teach-back methods, action planning, assessment of need for self-management (for example, the Patient Activation Measure), and motivational interviewing. Examples of tools and resources to provide patients directly or through community organizations include: peer-led support for self-management, condition-specific chronic disease or substance use disorder self-management programs, and self-management materials. ",IA_BE_16,Beneficiary Engagement,Medium,boolean,2017
"Use group visits for common chronic conditions (e.g., diabetes).","Use group visits for common chronic conditions (e.g., diabetes).",IA_BE_19,Beneficiary Engagement,Medium,boolean,2017
Improved Practices that Engage Patients Pre-Visit,"Implementation of workflow changes that engage patients prior to the visit, such as a pre-visit development of a shared visit agenda with the patient, or targeted pre-visit laboratory testing that will be resulted and available to the MIPS eligible clinician to review and discuss during the patient’s appointment.",IA_BE_22,Beneficiary Engagement,Medium,boolean,2017
Integration of patient coaching practices between visits,Provide coaching between visits with follow-up on care plan and goals.,IA_BE_23,Beneficiary Engagement,Medium,boolean,2017
Financial Navigation Program,"In order to receive credit for this activity, MIPS eligible clinicians must attest that their practice provides financial counseling to patients or their caregiver about costs of care and an exploration of different payment options. The MIPS eligible clinician may accomplish this by working with other members of their practice (for example, financial counselor or patient navigator) as part of a team-based care approach in which members of the patient care team collaborate to support patient- centered goals. For example, a financial counselor could provide patients with resources with further information or support options, or facilitate a conversation with a patient or caregiver that could address concerns. This activity may occur during diagnosis stage, before treatment, during treatment, and/or during survivorship planning, as appropriate.",IA_BE_24,Beneficiary Engagement,Medium,boolean,2019
Drug Cost Transparency,"Provide counseling to patients and/or their caregivers regarding: costs of medications using a real time benefit tool (RTBT) which provides to the prescriber real-time patient-specific formulary and benefit information for drugs, including cost-sharing for a beneficiary.",IA_BE_25,Beneficiary Engagement,High,boolean,2020
Participation in an AHRQ-listed patient safety organization. ,Participation in an AHRQ-listed patient safety organization. ,IA_PSPA_1,Patient Safety and Practice Assessment,Medium,boolean,2017
Participation in MOC Part IV,"In order to receive credit for this activity, a MIPS eligible clinician must participate in Maintenance of Certification (MOC) Part IV. Maintenance of Certification (MOC) Part IV requires clinicians to perform monthly activities across practice to regularly assess performance by reviewing outcomes addressing identified areas for improvement and evaluating the results. 

Some examples of activities that can be completed to receive MOC Part IV credit are: the American Board of Internal Medicine (ABIM) Approved Quality Improvement (AQI) Program, National Cardiovascular Data Registry (NCDR) Clinical Quality Coach, Quality Practice Initiative Certification Program, American Board of Medical Specialties Practice Performance Improvement Module or American Society of Anesthesiologists (ASA) Simulation Education Network, for improving professional practice including participation in a local, regional or national outcomes registry or quality assessment program; specialty- specific activities including Safety Certification in Outpatient Practice Excellence (SCOPE); American Psychiatric Association (APA) Performance in Practice modules.",IA_PSPA_2,Patient Safety and Practice Assessment,Medium,boolean,2017
"Participate in IHI Training/Forum Event; National Academy of Medicine, AHRQ Team STEPPS® or Other Similar Activity","For MIPS eligible clinicians not participating in Maintenance of Certification (MOC) Part IV, new engagement for MOC Part IV, such as the Institute for Healthcare Improvement (IHI) Training/Forum Event; National Academy of Medicine, Agency for Healthcare Research and Quality (AHRQ) Team STEPPS®, or the American Board of Family Medicine (ABFM) Performance in Practice Modules.",IA_PSPA_3,Patient Safety and Practice Assessment,Medium,boolean,2017
Administration of the AHRQ Survey of Patient Safety Culture,"Administration of the AHRQ Survey of Patient Safety Culture and submission of data to the comparative database (refer to AHRQ Survey of Patient Safety Culture website http://www.ahrq.gov/professionals/quality-patient-safety/patientsafetyculture/index.html). Note: This activity may be selected once every 4 years, to avoid duplicative information given that some of the modules may change on a year by year basis but over 4 years there would be a reasonable expectation for the set of modules to have undergone substantive change, for the improvement activities performance category score.   ",IA_PSPA_4,Patient Safety and Practice Assessment,Medium,boolean,2017
Consultation of the Prescription Drug Monitoring program,Review the history of controlled substance prescriptions for 90 percent* of patients using state prescription drug monitoring program (PDMP) data prior to the issuance of a Controlled Substance Schedule II (CSII) opioid prescription lasting longer than 3 days. *Apply exceptions for patients receiving palliative and hospice care.,IA_PSPA_6,Patient Safety and Practice Assessment,High,boolean,2017
Use of QCDR data for ongoing practice assessment and improvements,"Participation in a Qualified Clinical Data Registry (QCDR) and use of QCDR data for ongoing practice assessment and improvements in patient safety, including:
• Performance of activities that promote use of standard practices, tools and processes for quality improvement (for example, documented preventative screening and vaccinations that can be shared across MIPS eligible clinician or groups);
• Use of standard questionnaires for assessing improvements in health disparities related to functional health status (for example, use of Seattle Angina Questionnaire, MD Anderson Symptom Inventory, and/or SF-12/VR-12 functional health status assessment);
• Use of standardized processes for screening for social determinants of health such as food security, employment, and housing;
• Use of supporting QCDR modules that can be incorporated into the certified EHR technology; or
• Use of QCDR data for quality improvement such as comparative analysis across specific patient populations for adverse outcomes after an outpatient surgical procedure and corrective steps to address adverse outcomes.",IA_PSPA_7,Patient Safety and Practice Assessment,Medium,boolean,2017
Use of Patient Safety Tools,"In order to receive credit for this activity, a MIPS eligible clinician must use tools that assist specialty practices in tracking specific measures that are meaningful to their practice.

Some examples of tools that could satisfy this activity are: a surgical risk calculator; evidence based protocols, such as Enhanced Recovery After Surgery (ERAS) protocols; the Centers for Disease Control (CDC) Guide for Infection Prevention for Outpatient Settings predictive algorithms; and the opiate risk tool (ORT) or similar tool.",IA_PSPA_8,Patient Safety and Practice Assessment,Medium,boolean,2017
Completion of the AMA STEPS Forward program,Completion of the American Medical Association’s STEPS Forward program.,IA_PSPA_9,Patient Safety and Practice Assessment,Medium,boolean,2017
Completion of training and receipt of approved waiver for provision opioid medication-assisted treatments,Completion of training and obtaining an approved waiver for provision of medication -assisted treatment of opioid use disorders using buprenorphine.,IA_PSPA_10,Patient Safety and Practice Assessment,Medium,boolean,2017
Participation in private payer CPIA,Participation in designated private payer clinical practice improvement activities.,IA_PSPA_12,Patient Safety and Practice Assessment,Medium,boolean,2017
Participation in Joint Commission Evaluation Initiative,Participation in Joint Commission Ongoing Professional Practice Evaluation initiative.,IA_PSPA_13,Patient Safety and Practice Assessment,Medium,boolean,2017
Implementation of an ASP,"Leadership of an Antimicrobial Stewardship Program (ASP) that includes implementation of an ASP that measures the appropriate use of antibiotics for several different conditions (such as but not limited to upper respiratory infection treatment in children, diagnosis of pharyngitis, bronchitis treatment in adults) according to clinical guidelines for diagnostics and therapeutics. Specific activities may include: 
• Develop facility-specific antibiogram and prepare report of findings with specific action plan that aligns with overall facility or practice strategic plan.
• Lead the development, implementation, and monitoring of patient care and patient safety protocols for the delivery of ASP including protocols pertaining to the most appropriate setting for such services (i.e., outpatient or inpatient). 
• Assist in improving ASP service line efficiency and effectiveness by evaluating and recommending improvements in the management structure and workflow of ASP processes.
• Manage compliance of the ASP policies and assist with implementation of corrective actions in accordance with facility or clinic compliance policies and hospital medical staff by-laws. 
• Lead the education and training of professional support staff for the purpose of maintaining an efficient and effective ASP.
• Coordinate communications between ASP management and facility or practice personnel regarding activities, services, and operational/clinical protocols to achieve overall compliance and understanding of the ASP.
• Assist, at the request of the facility or practice, in preparing for and responding to third-party requests, including but not limited to payer audits, governmental inquiries, and professional inquiries that pertain to the ASP service line. 
• Implementing and tracking an evidence-based policy or practice aimed at improving antibiotic prescribing practices for high-priority conditions.  
• Developing and implementing evidence-based protocols and decision-support for diagnosis and treatment of common infections.
• Implementing evidence-based protocols that align with recommendations in the Centers for Disease Control and Prevention’s Core Elements of Outpatient Antibiotic Stewardship guidance.
",IA_PSPA_15,Patient Safety and Practice Assessment,Medium,boolean,2017
Use of decision support and standardized treatment protocols,Use decision support and standardized treatment protocols to manage workflow in the team to meet patient needs.,IA_PSPA_16,Patient Safety and Practice Assessment,Medium,boolean,2017
