title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,measureArea,isHighPriority,appropriateUse,primarySteward,firstPerformanceYear,lastPerformanceYear,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,audiology,cardiology,certifiedNurseMidwife,chiropracticMedicine,clinicalSocialWork,dentistry,dermatology,diagnosticRadiology,electrophysiologyCardiacSpecialist,emergencyMedicine,endocrinology,familyMedicine,gastroenterology,generalSurgery,geriatrics,hospitalists,infectiousDisease,internalMedicine,interventionalRadiology,mentalBehavioralHealth,nephrology,neurology,neurosurgical,nutritionDietician,obstetricsGynecology,oncology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,physicalTherapyOccupationalTherapy,plasticSurgery,podiatry,preventiveMedicine,pulmonology,radiationOncology,rheumatology,skilledNursingFacility,speechLanguagePathology,thoracicSurgery,urgentCare,urology,vascularSurgery,"additionalGuidence
",telehealthModifiers,isInverse,nonCoveredDenominator,numStrataRegistry,overallAlgorithm,perFrateDescriptions,isNonProportional,,,,,,,,,suppressionReason,,,,,,,,removalReason,,,,,,,,,truncationReason,,,,,,,,flatReason,programMIPS,programPCF,programAPP1,requiredPCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation of Current Medications in the Medical Record,CMS68v11,N/A,N/A,130,Percentage of visits for patients aged 18 years and older for which the eligible professional or eligible clinician attests to documenting a list of current medications using all immediate resources available on the date of the encounter.,Patient Safety,Process,Medication Management,X,-,Centers for Medicare & Medicaid Services,2017,Measure is still in program,X,-,X,-,-,X,"X
2017
2018
2019
2020
2021
2022",2017,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2022",-,"X
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,2017,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022","X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain Assessment and Follow-Up,N/A,N/A,0420,131,Percentage of visits for patients aged 18 years and older with documentation of a pain assessment using a standardized tool(s) on each visit AND documentation of a follow-up plan when pain is present.,Communication and Care Coordination,Process,"Patient's Experience of Care ",X,-,Centers for Medicare & Medicaid Services,2017,2020,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,"2017
2018
2019",2019,-,-,-,-,-,"2018
2019",-,-,-,2019,"2018
2019",-,,X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preventive Care and Screening: Screening for Depression and Follow-Up Plan,CMS2v11,N/A,N/A,134,"Percentage of patients aged 12 years and older screened for depression on the date of the encounter or up to 14 days prior to the date of the encounter using an age-appropriate standardized depression screening tool AND if positive, a follow-up plan is documented on the date of the eligible encounter.

",Community/Population Health,Process,"Prevention, Treatment, and Management of Mental Health ",-,-,Centers for Medicare & Medicaid Services,2017,Measure is still in program,X,-,X,X,-,X,-,-,"X
2020
2021
2022",-,-,-,"X
2020
2021
2022",-,-,-,-,-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,"X
2021
2022",-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,N,N,(Y) 2019,"(Y) 2019
(Y) 2020
(Y) 2021",N,N,Suppression,"2019
2020
2021","Inconsistency resulting with the removal of SNOMED coding related to appropriate follow up not reflected in the narrative measure specifications which resulted in misalignment of measure intent. ",,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanoma: Continuity of Care – Recall System,N/A,N/A,N/A,137,"Percentage of patients, regardless of age, with a current diagnosis of melanoma or a history of melanoma whose information was entered, at least once within a 12 month period, into a recall system that includes:
• A target date for the next complete physical skin exam, AND
• A process to follow up with patients who either did not make an appointment within the specified timeframe or who missed a scheduled appointment.
",Communication and Care Coordination,Structure,Preventive Care,X,-,American Academy of Dermatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,Y (2018),First,2018,Annual analysis of ICD10 codes indicated greater than 10 percent impacted,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanoma: Coordination of Care,N/A,N/A,N/A,138,"Percentage of patient visits, regardless of age, with a new occurrence of melanoma that have a treatment plan documented in the chart that was communicated to the physician(s) providing continuing care within one month of diagnosis.",Communication and Care Coordination,Process,Transfer of Health Information and Interoperability,X,-,American Academy of Dermatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"This measure has multiple denominator options. This measure requires the reporting of only one data completeness and performance rate. 
",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,Y (2018),First,2018,Annual analysis of ICD10 codes indicated greater than 10 percent impacted,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age-Related Macular Degeneration (AMD): Counseling on Antioxidant Supplement ",N/A,N/A,0566,140,Percentage of patients aged 50 years and older with a diagnosis of age-related macular degeneration (AMD) or their caregiver(s) who were counseled within 12 months on the benefits and/or risks of the Age-Related Eye Disease Study (AREDS) 2 formulation for preventing progression of AMD,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Academy of Ophthalmology,2017,2019,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," For denominator criteria, encounter codes with Telehealth modifiers GQ, GT, 95 and POS 02 would not be considered encounter (eligible cases).",,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Open-Angle Glaucoma (POAG): Reduction of Intraocular Pressure (IOP) by 15% OR Documentation of a Plan of Care,N/A,N/A,0563,141,"Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) whose glaucoma treatment has not failed (the most recent IOP was reduced by at least 15% from the pre-intervention level) OR if the most recent IOP was not reduced by at least 15% from the pre-intervention level, a plan of care was documented within the 12 month performance period.",Communication and Care Coordination,Outcome,Management of Chronic Conditions,X,-,American Academy of Ophthalmology,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncology: Medical and Radiation – Pain Intensity Quantified,CMS157v10,0384e,0384,143,"Percentage of patient visits, regardless of patient age, with a diagnosis of cancer currently receiving chemotherapy or radiation therapy in which pain intensity is quantified.",Person and Caregiver-Centered Experience and Outcomes,Process,Management of Chronic Conditions,X,-,American Society of Clinical Oncology,2017,Measure is still in program,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,"N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncology: Medical and Radiation - Plan of Care for Pain,N/A,N/A,0383,144,"Percentage of visits for patients, regardless of age, with a diagnosis of cancer currently receiving chemotherapy or radiation therapy who report having pain with a documented plan of care to address pain.",Person and Caregiver-Centered Experience and Outcomes,Process,Patient Focused Episode of Care,X,-,American Society of Clinical Oncology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,"N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,Y (2019),N,N,N,N,Y (2019),2019,"The 2019 measure would need to be benchmarked on current year performance data. ",,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiology: Exposure Dose Indices or Exposure Time and Number of Images Reported for Procedures Using Fluoroscopy,N/A,N/A,N/A,145,"Final reports for procedures using fluoroscopy that document radiation exposure indices, or exposure time and number of fluorographic images (if radiation exposure indices are not available).",Patient Safety,Process,Appropriate Use of Healthcare,X,-,American College of Radiology,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiology: Inappropriate Use of “Probably Benign” Assessment Category in Screening Mammograms,N/A,N/A,0508,146,Percentage of final reports for screening mammograms that are classified as “probably benign”.,Efficiency and Cost Reduction,Process,Transfer of Health Information and Interoperability,X,-,American College of Radiology,2017,2021,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Performance hierarchy is reversed to determine the most favorable instance of reporting for performance rate calculations (fails performance then meets performance) - used when multiple QDCs are reported on the same claim/day.                                                                                           ",-,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N/A,N/A,N/A,147,"Percentage of final reports for all patients, regardless of age, undergoing bone scintigraphy that include physician documentation of correlation with existing relevant imaging studies (e.g., x-ray, Magnetic Resonance Imaging (MRI), Computed Tomography (CT), etc.) that were performed.",Communication and Care Coordination,Process,Transfer of Health Information and Interoperability,X,-,Society of Nuclear Medicine and Molecular Imaging,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls: Risk Assessment,N/A,N/A,0101,154,Percentage of patients aged 65 years and older with a history of falls that had a risk assessment for falls completed within 12 months.,Patient Safety,Process,Preventable Healthcare Harm,X,-,National Committee for Quality Assurance,2017,2022,X,-,-,-,-,X,-,-,"2020
2021",-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,"2020
2021",-,-,"2017
2018
2019
2020
2021",-,-,-,"2018
2019
2020
2021",-,-,-,-,-,"2018
2019
2020
2021","2018
2019
2020
2021",-,-,"2017
2018
2019
2020
2021","2020
2021",-,"2018
2019
2020
2021","2018
2019
2020
2021",-,-,-,"2019
2020
2021",-,-,-,-,-,"No requirement exists to report both measures (154 and 155) when paired.  Any paired measure reported would count as an individual measure.  The system should not require that an eligible clinician report both of the paired measures. The system should consider each of these measures as an individually reportable measure.  An eligible clinician may report both or only one of the paired measures as part of the measures threshold required for data completeness.  ",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls: Plan of Care,N/A,N/A,0101,155,Percentage of patients aged 65 years and older with a history of falls that had a plan of care for falls documented within 12 months.,Communication and Care Coordination,Process,Preventable Healthcare Harm,X,-,National Committee for Quality Assurance,2017,Measure is still in program,X,-,-,-,-,X,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022","X
2020
2021
2022",-,"X
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022",-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,"Denominator coding is CPT II code 1100F (without a 1P, 2P, 3P or 8P modifier) AND encounter codes from measure 154.

No requirement exists to report both measures (154 and 155)  when paired.  Any paired measure reported would count as an individual measure.  The system should not require that an eligible clinician report both of the paired measures. The system should consider each of these measures as an individually reportable measure.  An eligible clinician may report both or only one of the paired measures as part of the measures threshold required for data completeness.
",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncology: Radiation Dose Limits to Normal Tissues,N/A,N/A,0382,156,"Percentage of patients, regardless of age, with a diagnosis of breast, rectal, pancreatic or lung cancer receiving 3D conformal radiation therapy who had documentation in medical record that radiation dose limits to normal tissues were established prior to the initiation of a course of 3D conformal radiation for a minimum of two tissues",Patient Safety,Process,Appropriate Use of Healthcare,X,X,American Society for Radiation Oncology,2017,2019,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,"N/A",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV/AIDS: Pneumocystis Jiroveci Pneumonia (PCP) Prophylaxis,CMS52v8,N/A,N/A,160,Percentage of patients aged 6 weeks and older with a diagnosis of HIV/AIDS who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,National Committee for Quality Assurance,2017,2020,-,-,X,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The eCQM measure requires the reporting of three performance rates. An overall performance rate needs to be calculated for this measure. A weighted average will be determined at the numerator and denominator count level. 
",-,N,N/A,3,Weighted Average,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes: Foot Exam,CMS123v6,N/A,0056,163,The percentage of patients 18-75 years of age with diabetes (type 1 and type 2) who received a foot exam (visual inspection and sensory exam with mono filament and a pulse exam) during the measurement year,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,National Committee for Quality Assurance,2017,2019,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Bypass Graft (CABG): Prolonged Intubation,N/A,N/A,0129,164,Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require postoperative intubation > 24 hours.,Effective Clinical Care,Outcome,Preventable Healthcare Harm,X,-,Society of Thoracic Surgeons,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Bypass Graft (CABG): Deep Sternal Wound Infection Rate,N/A,N/A,0130,165,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who, within 30 days postoperatively, develop deep sternal wound infection involving muscle, bone, and/or mediastinum requiring operative intervention.",Effective Clinical Care,Outcome,Healthcare-associated Infections,X,-,Society of Thoracic Surgeons,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,"N/A",-,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Bypass Graft (CABG): Stroke,N/A,N/A,0131,166,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who have a postoperative stroke (i.e., any confirmed neurological deficit of abrupt onset caused by a disturbance in blood supply to the brain) that did not resolve within 24 hours.",Effective Clinical Care,Outcome,Preventable Healthcare Harm,X,-,Society of Thoracic Surgeons,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,"N/A",-,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Bypass Graft (CABG): Postoperative Renal Failure,N/A,N/A,0114,167,Percentage of patients aged 18 years and older undergoing isolated CABG surgery (without pre-existing renal failure) who develop postoperative renal failure or require dialysis.,Effective Clinical Care,Outcome,Preventable Healthcare Harm,X,-,Society of Thoracic Surgeons,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Bypass Graft (CABG): Surgical Re-Exploration,N/A,N/A,0115,168,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require a return to the operating room (OR) during the current hospitalization for mediastinal bleeding with or without tamponade, graft occlusion, valve dysfunction, or other cardiac reason.",Effective Clinical Care,Outcome,Preventable Healthcare Harm,X,-,Society of Thoracic Surgeons,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuberculosis Screening Prior to First Course Biologic Therapy,N/A,N/A,N/A,176,"If a patient has been newly prescribed a biologic disease-modifying anti-rheumatic drug (DMARD) therapy, then the medical record should indicate TB testing in the preceding 12-month period.
",Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American College of Rheumatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,"X
2022",-,-,-,-,-,-,-,-,-,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatoid Arthritis (RA): Periodic Assessment of Disease Activity,N/A,N/A,2523,177,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have an assessment of disease activity using an ACR-preferred RA disease activity assessment tool at ≥50% of encounters for RA for each patient during the measurement year.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American College of Rheumatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,0,,,,,,,,,N,N,N,N,N,Y (2019),2019,"ACRheumatology confirmed the change may impact the performance data - Offered to establish new benchmark
",,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatoid Arthritis (RA): Functional Status Assessment,N/A,N/A,N/A,178,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) for whom a functional status assessment was performed at least once within 12 months.,Effective Clinical Care,Process,"Patient's Experience of Care ",-,-,American College of Rheumatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatoid Arthritis (RA): Assessment and Classification of Disease Prognosis,N/A,N/A,N/A,179,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have an assessment and classification of disease prognosis at least once within 12 months.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American College of Rheumatology,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatoid Arthritis (RA): Glucocorticoid Management,N/A,N/A,N/A,180,"Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have been assessed for glucocorticoid use and, for those on prolonged doses of prednisone > 5 mg daily (or equivalent) with improvement or no change in disease activity, documentation of glucocorticoid management plan within 12 months.",Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American College of Rheumatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
