Allowed QCDR Vender IDs,Allowed QCDR Names,Measure ID,2022 Status,Measure Title, Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,Proportional Measure,Continuous Variable Measure  ,Ratio Measure  ,Number of Performance Rates to be Submitted                                                  ,Performance Rate Description,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year ,Submission Pathway,What changed from the previous version to assess impact
8933551,Axon Registry,AAN26,Active,Activity counseling for back pain,Percentage of patients 18 to 65 years of age who were counseled to remain active and exercise or were referred to physical therapy,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2019,Traditional MIPS,
8933551,Axon Registry,AAN28,Active,Diabetes/Pre-Diabetes Screening for Patients with DSP,"Percentage of patients age 18 years and older with a diagnosis of distal symmetric polyneuropathy who had screening tests for diabetes (e.g. fasting blood sugar test, a hemoglobin A1C, or a 2 hour Glucose Tolerance Test) reviewed, requested or ordered when seen for an initial evaluation for distal symmetric polyneuropathy and if screen positive referred to endocrinology or PCP.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2020,Traditional MIPS,
8933551,Axon Registry,AAN29,Active,Comprehensive Epilepsy Care Center Referral or Discussion for Patients with Epilepsy,Percentage of patients who were referred or had a discussion of evaluation at a comprehensive epilepsy care center.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2021,Traditional MIPS,
8933551,Axon Registry,AAN30,Active,Migraine Preventive Therapy Management,"Percentage of patients aged 6 years and older with a diagnosis of migraine whose migraine frequency is greater than or equal to 6 days per month/4 attacks per month who were managed with an evidence-based preventive migraine therapy, including therapies prescribed by another clinician.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2021,Traditional MIPS,
8933551,Axon Registry,AAN31,Active,Acute Treatment Prescribed for Cluster Headache,"Percentage of patients greater than or equal to 18 years of age with a diagnosis of cluster headache (CH) who were prescribed an acute treatment, including treatments prescribed by a different clinician.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2021,Traditional MIPS,
8933551,Axon Registry,AAN32,Active,Preventive Treatment Prescribed for Cluster Headache,"Percentage of patients greater than or equal to 18 years of age with a diagnosis of cluster headache (CH) who were prescribed short-term and/or long-term preventive treatment, including treatments prescribed by a different clinician.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2021,Traditional MIPS,
8933551,Axon Registry,AAN34,Active,Patient reported falls and plan of care,"Percentage of patients (or caregivers as appropriate) with an active diagnosis of a movement disorder, multiple sclerosis, a neuromuscular disorder, dementia, or stroke who reported a fall occurred and those that fell had a plan of care for falls documented at every visit",N/A,Patient Safety,Yes,Patient-Reported Outcome-based Performance Measure (PRO-PM),No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2021,Traditional MIPS,
8933551,Axon Registry,AAN5,Active,Medication Prescribed For Acute Migraine Attack,Percentage of patients age 6 years and older with a diagnosis of migraine who were prescribed a guideline recommended or FDA approved/cleared treatment for acute migraine attacks within the measurement period.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2016,Traditional MIPS,
8933551,Axon Registry,AAN8,Active,Exercise and Appropriate Physical Activity Counseling for Patients with MS,Percentage of patients with MS who are counseled* on the benefits of exercise and appropriate physical activity for patients with MS in the past 12 months.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2016,Traditional MIPS,
8933551,Axon Registry,AAN9,Active,Querying and Follow-Up About Symptoms of Autonomic Dysfunction for Patients with Parkinson's Disease,"Percentage of all patients with a diagnosis of PD (or caregivers, as appropriate) who were queried about symptoms of autonomic dysfunction* in the past 12 months and if autonomic dysfunction identified had appropriate follow-up.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2017,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO12,Active,Tympanostomy Tubes: Topical Ear Drop Monotherapy for Acute Otorrhea,Percentage of patients age 6 months to 12 years of age at the time of the visit with a current diagnosis of an uncomplicated acute tympanostomy tube otorrhea (TTO) who were prescribed or recommended to use topical antibiotic eardrops and NOT prescribed systemic (IV or PO) antibiotics for acute TTO.,N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO13,Active,Bell's Palsy: Inappropriate Use of Magnetic Resonance Imaging or Computed Tomography Scan,"Percentage of patients age 16 years and older with a new onset diagnosis of Bell’s palsy within the past 3 months who had a magnetic resonance imaging (MRI) or a computed tomography (CT) scan of the internal auditory canal, head, neck, or brain ordered for the primary diagnosis of Bell’s palsy.",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO16,Active,Age-Related Hearing Loss: Audiometric Evaluation,"Percentage of patients age 60 years and older who failed a hearing screening and/or who report suspected hearing loss who received, were ordered, or were referred for comprehensive audiometric evaluation within 4 weeks of the office visit.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO20,Active,Tympanostomy Tubes: Hearing Test,Percentage of patients age 6 months through 12 years with a diagnosis of otitis media with effusion (OME) who received tympanostomy tube insertion and received a hearing test within 6 months prior to tympanostomy tube insertion.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO21,Active,Otitis Media with Effusion (OME): Hearing Test for Chronic OME > 3 months,"Percentage of patients age 6 months to 12 years of age at the time of the visit with a diagnosis of otitis media with effusion (OME) including chronic serous, mucoid, or nonsuppurative OME of > 3 months duration who had audiometry performed, ordered, or who were referred for an audiometric evaluation.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO23,Active,Allergic Rhinitis: Intranasal Corticosteroids or Oral Antihistamines,Percentage of patients age 2 years and older with allergic rhinitis who are offered intranasal corticosteroids (INS) or non-sedating oral antihistamines.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO24,Active,Allergic Rhinitis: Avoidance of Leukotriene Inhibitors,Percentage of patients age 2 years and older with allergic rhinitis who do not receive leukotriene inhibitors.,N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO32,Active,Standard Benign Positional Paroxysmal Vertigo (BPPV) Management,"Percentage of Benign Positional Paroxysmal Vertigo (BPPV) patients who received vestibular testing, imaging, and antihistamine or benzodiazepine medications.",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO34,Active,Dysphonia: Postoperative Laryngeal Examination,"Percentage of patients age 18 years and older who were diagnosed with new onset dysphonia within 2 months after a thyroidectomy who received or were referred for a laryngeal examination to examine vocal fold/cord mobility, and, if abnormal vocal fold mobility is identified, receive a plan of care for voice rehabilitation.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019,Traditional MIPS,
8365868; 8933551,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry; Axon Registry,AAO35,Active,Benign Positional Paroxysmal Vertigo (BPPV): Dix-Hallpike and Canalith Repositioning,Percentage of patients with Benign Positional Paroxysmal Vertigo (BPPV) who had a Dix-Hallpike maneuver performed AND who had therapeutic canalith repositioning procedure (CRP) performed or who were referred for physical therapy or to a provider who can perform CRP if identified with posterior canal BPPV,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry; Axon Registry,2019,Traditional MIPS,
8365868,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO36,Active,Tympanostomy Tubes: Resolution of Otitis Media with Effusion (OME) in Adults and Children,Percentage of patients aged 6 months and older with a diagnosis of otitis media with effusion (OME) who are seen 2 to 8 weeks after tympanostomy tube surgery and OME is resolved.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2020,Traditional MIPS,
4076932,American Academy of Sleep Medicine Sleep Clinical Data Registry (Sleep CDR),AASM1,Active,Pediatric OSA: Objective Assessment of Positive Airway Pressure Therapy Adherence,Proportion of patients aged less than 18 years diagnosed with OSA that were prescribed positive airway pressure therapy and had documentation of objectively measured adherence to positive airway pressure therapy within 3 months of starting therapy,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Sleep Medicine Sleep Clinical Data Registry (Sleep CDR),2021,Traditional MIPS,
4076932,American Academy of Sleep Medicine Sleep Clinical Data Registry (Sleep CDR),AASM2,Active,Pediatric OSA: Objective Assessment of OSA Signs and Symptoms in Children with Complex Medical Conditions,"Proportion of patients aged less than 18 years with complex medical conditions known to be at high risk for OSA and with signs and symptoms of OSA that underwent a PSG or were referred to a sleep specialist, otolaryngologist, or other specialist experienced in evaluation and management of OSA in children",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Sleep Medicine Sleep Clinical Data Registry (Sleep CDR),2021,Traditional MIPS,
4076932,American Academy of Sleep Medicine Sleep Clinical Data Registry (Sleep CDR),AASM3,Active,Adult OSA: Screening for Adult OSA by Primary Care Physicians,All patients aged 18 years and older at high risk for obstructive sleep apnea (OSA) with documentation of screening for OSA using an appropriate standardized tool at least every 12 months AND in whom a recommended follow-up plan is documented based upon the result of the screening,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,American Academy of Sleep Medicine Sleep Clinical Data Registry (Sleep CDR),2021,Traditional MIPS,"Only 1 strata, Perf Rate Desc does not matter - no impact"
4849508,ABFM PRIME,ABFM12,New,Measuring the Value-Functions of Primary Care: Physician Level Continuity of Care Measure,"This is a measure evaluating primary care physicians (PCPs); for each PCP, the denominator is all patients seen during the evaluation period who had at least 2 PCP visits. The numerator is the number of those patients whose Bice-Boxerman Continuity of Care Index is >= 0.7. The Bice-Boxerman index is a validated measure of patient-level care continuity that ranges from 0 to 1; 0 reflects completely disjointed care and 1 reflects complete continuity with the same PCP for all visits. (The Bice-Boxerman index was used in a previously primary care NQF endorsed measure for children with medical complexity.) Compared to lower scores (e.g., 0.6 or lower), continuity index scores of 0.7 or higher have been associated with significantly lower Medicare expenditures and significantly lower odds of hospitalization.
References: 
1. Higher Primary Care Physician Continuity is Associated with Lower Costs and Hospitalizations. Bazemore et al. Annals of Family Medicine. 2018. 16, 492-497.",3617,Communication and Care Coordination,Yes,Efficiency and Cost/Resource Use,No,Yes,No,No,1,The performance rate result is the physician-level continuity index score where zero equals no continuity and 100 equals total patient continuity.,1st Performance Rate,No,ABFM PRIME,2022,Traditional MIPS,
5551268,ABG QCDR,ABG40,Active,Hypotension Prevention After Spinal Placement for Elective Cesarean Section,"Percentage of patients, who present for elective Caesarean section under spinal anesthesia who have phenylephrine infusions started prophylactically to prevent hypotension.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ABG QCDR,2021,Traditional MIPS,
5551268; 6169123,ABG QCDR; Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),ABG41,Active,Upper Extremity Nerve Blockade in Shoulder Surgery,Percentage of patients who undergo shoulder arthroscopy or shoulder arthroplasty who have an upper extremity nerve blockade performed before or immediately after the procedure.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ABG QCDR,2021,Traditional MIPS,
5551268,ABG QCDR,ABG42,Active,Known or Suspected Difficult Airway Mitigation Strategies,Percentage of patients with a known or suspected difficult airway who undergo a planned general endotracheal anesthetic that have both a second provider present at the induction and placement of the endotracheal tube and have difficult airway equipment in the room prior to the induction.,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ABG QCDR,2021,Traditional MIPS,"Only 1 strata, Perf Rate Desc does not matter - no impact"
5551268; 6169123,ABG QCDR; Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),ABG43,New,Use of Capnography for non-Operating Room anesthesia Measure,Percentage of patients receiving anesthesia in a non-operating room setting who have end-tidal carbon dioxide (ETCO2) monitored using capnography.,N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ABG QCDR,2022,Traditional MIPS,
5133825; 4757099,ACEP's Clinical Emergency Data Registry (CEDR); Emergency and Acute Care Clinical Registry (EACCR) in collaboration with Healthmonix,ACEP19,Active,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,Percentage of emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who have an indication for a head CT,N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,Traditional MIPS,
5133825; 1725296,ACEP's Clinical Emergency Data Registry (CEDR); The PQR,ACEP21,Active,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,Percentage of emergency department visits for patients aged 18 years and older with an emergency department discharge diagnosis of chest pain during which coagulation studies were ordered by an emergency care provider,N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,N/A,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,Traditional MIPS,
5133825; 1725296,ACEP's Clinical Emergency Data Registry (CEDR); The PQR,ACEP22,Active,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,"Percentage of emergency department visits during which patients aged 18 years and older had a CT pulmonary angiogram (CTPA) ordered by an emergency care provider, regardless of discharge disposition, with either moderate or high pre-test clinical probability for pulmonary embolism OR positive result or elevated D-dimer level",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,Traditional MIPS,
5133825,ACEP's Clinical Emergency Data Registry (CEDR),ACEP25,Active,Tobacco Use: Screening and Cessation Intervention for Patients with Asthma and COPD,Percentage of patients aged 18 years and older with a diagnosis of asthma or COPD seen in the ED and discharged who were screened for tobacco use during any ED encounter AND who received tobacco cessation intervention if identified as a tobacco user,N/A,Community/Population Health,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,Traditional MIPS,
5133825; 1725296,ACEP's Clinical Emergency Data Registry (CEDR); The PQR,ACEP30,Active,Sepsis Management: Septic Shock: Lactate Clearance Rate of >=10,Percentage of emergency department visits for patients aged 18 years and older with septic shock resulting in hospital admission or transfers who had an elevated serum lactate result (>2mmol/L) and a subsequent serum lactate level measurement performed following the elevated serum lactate result with a lactate clearance rate of >= 10% during the emergency department visit,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,Traditional MIPS,
5133825; 1725296,ACEP's Clinical Emergency Data Registry (CEDR); The PQR,ACEP31,Active,Appropriate Foley catheter use in the emergency department,Percentage of emergency department (ED) visits for admitted patients aged 18 years and older where an indwelling Foley catheter is ordered and the patient had at least one indication for an indwelling Foley catheter,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,Traditional MIPS,
5133825,ACEP's Clinical Emergency Data Registry (CEDR),ACEP48,Active,"Sepsis Management: Septic Shock: Lactate Level Measurement, Antibiotics Ordered, and Fluid Resuscitation","Percentage of emergency department visits resulting in hospital admission or transfers for patients aged 18 years and older with septic shock who had an order for all the following during the emergency department visit: a serum lactate level, antibiotics, and >1L of crystalloids",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2017,Traditional MIPS,
5133825; 1718371; 4757099,ACEP's Clinical Emergency Data Registry (CEDR); E-CPR (Emergency - Clinical Performance Registry); Emergency and Acute Care Clinical Registry (EACCR) in collaboration with Healthmonix,ACEP50,Active,ED Median Time from ED arrival to ED departure for all Adult Patients,Time (in minutes) from ED arrival to ED departure for all Adult Patients,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,Yes,No,Yes,No,1,N/A,1st Performance Rate,Yes,ACEP's Clinical Emergency Data Registry (CEDR); E-CPR (Emergency - Clinical Performance Registry),2020,Traditional MIPS,
