measureId,title,description,isRequired,metricType,firstPerformanceYear,weight,objective,isBonus,reportingCategory,substitutes,exclusion
PI_PHCDRR_1_EX_1,Immunization Registry Reporting Exclusion ,Any MIPS eligible clinician who does not administer any immunizations to any of the populations for which data is collected by its jurisdiction's immunization registry or immunization information system during the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,"PI_PHCDRR_1_EX_2,
PI_PHCDRR_1_EX_3",N/A
PI_PHCDRR_1_EX_2,Immunization Registry Reporting Exclusion ,Any MIPS eligible clinician who operates in a jurisdiction for which no immunization registry or immunization information system is capable of accepting the specific standards required to meet the CEHRT definition at the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,"PI_PHCDRR_1_EX_1,
PI_PHCDRR_1_EX_3",N/A
PI_PHCDRR_1_EX_3,Immunization Registry Reporting Exclusion ,Any MIPS eligible clinician who operates in a jurisdiction where no immunization registry or immunization information system has declared readiness to receive immunization data as of 6 months prior to the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,"PI_PHCDRR_1_EX_1,
PI_PHCDRR_1_EX_2",N/A
PI_PHCDRR_3,Electronic Case Reporting,The MIPS eligible clinician is in active engagement with a public health agency to electronically submit case reporting of reportable conditions.,TRUE,boolean,2017,null,Public Health and Clinical Data Exchange,FALSE,required,N/A,"PI_PHCDRR_3_EX_1,
PI_PHCDRR_3_EX_2,
PI_PHCDRR_3_EX_3,
PI_PHCDRR_3_EX_4"
PI_PHCDRR_3_EX_1,Electronic Case Reporting Exclusion,Any MIPS eligible clinician who does not treat or diagnose any reportable diseases for which data is collected by their jurisdiction's reportable disease system during the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,"PI_PHCDRR_3_EX_2,
PI_PHCDRR_3_EX_3,
PI_PHCDRR_3_EX_4",N/A
PI_PHCDRR_3_EX_2,Electronic Case Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction for which no public health agency is capable of receiving electronic case reporting data in the specific standards required to meet the CEHRT definition at the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,"PI_PHCDRR_3_EX_1,
PI_PHCDRR_3_EX_3,
PI_PHCDRR_3_EX_4",N/A
PI_PHCDRR_3_EX_3,Electronic Case Reporting Exclusion,Any MIPS eligible clinician who operates in a jurisdiction where no public health agency has declared readiness to receive electronic case reporting data as of 6 months prior to the start of the performance period.,FALSE ,boolean,2019,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,"PI_PHCDRR_3_EX_1,
PI_PHCDRR_3_EX_2,
PI_PHCDRR_3_EX_4",N/A
PI_PHCDRR_3_EX_4,Electronic Case Reporting Exclusion,"For the CY 2022 performance period/CY 2024 MIPS payment year only, the MIPS eligible clinician uses CEHRT that is not certified to the electronic case reporting certification criterion at CFR 170.315(f)(5) prior to the start of the performance period they select in CY 2022. ",FALSE ,boolean,2022,0,Public Health and Clinical Data Exchange,FALSE,exclusion ,"PI_PHCDRR_3_EX_1,
PI_PHCDRR_3_EX_2,
PI_PHCDRR_3_EX_3",N/A
PI_PHCDRR_4,Public Health Registry Reporting,The MIPS eligible clinician is in active engagement with a public health agency to submit data to public health registries.,FALSE,boolean,2017,5,Public Health and Clinical Data Exchange,TRUE,bonus,"PI_PHCDRR_2,
PI_PHCDRR_5",N/A
PI_PHCDRR_5,Clinical Data Registry Reporting,The MIPS eligible clinician is in active engagement to submit data to a clinical data registry.,FALSE,boolean,2017,5,Public Health and Clinical Data Exchange,TRUE,bonus,"PI_PHCDRR_2,
PI_PHCDRR_4",N/A
