Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,,,,,AJRR9,,"5224253, 1157686, 3967247",Risk-standardized rate for routine discharge for elective primary total hip and knee arthroplasty.,,,,,,,,,,,,,,,
QCDR,,,,3617,ABFM14,,,,,,,,,,,,,,,,,,
QCDR,,,,N/A,ACR14,,"3967247, 5598408",,,,,,,,,,,,,,,,
QCDR,,,,,USWR32,U.S. Wound Registry,,,,,,,,,,singlePerformanceRate,,,,,,,
QCDR,,,,,AJRR13,,,,Patient-Reported Outcome-Based Performance Measure,,,,,,,,,,,,,,
QCDR,,,,,ABG42,ABG QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,ABG44,ABG QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,AQI18,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),,,,,,,,,,,,,,,,,
QCDR,,,,,AQI48,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),,,,,,,,,,,,,,,,,
QCDR,,,,,AQI49,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),,,,,,,,,,,,,,,,,
QCDR,,,,,AQI65,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),,,,,,,,,,,,,,,,,
QCDR,,,,,AQI71,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),,,,,,,,,,,,,,,,,
QCDR,,,,,EPREOP30,Anesthesia Quality Registry (AQR QCDR),,,,,,,,,,,,,,,,,
QCDR,,,,,EPREOP31,Anesthesia Quality Registry (AQR QCDR),,,,,,,,,,,,,,,,,
QCDR,,,,,GIQIC23,GIQuIC,,,,,,,,,,,,,,,,,
QCDR,,,,,GIQIC26,GIQuIC,,,,,,,,,,,,,,,,,
QCDR,,,,,NHCR4,GIQuIC,,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS1,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS13,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS17,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS2,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS23,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS35,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS38,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS39,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS50,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS54,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS58,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,IRIS61,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR1,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR11,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR13,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR14,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR15,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR16,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR18,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR2,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR7,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MBHR8,MBHR Mental and Behavioral Health Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,MEX5,Registry Clearinghouse,,,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH1,Practice Insights by McKesson - QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH10,Practice Insights by McKesson - QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH13,Practice Insights by McKesson - QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH15,Practice Insights by McKesson - QCDR,"8794712, 2755787",,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH16,Practice Insights by McKesson - QCDR,"8794712, 2755787",,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH4,Practice Insights by McKesson - QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH9,Practice Insights by McKesson - QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,RCOIR12,"Renal and Vascular Outcomes Improvement Program, powered by Forward Health Group",,,,,,,,,,,,,,,,,
QCDR,,,,,RCOIR13,"Renal and Vascular Outcomes Improvement Program, powered by Forward Health Group",,"Percentage of clinically successful percutaneously created arteriovenous fistulae (pAVF) for patients on maintenance hemodialysis.",,,,,,,,,,,,,,,
QCDR,,,,,REGCLR1,Registry Clearinghouse,,,,,,,,,,,,,,,,,
QCDR,,,,,REGCLR3,Registry Clearinghouse,,,,,,,,,,,,,,,,,
QCDR,,,,,REGCLR5,Registry Clearinghouse,,,,,,,,,,,,,,,,,
QCDR,,,,,REGCLR8,Registry Clearinghouse,,,,,,,,,,,,,,,,,
QCDR,,,,,RPAQIR14,"Renal and Vascular Outcomes Improvement Program, powered by Forward Health Group",,,,,,,,,,,,,,,,,
QCDR,,,,,RPAQIR15,"Renal and Vascular Outcomes Improvement Program, powered by Forward Health Group",,,,,,,,,,,,,,,,,
QCDR,,,,,UREQA10,UREQA (United Rheumatology Effectiveness and Quality Analytics),,,,,,,,,,,,,,,,,
QCDR,,,,,UREQA2,UREQA (United Rheumatology Effectiveness and Quality Analytics),,,,,,,,,,,,,,,,,
QCDR,,,,,UREQA8,UREQA (United Rheumatology Effectiveness and Quality Analytics),,,,,,,,,,,,,,,,,
QCDR,,,,,UREQA9,UREQA (United Rheumatology Effectiveness and Quality Analytics),,,,,,,,,,,,,,,,,
QCDR,,,,,USWR30,U.S. Wound Registry,,"Percentage of patients aged 18 years or older with a non-healing lower extremity wound or ulcer that undergo a non-invasive arterial assessment once in a 12-month period.",,,,,,,,,,,,,,,
QCDR,,,,,USWR33,U.S. Wound Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,USWR34,U.S. Wound Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,USWR35,U.S. Wound Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,USWR36,U.S. Wound Registry,,,,,,,,,,,,,,,,,
QCDR,,,,,ACEP22,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP30,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP48,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP50,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP51,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP61,,5133825,,,,,,,,,,,,,,,,
QCDR,,,,,ACEP62,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACR12,,"3967247, 5598408",,,,,,,,,,,,,,,,
QCDR,,,,,ACR15,,"3967247, 5598408",,,,,,,,,,,,,,,,
QCDR,,,,,ACRAD15,,"6704504, 7037323, 6394618, 5303416, 7746687",,,,,,,,,,,,,,,,
QCDR,,,,,ACRAD16,,"6704504, 7037323, 6394618, 5303416, 7746687",,,,,,,,,,,,,,,,
QCDR,,,,,ACRAD17,,"6704504, 7037323, 6394618, 5303416, 7746687",,,,,,,,,,,,,,,,
QCDR,,,,,ACRAD18,,"6704504, 7037323, 6394618, 5303416, 7746687",,,,,,,,,,,,,,,,
QCDR,,,,,ACRAD19,,"6704504, 7037323, 6394618, 5303416, 7746687",,,,,,,,,,,,,,,,
QCDR,,,,,ACRAD25,,"6704504, 7037323, 6394618, 5303416, 7746687",,,,,,,,,,,,,,,,
QCDR,,,,,AJRR10,,"5224253, 3967247",,,,,,,,,,,,,,,,
QCDR,,,,,AJRR7,,"5224253, 3967247",,,,,,,,,,,,,,,,
QCDR,,,,,ECPR50,,"1718371, 4757099",,,,,,,,,,,,,,,,
QCDR,,,,,ECPR52,,"1718371, 4757099",,,,,,,,,,,,,,,,
QCDR,,,,,ECPR55,,"1718371, 4757099",,,,,,,,,,,,,,,,
QCDR,,,,,ECPR59,,"1718371, 8483899",,,,,,,,,,,,,,,,
QCDR,,,,,HCPR23,,"4757099, 8483899",,,,,,,,,,,,,,,,
QCDR,,,,,QMM16,,"5303416, 6394618, 7746687, 6704504",,,,,,,,,,,,,,,,
QCDR,,,,,QMM23,,"6394618, 7746687, 5303416",,,,,,,,,,,,,,,,
QCDR,,,,,QMM24,,"6394618, 7746687, 5303416",,,,,,,,,,,,,,,,
QCDR,,,,,QMM27,,"6394618, 5303416",,,,,,,,,,,,,,,,
QCDR,,,,,QMM28,,"6394618, 5303416",,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR1,,"5133825, 1725296, 4757099",,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR2,,"5133825, 1725296, 4757099",,,,,,,,,,,,,,,,
QCDR,,,,,AQI76,,,"Percentage of patients, aged 70 and older, undergoing an inpatient procedure under general anesthesia and who received a frailty screening using a validated tool(s) within 90 days of the procedure and up to ten minutes before anesthesia start time and, for those who screen positive for frailty, receive a referral or have three best practices applied to their care.",,,,,,,,,,,,,,,
