QCDR Name,Measure ID,Measure Title,Measure Description,NQF Number  (if applicable),NQS Domain,High Priority,Measure Type,Inverse Measure,Proportional Measure,Continuous Variable Measure,Ratio Measure,Number of performance rates to be submitted,Overall Algorithm,Is the Measure Risk-Adjusted,Primary Steward,First Performance Year,Performance Rate Description,Submission Pathway
AAD’s DataDerm™,AAD9,Psoriasis – Improvement in Patient-Reported Itch Severity,"The percentage of patients, aged 18 years and older, with a diagnosis of psoriasis where at an initial (index) visit have a patient reported itch severity assessment performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,AAD’s DataDerm™,2020,Simple average of the performance rates,Traditional MIPS
Axon Registry,AAN22,Quality of Life Outcome for Patients with Neurologic Conditions,Percentage of patients whose quality of life assessment results are maintained or improved during the measurement period.,N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2019,N/A,Traditional MIPS
Axon Registry,AAN25,Pediatric Medication reconciliation,Percentage of pediatric patients who had a medication review at every encounter and a medication list present in the medical record.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2019,N/A,Traditional MIPS
Axon Registry,AAN26,Activity counseling for back pain,Percentage of patients 18 to 65 years of age who were counseled to remain active and exercise or were referred to physical therapy,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2019,N/A,Traditional MIPS
Axon Registry,AAN28,Diabetes/Pre-Diabetes Screening for Patients with DSP,"Percentage of patients age 18 years and older with a diagnosis of distal symmetric polyneuropathy who had screening tests for diabetes (e.g. fasting blood sugar test, a hemoglobin A1C, or a 2 hour Glucose Tolerance Test) reviewed, requested or ordered when seen for an initial evaluation for distal symmetric polyneuropathy and if screen positive referred to endocrinology or PCP.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2020,N/A,Traditional MIPS
Axon Registry,AAN29,Comprehensive Epilepsy Care Center Referral or Discussion for Patients with Epilepsy,"Percentage of patients who were referred or had a discussion of evaluation at a comprehensive
epilepsy care center*.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2021,N/A,Traditional MIPS
Axon Registry,AAN30,Migraine Preventive Therapy Management,"Percentage of patients aged 6 years and older with a diagnosis of migraine whose migraine frequency is greater than or equal to 6 days per month/4 attacks per month who were managed with an evidence-based preventive migraine therapy, including therapies prescribed by another clinician.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2021,N/A,Traditional MIPS
Axon Registry,AAN31,Acute Treatment Prescribed for Cluster Headache,"Percentage of patients greater than or equal to 18 years of age with a diagnosis of cluster headache (CH) who were prescribed an acute treatment, including treatments prescribed by a different clinician.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2021,N/A,Traditional MIPS
Axon Registry,AAN32,Preventive Treatment Prescribed for Cluster Headache,"Percentage of patients greater than or equal to 18 years of age with a diagnosis of cluster headache (CH) who were prescribed short-term and/or long-term preventive treatment, including treatments prescribed by a different clinician.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2021,N/A,Traditional MIPS
Axon Registry,AAN33,Fatigue Screening and Follow-Up for Patients with MS,"Percentage of patients with MS who were screened for fatigue in past 12 months, and if
screening positive were provided appropriate follow-up.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2021,N/A,Traditional MIPS
Axon Registry,AAN34,Patient reported falls and plan of care,"Percentage of patients (or caregivers as appropriate) with an active diagnosis of a movement disorder, multiple sclerosis, a neuromuscular disorder, dementia, or stroke who reported a fall occurred and those that fell had a plan of care for falls documented at every visit",N/A,Patient Safety,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2021,N/A,Traditional MIPS
Axon Registry,AAN5,Medication Prescribed For Acute Migraine Attack,Percentage of patients age 6 years and older with a diagnosis of migraine who were prescribed a guideline recommended or FDA approved/cleared treatment for acute migraine attacks within the measurement period.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2016,N/A,Traditional MIPS
Axon Registry,AAN8,Exercise and Appropriate Physical Activity Counseling for Patients with MS,Percentage of patients with MS who are counseled* on the benefits of exercise and appropriate physical activity for patients with MS in the past 12 months.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2016,N/A,Traditional MIPS
Axon Registry,AAN9,Querying About Symptoms of Autonomic Dysfunction for Patients with Parkinson's Disease,"Percentage of all patients with a diagnosis of PD (or caregivers, as appropriate) who were queried about symptoms of autonomic dysfunction* in the past 12 months and if autonomic dysfunction identified had appropriate follow-up.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Axon Registry,2017,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO12,Tympanostomy Tubes: Topical Ear Drop Monotherapy Acute Otorrhea,Percentage of patients age 6 months to 12 years of age at the time of the visit with a current diagnosis of an uncomplicated acute tympanostomy tube otorrhea (TTO) who were prescribed or recommended to use topical antibiotic eardrops and NOT prescribed systemic (IV or PO) antibiotics for acute tympanostomy tube otorrhea.,N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO13,Bell's Palsy: Inappropriate Use of Magnetic Resonance Imaging or Computed Tomography Scan (Inverse Measure),"Percentage of patients age 16 years and older with a new onset diagnosis of Bell’s palsy within the past 3 months who had a magnetic resonance imaging (MRI) or a computed tomography scan (CT) of the internal auditory canal, head, neck or brain ordered for the primary diagnosis of Bell’s palsy.",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO16,Age-related Hearing Loss: Audiometric Evaluation,"Percentage of patients age 60 years and older who failed a hearing screening and/or who report suspected hearing loss who received, were ordered, or were referred for comprehensive audiometric evaluation within 4 weeks the office visit.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO20,Tympanostomy Tubes: Hearing Test,Percentage of patients age 6 months through 12 years with a diagnosis of OME who received tympanostomy tube insertion and received a hearing test within 6 months prior to tympanostomy tube insertion,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO21,Otitis Media with Effusion: Hearing Test for Chronic OME > 3 months,"Percentage of patients age 6 months to 12 years of age at the time of the visit with a diagnosis of otitis media with effusion including chronic serous, mucoid, or nonsuppurative otitis media with effusion of ≥3 months duration who had audiometry performed, ordered or who were referred for an audiometric evaluation.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO23,Allergic Rhinitis: Intranasal Corticosteroids or Oral Antihistamines,Percentage of patients age 2 years and older with allergic rhinitis who are offered intranasal corticosteroids (INS) or non-sedating oral antihistamines,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO24,Allergic Rhinitis: Avoidance of Leukotriene Inhibitors,Percentage of patients age 2 years and older patients with allergic rhinitis who do not receive leukotriene inhibitors,N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO29,Quality of Life for Patients with Neurotology Disorders,Percentage of neurotology patients whose most recent Quality of Life scores were maintained or improved during the measurement period.,N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO31,Otitis Media with Effusion (OME): Avoidance of Inappropriate Use of Medications,"Percentage of patients age 2 months through 12 years with a diagnosis of otitis media with effusion who were not prescribed or recommended the use of steroids (either oral or intranasal), antimicrobials, antihistamines, or decongestants as therapy.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO32,Standard BPPV Management,"Percentage of BPPV patients who received vestibular testing, imaging, and antihistamine or benzodiazepine medications (Inverse Measure).",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO34,Dysphonia: Postoperative Laryngeal Examination,"Percentage of patients age 18 years and older who were diagnosed with new onset dysphonia within 2 months after a thyroidectomy who received or were referred for a laryngeal examination to examine vocal fold/cord mobility, and, if abnormal vocal fold mobility is identified, receive a plan of care for voice rehabilitation.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019,N/A,Traditional MIPS
"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, Axon Registry",AAO35,Benign Positional Paroxysmal Vertigo (BPPV): Dix-Hallpike and Canalith Repositioning,Percentage of patients with BPPV who had a Dix-Hallpike maneuver performed AND who had therapeutic canalith repositioning procedure (CRP) performed or who were referred for physical therapy or to a provider who can perform CRP if identified with posterior canal BPPV,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, Axon Registry",2019,N/A,Traditional MIPS
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO36,Tympanostomy Tubes: Resolution of Otitis Media with Effusion in Adults and Children,Percentage of patients aged 6 months and older with a diagnosis of otitis media with effusion who are seen 2 to 8 weeks after tympanostomy tube surgery and otitis media with effusion is resolved.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2020,N/A,Traditional MIPS
American Academy of Sleep Medicine Clinical Data Registry,AASM1,Pediatric OSA: Objective Assessment of Positive Airway Pressure Therapy Adherence,Proportion of patients aged < 18 years diagnosed with OSA that were prescribed positive airway pressure therapy and had documentation of objectively measured adherence to positive airway pressure therapy within 3 months of starting therapy,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Sleep Medicine Clinical Data Registry,2021,N/A,Traditional MIPS
American Academy of Sleep Medicine Clinical Data Registry,AASM2,Pediatric OSA: Objective Assessment of OSA Signs and Symptoms in Children with Complex Medical Conditions,"Proportion of patients aged < 18 years with complex medical conditions known to be at high risk for OSA and with signs and symptoms of OSA that underwent a PSG or were referred to a sleep specialist, otolaryngologist, or other specialist experienced in evaluation and management of OSA in children",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Sleep Medicine Clinical Data Registry,2021,N/A,Traditional MIPS
American Academy of Sleep Medicine Clinical Data Registry,AASM3,Adult OSA: Screening for Adult OSA by Primary Care Physicians,All patients aged 18 years and older at high risk for obstructive sleep apnea (OSA) with documentation of screening for OSA using an appropriate standardized tool at least every 12 months AND in whom a recommended follow-up plan is documented based upon the result of the screening,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Sleep Medicine Clinical Data Registry,2021,N/A,Traditional MIPS
ABFM PRIME,ABFM11,Person-Centered Primary Care Measure Performance Measure (PCPCM PRO-PM),"The Person-Centered Primary Care Measure Performance Measure (PCPCM PRO-PM) utilizes the PCPCM PROM (a comprehensive and parsimonious set of 11 patient-reported items) to assess the broad scope of primary care: accessibility; comprehensive, whole person focus; integration of care across acute and chronic illness, prevention, mental health, and life events; coordinating care in a fragmented system; knowing the patient as a person; developing a relationship through key life events; advocacy; providing care in a family context; providing care in a community context; goal-oriented care; and, disease, illness, and prevention management. The PCPCM PRO-PM performance measure, generated from the patient reported instrument, goes beyond usual patient experience or satisfaction measures, to use the on-the-ground view of patients to assess elements of primary care missed by usual measures and gives clinicians a distinctive and comprehensive view from a patient’s perspective.

1. My practice makes it easy for me to get care.
Definitely		Mostly		Somewhat		Not at all
2. My practice is able to provide most of my care.
Definitely		Mostly		Somewhat		Not at all 
3. In caring for me, my doctor considers all the factors that affect my health.
Definitely		Mostly		Somewhat		Not at all
4. My practice coordinates the care I get from multiple places.
Definitely		Mostly		Somewhat		Not at all
5. My doctor or practice knows me as a person.
Definitely		Mostly		Somewhat		Not at all
6. My doctor and I have been through a lot together.
Definitely		Mostly		Somewhat		Not at all
7. My doctor or practice stands up for me.
Definitely		Mostly		Somewhat		Not at all
8. The care I get takes into account knowledge of my family.
Definitely		Mostly		Somewhat		Not at all
9. The care I get in this practice is informed by knowledge of my community.
Definitely		Mostly		Somewhat		Not at all
10. Over time, my practice helps me to stay healthy.
Definitely		Mostly		Somewhat		Not at all
11. Over time, my practice helps me to meet my goals.
Definitely		Mostly		Somewhat		Not at all",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,No,Yes,No,1,1st Performance Rate,No,ABFM PRIME,2021,"Higher score indicates better quality. 
Calculation method: Individual item scores reported as average of patient responses on 1-4 scale. Summary score is sum of individual item scores divided by the number of items answered and translated into a percentage. If fewer than 8 items are answered, omit this patient’s responses from PCPCM-PM calculation. The PCPCM PRO-PM performance score can be calculated at the clinician or practice level. There is no stratification required with the PCPCM. 

Scoring Details: Scoring for the PCPCM PRO-PM is completed through a simple 4 step process using the PCPCM PRO gathered data. 
Step One: Any PCPCM PRO instrument for which a patient failed to answer at least 8 of the 11 items is not part of the denominator and should not be included in the calculation.

Step Two: Calculate item specific mean score. Each response item is assigned a value: Definitely = 4, Mostly = 3, Somewhat = 2, Not At All = 1. The score for each PCPCM PRO item is calculated as a mean, i.e., the summary of all responses received for an item, divided by the number of respondents. This process leads to 11 item specific PRO scores. Means should be reported to two decimal points.

Step Three: Calculate the PCPCM PRO total score. The PCPCM PRO total score is calculated by determining the mean of the 11 scored PRO items. This is done by adding the mean scores of all 11 PRO items and then dividing by 11. PRO means should be reported to two decimal points.

Step Four: Aggregate PCPCM PRO total scores and convert to PCPCM PRO-PM performance score. The PCPCM PRO-PM can be used at both the individual clinician and the group practice level. For this step:
•	Identify the entity to be measured and aggregate all PCPCM PRO total scores for that entity during the performance period. Divide the total by the number of PCPCM PRO total scores used in order to determine the mean PCPCM PRO total score for the measured entity.
•	Convert the 4-point PRO total score to the PRO-PM performance score by dividing by 4 and then multiplying by 100. Thus, a PCPCM PRO total score of 2.78 (based on a scale of 1-4) becomes a PCPCM PRO-PM performance score of 69.5 (on a scale of 0-100). 

PCPCM PRO total scores can be calculated for short term periods to inform quality improvement and to provide mid-performance period feedback to clinicians and practices. PCPCM PRO-PM performance scores are calculated based on quality reporting program requirements or a 12-month time frame.

The PCPCM PRO-PM performance score can be calculated at the clinician or practice level.

There is no stratification required with the PCPCM.",Traditional MIPS
ABFM PRIME,ABFM9,Measuring the Value-Functions of Primary Care: Provider Level Continuity Measure,"Bice-Boxerman Continuity of Care Primary Care Physician Measure. 

At a patient-level, Bice-Boxerman Continuity of Care Primary Care Physician Measure is a measure that considers the dispersion of primary care visits across providers, such that patients with higher scores have most of their primary care visits to the same provider or a small number of providers while those lower scores see a larger number providers. Formally, an individual Bice-Boxerman Continuity of Care score is calculated as follows:

Bice-Boxerman Continuity of Care =(∑_(i=1)^k n_i^2 -N)/(N(N-1)) (1)

where k is the number of providers, n_i is the number of visits to provider i, and N is the total number of visits. (Note that it is necessary that the patient has at least two visits.)
We will calculate the physician-level continuity measure for all patients as follows: 
 
Bice-Boxerman Continuity of Care-PC=(∑_1^k 〖((Bice-Boxerman Continuity of Care)(n_k ))〗)/(N*(n_k)) (2)

Where Bice-Boxerman Continuity of Care is the individual patient continuity score, n is number of total primary care visits for patient k during the study period, and N is the total number of patients seen by the physicians during the study period. This approach gives greater weight to patients with more visits.",N/A,Communication and Care Coordination,Yes,Efficiency and Cost/Resource Use,No,Yes,No,No,1,1st Performance Rate,No,ABFM PRIME,2020,"Result is the physician-level continuity index score, zero equals no continuity and 100 equals total patient continuity.",Traditional MIPS
ABG QCDR,ABG40,Hypotension Prevention After Spinal Placement for Elective Cesarean Section,"Percentage of patients, who present for elective Caesarean section under spinal anesthesia who have phenylephrine infusions started prophylactically to prevent hypotension.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2021,N/A,Traditional MIPS
ABG QCDR,ABG41,Upper Extremity Nerve Blockade in Shoulder Surgery,Percentage of patients who undergo shoulder arthroscopy or shoulder arthroplasty who have an upper extremity nerve blockade performed before or immediately after the procedure.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2021,N/A,Traditional MIPS
ABG QCDR,ABG42,Known or Suspected Difficult Airway Mitigation Strategies,Percentage of patients with a known or suspected difficult airway who undergo a planned general endotracheal anesthetic that have both a second provider present at the induction and placement of the endotracheal tube and have difficult airway equipment in the room prior to the induction.,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ABG QCDR,2021,N/A,Traditional MIPS
The PINNACLE Registry and Diabetes Collaborative Registry,ACCPIN11,Heart Failure: Patient Self Care Education,Percentage of patients aged >=18 years with a diagnosis of heart failure who were provided with self-care education on >=3 elements of education during >=1 visit within a 12-month period,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,The PINNACLE Registry and Diabetes Collaborative Registry,2020,N/A,Traditional MIPS
The PINNACLE Registry and Diabetes Collaborative Registry,ACCPIN7,Peripheral Artery Disease: Treatment of Blood Cholesterol to Reduce Atherosclerotic Cardiovascular Risk,Percentage of Patients 18-75 years of age with PAD who were offered moderate-to-high intensity statin,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,The PINNACLE Registry and Diabetes Collaborative Registry,2019,N/A,Traditional MIPS
The PINNACLE Registry and Diabetes Collaborative Registry,ACCPIN8,Hypertension Control (Stage 1 or 2),Proportion of patients with hypertension who had adequately controlled blood pressure,N/A,Effective Clinical Care,Yes,Intermediate Outcome,No,Yes,No,No,1,1st Performance Rate,No,The PINNACLE Registry and Diabetes Collaborative Registry,2019,N/A,Traditional MIPS
ACEP's Clinical Emergency Data Registry (CEDR),ACEP19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,Percentage of emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who have an indication for a head CT,N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,N/A,Traditional MIPS
ACEP's Clinical Emergency Data Registry (CEDR),ACEP21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,Percentage of emergency department visits for patients aged 18 years and older with an emergency department discharge diagnosis of chest pain during which coagulation studies were ordered by an emergency care provider,N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,ACEP's Clinical Emergency Data Registry (CEDR),2016,N/A,Traditional MIPS
