measureId,stratumName,description
HM11,qolPlan&Intervention,"Percentage of patients aged 18 years and older reporting bothersome tinnitus that is impacting their HRQoL who receive a tinnitus-related care plan AND tinnitus-related intervention(s), treatment(s), or management"
HM11,overall,"Percentage of patients aged 18 years and older identified with bothersome tinnitus that is impacting their HRQoL who have received a tinnitus-related care plan, and tinnitus-related intervention(s), treatment(s), or management AND who report a MCID improvement in the impact of tinnitus on the HRQoL within 12 months of initial identification."
HM12,bppvScreen,"Percentage of patients aged 18 years and older, who report BPPV-related symptoms and who are screened with a dizziness assessment questionnaire, undergo positional nystagmus testing, and are referred, identified or diagnosed BPPV."
HM12,bppv&Plan,"Percentage of patients who are screened with a dizziness assessment questionnaire, undergo positional nystagmus testing, and are diagnosed or identified with BPPV who received a BPPV-related care plan on the date the BPPV was identified or diagnosed and received vestibular intervention(s) or treatment(s) within 30 days of the documented BPPV-related care plan."
HM12,overall,"Percentage of patients who received a BPPV-related care plan, and vestibular intervention(s) or treatment(s) , AND who have an improvement in nystagmus OR report an improvement in BPPV-related symptoms, AND report a MCID improvement of BPPV-related QoL."
IGR15,exerciseAsStressor,Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) or Stress Echocardiography studies using a Stress Test Type that includes exercise performed on patients 18 years of age or older.
IGR15,hrAndMinExercised,Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) or Stress Echocardiography exercise studies where the stress heart rate >= 85% of maximum heart rate and three or more minutes of exercise performed on patients 18 years of age or older.
IGR16,perfusionDefects,"Percentage of Single Photon Emission Computed Tomography (SPECT) and Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI) studies that were abnormal and contained perfusion defects documentation including location, severity, and size performed on patients 18 years of age or older."
IGR17,stressOnlyProtocol,Percentage of Single Photon Emission Computed Tomography (SPECT) and Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI) studies where the imaging protocol used was stress only performed on patients 18 years of age or older.
IGR17,9OrLessMillisieverts,Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) studies where 9 or less millisieverts of radiation were administered per ASNC guideline recommendations on patients 18 years of age or older.
IGR18,attentuationCorrectn,Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) studies using Attenuation Correction performed on patients 18 years of age or older.
IGR18,obesityProtocol,Percentage of SPECT-MPI or Stress Echocardiography imaging studies where the Imaging Protocol was appropriate for morbidly obese patients on patients 18 years of age or older.
IROMS11,notachieving,Overall proportion of patients not achieving an MCID in KOS change score will be reported.
IROMS11,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported.
IROMS11,operativeMCID,The proportion of patients not achieving an MCID in KOS change score will be reported.
IROMS11,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported.
IROMS11,nonOpMCID,The proportion of patients not achieving an MCID in KOS change score will be reported.
IROMS11,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported.
IROMS12,notachieving,Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS12,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.    For operative (surgical) patients:
IROMS12,operativeMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS12,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.   For non-operative (non-surgical) patients:
IROMS12,nonOpMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS12,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS13,notachieving,Overall proportion of patients not achieving an MCID in LEFS change score will be reported.
IROMS13,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported.
IROMS13,operativeMCID,The proportion of patients not achieving an MCID in LEFS change score will be reported.
IROMS13,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported.
IROMS13,nonOpMCID,The proportion of patients not achieving an MCID in LEFS change score will be reported.
IROMS13,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported.
IROMS14,notachieving,Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS14,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS14,operativeMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS14,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS14,nonOpMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS14,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS16,notachieving,Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS16,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS16,operativeMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS16,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS16,nonOpMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS16,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS17,notachieving,Overall proportion of patients not achieving an MCID in MDQ change score will be reported.
IROMS17,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported.
IROMS17,operativeMCID,The proportion of patients not achieving an MCID in MDQ change score will be reported.
IROMS17,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported.
IROMS17,nonOpMCID,The proportion of patients not achieving an MCID in MDQ change score will be reported.
IROMS17,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported.
IROMS18,notachieving,Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS18,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS18,operativeMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS18,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS18,nonOpMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS18,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS19,notachieving,Overall proportion of patients not achieving an MCID in DASH change score will be reported.
IROMS19,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported.
IROMS19,operativeMCID,The proportion of patients not achieving an MCID in DASH change score will be reported.
IROMS19,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported.
IROMS19,nonOpMCID,The proportion of patients not achieving an MCID in DASH change score will be reported.
IROMS19,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported.
IROMS20,notachieving,Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS20,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS20,operativeMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS20,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
IROMS20,nonOpMCID,The proportion of patients not achieving an MCID in the NPRS change score will be reported.
IROMS20,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.
HM7,14to17,SUBMISSION CRITERIA 1: Patients aged 14-17 years of age on date of encounter
HM7,18to64,SUBMISSION CRITERIA 2: Patients aged 18-64 years and older on date of encounter
HM7,65over,SUBMISSION CRITERIA 3: Patients aged 65 years of age and older on date of encounter
HM7,overall,SUBMISSION CRITERIA 4: Patients aged 14 years of age and older on date of encounter
IRIS55,20/30+,Includes eyes of patients with mild to moderate stage glaucoma and a 20/30 or better post-operative best-corrected distance visual acuity
IRIS55,20/200,Includes eyes of patients with severe stage glaucoma or a pre-operative best-corrected visual acuity of 20/200 and a 2 lines or better improvement in the post-operative best-corrected distance visual acuity from preoperative visual acuity
IRIS55,20/400,Includes eyes of patients with a pre-operative best-corrected visual acuity of 20/400 and a 1 line or better improvement in the post-operative best-corrected distance visual acuity from pre-operative visual acuity
IRIS59,nocomorbidities,"Includes eyes of patients with no comorbidities or additional procedures on the same date as the cataract surgery,"
IRIS59,comorbidities&20/200,"Includes eyes of patients with comorbidities with a pre-operative visual acuity of 20/200 or better, and"
IRIS59,comorbidities&20/400,Includes eyes of patients with comorbidities with a pre-operative visual acuity of 20/400 or worse
IRIS60,better20/200,Includes eyes of patients with a pre-operative visual acuity of better than 20/200 who had an improvement from their preoperative visual acuity of 2 or more lines between 3 and 6 months postoperatively
IRIS60,20/200,Includes eyes of patients with a pre-operative visual acuity of 20/200 who had an improvement from their preoperative visual acuity of 2 or more lines between 3 and 6 months postoperatively
IRIS60,20/400,Includes eyes of patients with a pre-operative visual acuity of 20/400 who had an improvement from their preoperative visual acuity of 1 or more lines between 3 and 6 months postoperatively
MBHR10,screening,"Documentation of a standardized tool to assess ADHD (i.e., ASRS checklist) and a document care of plan"
MBHR10,overall,"Patient demonstrated an ASRS score that is reduced by 25% or greater from the index score, 2-10 months after index date"
AQI71,overall,"The overall measure score will be calculated as an average of the performance rates of parts A, B, C and D. (Rates 2, 3, 4 & 5)"
AQI71,testedPrior,"Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery whose blood glucose level is tested prior to the start of anesthesia"
AQI71,insulinPrior,"Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level >180 mg/dL (10.0 mmol/L) who received insulin prior to anesthesia end time"
AQI71,insulinPostoperative,"Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who received insulin perioperatively and who received a follow-up blood glucose level check following the administration of insulin and prior to discharge"
AQI71,glucoseEducation,"Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level >180 mg/dL (10.0 mmol/L) who received education on managing their glucose in the postoperative period prior to discharge"
AQI73,overall,The overall measure score will be calculated as an average of the performance rates of part A and part B. (Rates 2 & 3)
AQI73,brachialRadialTibial,"Percentage of patients, regardless of age, who undergo placement of a peripheral intra-arterial line in the brachial, radial, posterior tibial or dorsalis pedis artery for whom the arterial line was inserted with all indicated elements of sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed"
AQI73,femoralAxillary,"Percentage of patients, regardless of age, who undergo placement of a peripheral intra-arterial line in the femoral or axillary artery for whom the arterial line was inserted with all indicated elements of maximal sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound technique is followed"
AAD14,examPerformed,NUMERATOR CRITERIA 1: Documentation by the provider who performed the surgery that an exam for recurrence of melanoma was performed on the patient within the reporting period.
AAD14,overall,NUMERATOR CRITERIA 2: All patients that were diagnosed with a recurrent melanoma in the current reporting year.
KEET01,notachieving,Overall proportion of patients not achieving an MCID in NDI change score will be reported.
KEET01,overall,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported.
KEET01,operativeMCID,The proportion of patients not achieving an MCID in NDI change score will be reported.
KEET01,operativeRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported.
KEET01,nonOpMCID,The proportion of patients not achieving an MCID in NDI change score will be reported.
KEET01,nonOpRisk,A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported.
USWR31,likelyToHeal,"pressure ulcers likely to heal with conservative care,"
USWR31,mayHeal,"pressure ulcers which may or may not heal,"
USWR31,unlikelyToHeal,pressure ulcers which are unlikely to heal. The average of the three risk stratified buckets which will be the performance rate in the XML submitted.
USWR31,overall,The average of the three risk stratified buckets which will be the performance rate in the XML submitted.
USWR29,midfootHeel,Midfoot/heel
USWR29,toes,Toes
USWR29,overall,The average of the two risk stratified buckets which will be the performance rate in the JSON or XML file submitted.
IGR9,dyspnea,Percentage of stress echo studies presenting with an indication of unexplained dyspnea that include an interpretation of LV diastolic function parameters with exercise.
IGR9,aorticMitral,Percentage of stress echo studies presenting with significant aortic or mitral valve disease that include reporting of value function and regurgitation with exercise.
IGR12,mitralRegurg,"Percentage of transthoracic echocardiogram reports with at least moderate mitral regurgitation including qualitative MR severity, two quantitative MR measurements to support the qualitative severity grading, quantitative LVEF, one quantitative measurement of LV size at end diastole and end systole, AND blood pressure at time of study."
IGR12,stenosis,"Percentage of transthoracic echocardiogram reports with at least moderate aortic stenosis including peak velocity, mean systolic gradient, aortic valve area, quantitative LVEF, one quantitative measurement of LV size at end diastole and end systole, AND blood pressure at the time of study"
PP12,safetyPlanWithIn24hr,"The percentage of individuals for whom a suicide safety plan is initiated, reviewed, or updated in collaboration between the individual and their clinician (concurrent or within 24 hours of the index clinical encounter)."
PP12,overall,"The percentage of individuals for whom a suicide safety plan is initiated, reviewed, or updated (Numerator 1) AND reviewed and updated in collaboration between the individual and their clinician within 120 days after the index clinical encounter."
PP10,assessment,"Percentage of individuals who had a comprehensive index assessment using standardized tools to assess at least 3 of the following 6 domains: functioning, recovery, and symptom severity in depression, anxiety, substance use, and suicidal ideation and behavior."
PP10,monitorAt90Days,"Percentage of individuals who were monitored 90 days (+/- 30 days) from the comprehensive index assessment using standardized tools to assess functioning, recovery, or symptom severity in depression, anxiety, substance use, or suicidal ideation and behavior."
PP10,maintnCareAt180Days,"Percentage of individuals with documentation of a clinical decision to adjust or maintain their care within 180 days from the comprehensive index assessment using standardized tools to assess functioning, recovery, and symptom severity in depression, anxiety, substance use, or suicidal ideation and behavior."
USWR32,noRestrictions,Normal arterial supply based on testing- No restrictions on type of compression
USWR32,specialConsideration,"Compression bandaging with special considerations (e.g., short stretch bandaging, warnings to the patient to remove bandages if they feel too tight, etc.)"
USWR32,notRecommended,Compression bandaging not recommended
USWR32,overall,The average of the three risk stratified buckets which will be the performance rate in the JSON XML submitted.
IGR10,allViews,Percentage of comprehensive TTE studies reporting 100% obtainment of required views.
IGR10,poorQuality,Percentage of limited and comprehensive TTE studies where the study quality was poor or technically difficult that utilized contrast.
IGR10,pulmArtPressure,Percentage of comprehensive TTE studies reporting pulmonary artery pressures.
IGR10,diastolicFunction,Percentage of comprehensive TTE studies reporting of diastolic function.
IGR10,strainAnalysis,Percentage of limited and comprehensive TTE studies reporting cardiac function using strain analysis in patients receiving chemotherapy
