MVP Title,MVP ID,MVP Description,Most Applicable Medical Specialties,Clinical Topic,MVP Reporting Category,Measure Id
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PCMH
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PM_11
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PM_13
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PM_16
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PM_22
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PM_23
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PM_25
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Cost,COST_ACOPD_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Cost,COST_DEP_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Cost,COST_D_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Cost,COST_HF_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Cost,TPCC_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,479
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,484
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_EP_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_EP_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_EP_2_EX_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_EP_2_EX_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_HIE_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_HIE_4
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_HIE_5
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_HIE_6
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_INFBLO_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_LVITC_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_LVOTC_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_LVPP_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_ONCDIR_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PEA_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_1_EX_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_1_EX_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_1_EX_3
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_1_PRE
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_1_PROD
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_2_PRE
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_2_PROD
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_3
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_3_EX_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_3_EX_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_3_EX_3
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_3_PRE
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_3_PROD
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_4
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_4_PRE
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_4_PROD
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_5
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_5_PRE
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PHCDRR_5_PROD
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PPHI_1
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_PPHI_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Foundational,PI_ONCACB_1 
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,047
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,164
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,167
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,168
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,226
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,264
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,354
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,355
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,357
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,358
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,445
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,459
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,461
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,471
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Quality,487
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_AHE_3
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_AHE_9
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_BE_12
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_CC_15
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_CC_17
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_CC_18
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_PM_26
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_MVP
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_PCMH
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_PM_11
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_PSPA_7
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Improvement,IA_PSPA_8
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Cost,COST_CRR_1
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Cost,COST_FIHR_1
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Cost,COST_LSFDD_1
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Cost,COST_LPMSM_1
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Cost,MSPB_1
Surgical Care ,M1425,The Surgical Care MVP focuses on the clinical theme of surgery. ,General Surgery; Neurosurgery; Cardiothoracic Surgery; Anesthesiologists; Nonphysician Practitioners; Certified Registered Nurse Anesthetists; Nurse Practitioner; Physician Assistants,Surgical Care,Cost,COST_NECABG_1
