QCDR Vendor ID,QCDR Organization Name,Measure ID,Measure Title,Measure Description,NQS Domain,Numerator,Denominator,Denominator Exclusions,Denominator Exceptions,Numerator Exclusion,Number of performance rates to be included in the XML,"Indicate an Overall Performance Rate if more than 1 performance rate is to be submitted
Specify which rate will represent an overall performance rate for the measure or how an overall performance rate could be calculated based on the data submitted in the XML [for example, simple average of the performance rates submitted or weighted average (sum the numerators divided by the sum of the denominators), etc].",Measure Types,High Priority,Outcome,Inverse Measure (Y/N),Proportional Measure (Y/N),Continuous Variable Measure (Y/N),Ratio Measure (Y/N),Risk-Adjusted (Y/N),Is accepted by more than one QCDR,Primary Steward
4649789,AAD’s DataDerm™ (American Academy of Dermatology),"AAD1
",Psoriasis: Assessment of Psoriasis Disease Activity,"This measure evaluates the percentage of patients with plaque psoriasis with documented assessment of disease activity using a validated scale. 

 Percentage of patients with plaque psoriasis who have disease activity assessed by using one of the listed measures or validated instruments/ tools at least once during the performance period. ",Effective Clinical Care,A psoriasis patient’s disease activity is assessed and documented in the medical record using any of the listed measures or validated instruments/ tools at least once during the performance period.,All patients with a diagnosis of plaque psoriasis.,Patients with a psoriasis type other than plaque psoriasis (psoriasis vulgaris).,None,None,1,Current data for this measure has not been validated. Measures testing is in process and has not been finalized at this time.,Process,,,N,Y,N,N,N,No,AAD’s DataDerm™ (American Academy of Dermatology)
4649789,AAD’s DataDerm™ (American Academy of Dermatology),AAD2,Psoriasis: Screening for Psoriatic Arthritis,"Patients with psoriasis are at an increased risk of having psoriatic arthritis. This measure seeks for dermatologists to actively assess for psoriatic arthritis as to relieve symptoms, prevent structural damage, and improve quality of life. 

 Percentage of patients with diagnosis of psoriasis who are screened for psoriatic arthritis at least once during the performance period. ",Person and Caregiver-Centered Experience and Outcomes,Patients with psoriasis (any type) are screened for psoriatic arthritis by documenting in the medical record the presence or absence of joint symptoms at least once during the performance period.,All patients with a diagnosis of psoriasis.,Patients with existing diagnosis of psoriatic arthritis.,None,None,1,Current data for this measure has not been validated. Measures testing is in process and has not been finalized at this time.,Process,High Priority,,N,Y,N,N,N,No,AAD’s DataDerm™ (American Academy of Dermatology)
4649789,AAD’s DataDerm™ (American Academy of Dermatology),AAD3,Basal Cell Carcinoma/Squamous Cell Carcinoma: Mohs Surgery for Superficial Basal Cell Carcinoma of the Trunk for Immune Competent Patients,"This measure evaluates the number of inappropriately utilized Mohs surgeries to treat primary superficial basal cell carcinomas (BCCs) on the trunk in immune-competent patients. The assessment of inappropriate use of Mohs surgery will help to improve compliance with AUC and should result in healthcare savings. (Inverse Measure: Low count indicates better performance) 

 The percentage of immune‐competent patients with pathologically‐proven primary superficial basal cell carcinoma (BCC) lesions on the trunk (chest, back, abdomen) who are treated with Mohs surgery. ",Efficiency and Cost Reduction,Number of patients with pathologically‐proven primary superficial BCC of the trunk treated by the provider utilizing Mohs surgery [CPT 17313],"All pathologically-proven primary superficial basal cell carcinoma (BCC) lesions on the trunk (chest, back, abdomen) on immune-competent patients treated by the provider within the performance period. ","• Patients whose immune system is compromised by disease or active treatment of disease. 
 Examples of immunocompromised patients include but are not limited to HIV, organ transplant, hematologic malignancy, or pharmacologic immunosuppression. 
",None,"Tumors that have a pathologically documented mixed histology including a more aggressive histologic subtype, or a more aggressive tumor is found on any stage if Mohs surgery is performed.
Examples of pathology report documentation for this exclusion include but are not limited to:
o Pathology report states that it cannot exclude a deeper or more aggressive tumor histology for any reason other than because it is a partial biopsy sample
o Pathology report states that there is a collision tumor with another tumor that has a more aggressive histology",1,Current data for this measure has not been validated. Measures testing is in process and has not been finalized at this time.,Process,High Priority,,Y,Y,N,N,N,No,AAD’s DataDerm™ (American Academy of Dermatology)
4649789,AAD’s DataDerm™ (American Academy of Dermatology),AAD4,Basal Cell Carcinoma/Squamous Cell Carcinoma: Mohs Surgery for Squamous Cell Carcinoma in Situ or Keratoacanthoma Type Squamous Cell Carcinoma 1 cm or Smaller on the Trunk,"This measure evaluates the number of inappropriately utilized Mohs surgeries to treat pathologically-proven primary squamous cell carcinomas in situ (SCCis) of any size on the trunk and keratoacanthoma (SCC-KA) on the trunk that are 1 cm or smaller in immunocompetent patients. The assessment of inappropriate use of Mohs surgery will help to improve compliance with AUC and should result in healthcare savings. (Inverse Measure: Low count indicates better performance) 

 The percentage of immune‐competent patients with pathologically‐proven primary squamous carcinoma in situ (SCCis) lesions of any size on the trunk (chest, back, abdomen) or keratoacanthoma type squamous cell carcinoma (SCC‐KA) lesions 1 cm or smaller on the trunk (chest, back, abdomen) who are treated with Mohs surgery. ",Efficiency and Cost Reduction,Number of patients with pathologically‐proven primary SCCis or SCC‐KA lesions of the trunk treated by the provider utilizing Mohs surgery [CPT 17313],"All pathologically-proven primary SCCis or SCC-KA lesions on the trunk (chest, back, abdomen) that are 1 cm or smaller in immunocompetent patients treated by the provider within the performance period. ","* Patients whose immune system is compromised by disease or active treatment of disease. 
 Examples of immunocompromised patients include but are not limited to HIV, organ transplant, hematologic malignancy, or pharmacologic immunosuppression. 

 *Patients who have a genetic syndrome that increases their risk for skin cancer due to decreased immune response or abnormalities in the skin cell cycle. 
 Examples of genetic syndromes include but are not limited to Basal Cell Nevus Syndrome, Muir Torre Syndrome, Xeroderma Pigmentosus, Li Fraumeni Syndrome, and Bazex Syndrome. 

* Tumors in areas of previous radiation therapy. ",None,"Squamous cell carcinoma in situ (SCCis) tumors that have pathologically documented areas of dermal invasion, or dermal invasion is found on any stage if Mohs surgery is performed.
Examples of pathology report documentation for this exclusion include but are not limited to:
o Pathology report states that it cannot exclude a deeper or more aggressive tumor histology for any reason other than because it is a partial biopsy sample
o Pathology report states that there is a collision tumor with another tumor that has a more aggressive histology",1,Current data for this measure has not been validated. Measures testing is in process and has not been finalized at this time.,Process,High Priority,,Y,Y,N,N,N,No,AAD’s DataDerm™ (American Academy of Dermatology)
4649789,AAD’s DataDerm™ (American Academy of Dermatology),AAD5,Biopsy Reporting Time - Clinician to Patient,"Length of time taken from when a biopsy is performed to when a patient is notified by the biopsying physician that he or she has cutaneous basal or squamous cell carcinoma (including in situ disease). This measure evaluates the reporting time between the biopsying clinician and patient. 

 Percentage of patients with skin biopsy specimens with a diagnosis of cutaneous basal or squamous cell carcinoma (including in situ disease) who are notified of their final biopsy pathology findings within less than or equal to 14 days from the time the biopsy was performed. ",Efficiency and Cost Reduction,Number of cutaneous biopsies by the clinician consistent with basal cell carcinoma or squamous cell carcinoma (to include in situ disease) for which the patient was notified of their final biopsy pathology findings within 14 business days from the time when the biopsy was performed.,All cutaneous biopsies by the clinician consistent with cutaneous basal or squamous cell carcinoma (including in situ disease).,Pathology reports for tissue specimens produced from excision.,None,None,1,Current data for this measure has not been validated. Measures testing is in process and has not been finalized at this time.,Process,High Priority,,N,Y,N,N,N,No,AAD’s DataDerm™ (American Academy of Dermatology)
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",ARCO11,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation within 45 minutes of ED Arrival,"This measure calculates the percentage of acute ischemic stroke or hemorrhagic stroke patients who arrive at the ED within two hours of the onset of symptoms and have a head computed tomography (CT) or magnetic resonance imaging (MRI) scan interpreted within 45 minutes of ED arrival.  This measure is included in the CMS Hospital Outpatient Quality Reporting (HOQR) system measure portfolio. 

HOQR is a quality data-reporting program, implemented by CMS for outpatient hospital services. Under this program, hospitals report data using standardized measures of care to receive the full annual update to their Outpatient Prospective Payment System (OPPS) payment rate, effective for payments beginning in calendar year 2009. To meet HOQR Program requirements and receive the full Annual Payment Update (APU) under the OPPS, hospitals must meet administrative, data collection and submission, and data validation requirements. Participating hospitals agree that they will allow CMS to publicly report data for the quality measures (as stated in the current OPPS Final Rule). In the context of this quality measure reporting program, NQF #0661 is referred to as ´OP-23.´",Effective Communication and Care Coordination,"Number of emergency department acute ischemic stroke or hemorrhagic stroke patients arriving at the ED within 2 hours of the time last known well, with an order for a head CT or MRI scan whose time from ED arrival to interpretation of the Head CT scan is within 45 minutes of arrival.",Number of emergency department acute ischemic stroke or hemorrhagic stroke patients arriving at the ED within 2 hours of the time last known well with an order for a head CT or MRI scan.,"Patients who meet one or more of the following criteria should be excluded from the denominator: 
• Patients less than 18 years of age

(Refer to Measure Value Set Excel workbook, included in S.2b, for detailed information.)","Patients who meet one or more of the following criteria should be denominator exceptions: 
• Patients who expired
• Patients who left the emergency department against medical advice or discontinued care

(Refer to Measure Value Set Excel workbook, included in S.2b, for detailed information.)",None,1,N/A,Process,High Priority,,N,Y,N,N,N,No,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc."
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",ARCO12,Venous Thromboembolism (VTE) Prophylaxis,"This measure captures the proportion of ischemic or hemorrhagic stroke patients who received VTE prophylaxis or have documentation why no VTE prophylaxis was given on the day of or the day after hospital admission. This measure is a part of a set of eight nationally implemented measures that address stroke care (STK-2: Discharged on Antithrombotic Therapy, STK-3: Anticoagulation Therapy for Atrial Fibrillation/Flutter, STK-4: Thrombolytic Therapy, STK-5: Antithrombotic Therapy By End of Hospital Day 2, STK-6 Discharged on Statin Medication, STK-8: Stroke Education, and STK-10: Assessed for Rehabilitation) that are used in The Joint Commission’s hospital accreditation and Disease-Specific Care certification programs.",Patient Safety,Ischemic or hemorrhagic stroke patients who received VTE prophylaxis or have documentation why no VTE prophylaxis was given on the day of or the day after hospital admission.,Ischemic or hemorrhagic stroke patients,"•	Less than 18 years of age
•	Length of Stay < 2 days 
•	Length of Stay > 120 days 
","•	Comfort measures only documented on day of or day after hospital arrival
•	Enrolled in clinical trials related to stroke
•	Admitted for elective carotid intervention",None,1,N/A,Process,High Priority,,N,Y,N,N,N,No,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc."
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",ARCO13,Ischemic stroke patients management - ,"o This measure will be calculated with 4 performance rates:
Rate 1: The percent of ischemic stroke patients prescribed antithrombotic therapy at hospital discharge;
Rate 2: The percent of ischemic stroke patients prescribed anticoagulation therapy at hospital discharge Rate; 
Rate 3: The percent of ischemic stroke patients who had antithrombotic therapy administered by end of hospital day two; 
Rate 4: The percent of ischemic stroke patients with an LDL greater than or equal to 100 mg/dL, OR LDL not measured, OR who were on a lipid-lowering medication prior to hospital arrival who were prescribed statin medication at hospital discharge
",Effective Communication and Care Coordination,"Rate 1: Anticoagulation for ischemic stroke: the number of ischemic stroke patients prescribed antithrombotic therapy at hospital discharge.
Rate 2: Anticoagulation for ischemic stroke: the number of ischemic stroke patients with documented atrial fibrillation/flutter who were prescribed anticoagulation therapy at hospital discharge 
Rate 3: Anticoagulation for ischemic stroke: the number of ischemic stroke patients who had antithrombotic therapy administered by end of hospital day two.
Rate 4: Anticoagulation for ischemic stroke: the number if ischemic stroke patients with an LDL greater than or equal to 100 mg/dL, OR LDL not measured, OR who were on a lipid-lowering medication prior to hospital arrival who were prescribed statin medication at hospital discharge. 
",Ischemic stroke patients,"•	Less than 18 years of age 
•	Length of Stay > 120 days 
","•	Comfort measures only documented 
•	Enrolled in clinical trials related to stroke
•	Admitted for elective carotid intervention
•	Discharged to another hospital
•	Left against medical advice
•	Expired
•	Discharged to home for hospice care
•	Discharged to a health care facility for hospice care
•	Documented reason for not prescribing (1) antithrombotic therapy at discharge; (2)  anticoagulation therapy at hospital discharge; (3) antithrombotic therapy administered by end of hospital day two; (4) prescribed statin medication at hospital discharge",None,4,Sum Numerators,Process,,,N,Y,N,N,N,No,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc."
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",ARCO3,Antipsychotic Use in Persons with Dementia,The percentage of individuals 65 years of age and older with dementia who are receiving an antipsychotic medication without evidence of a psychotic disorder or related condition.,"Affordable Care: Overuse/Waste, Person- and Family-Centered Care","The number of patients in the denominator who had at least one prescription and > 30 days supply for any antipsychotic medication during the measurement period and do not have a diagnosis of schizophrenia, bipolar disorder, Huntington’s disease or Tourette’s Syndrome.",All patients 65 years of age and older continuously enrolled during the measurement period with a diagnosis of dementia and/or two or more prescription claims and >60 days supply for a cholinesterase inhibitor or an NMDA receptor antagonist.,None,None,None,1,N/A,Process,,,Y,Y,N,N,N,Yes,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc."
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",NOF12,Median Time to Pain Management for Long Bone Fracture,Median time from emergency department arrival to time of initial oral or parenteral pain medication administration for emergency department patients with a principal diagnosis of long bone fracture (LBF).,Effective Clinical Care,Time (in minutes) from emergency department arrival to time of initial oral or parenteral pain medication administration,Patients admitted to the emergency department with a diagnosis of long bone fracture who were administered oral or parenteral pain medications.,None,None,None,1,N/A,Process,High Priority,,N,N,Y,N,N,Yes,National Osteoporosis Foundation and National Bone Health Alliance
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",ARCO7,Laboratory Investigation for Secondary Causes of Fracture,Percentage of patients age 50 and over with fragility fracture who have had appropriate laboratory investigation for secondary causes of fracture ordered or performed prior to discharge from inpatient status.,Prevention and Treatment of Cardiovascular Disease: Healthy Lifestyle Behaviors,"Patients who have all the specified laboratory tests ordered or performed prior to discharge:

1.	Complete blood cell count (CBC)
2.	Kidney function test
3.	Liver function test
4.	Serum calcium
5.	25(OH) Vitamin D level OR Oral Administration of Vitamin D","Patients age 50 and over discharged from inpatient status with an ICD-9-CM Principal or Other Diagnosis Code of selected fractures as defined in Table 3.1 Vertebral Fracture, Table 4.1 Hip Fracture, or Table 5.1 Other Fracture","Exclusions are those patients with:
•	Age less than 50 years
","•  “Comfort Measures Only” documented
• Enrollment in a clinical trial pertaining to osteoporosis
• Laboratory testing performed in the prior 12 months
• Expired",None,1,N/A,Process,,,N,Y,N,N,N,No,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc."
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",ACR7,Gout: Serum Urate Target,"Percentage of patients aged 18 and older with a diagnosis of gout treated with urate-lowering therapy (ULT) for at least 12 months, whose most recent serum urate result is less than 6.8 mg/dL.",Effective Clinical Care,Patients whose most recent serum urate level is less than 6.8 mg/dL,Adult patients aged 18 and older with a diagnosis of gout treated with urate lowering therapy (ULT) for at least 12 months,None,Patients with a history of solid organ transplant,None,1,N/A,Process,High Priority,,N,Y,N,N,N,Yes,American College of Rheumatology - RISE Registry
5567664,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc.",ARCO14,Gout: ULT Therapy,"Percentage of patients aged 18 and older with a diagnosis of gout and either tophus/tophi or at least two gout flares (attacks) in the past year who have a serum urate level > 6.0 mg/dL, who are prescribed urate lowering therapy (ULT)",Effective Communication and Care Coordination: Quality of Life/Functional Status,Patients who are prescribed urate lowering therapy (ULT),Adult patients aged 18 and older with a diagnosis of gout and a serum urate level > 6.0 mg/dL who have at least one of the following: presence of tophus/tophi or two or more gout flares (attacks) in the past year,None,None,None,1,N/A,Process,High Priority,,N,Y,N,N,N,No,"Academic Research for Clinical Outcomes (ARCO) in Collaboration with ReportingMD, Inc."
