measureId,stratumName,description
AQI78,screenPositive,Rate 2: Patients with a positive cognitive screening or cognitively at-risk using a validated tool within 90 days of their elective surgical procedure received two or more perioperative best practices for the older adult applied to their care.
AVBC1,fewerthan2,Performance rate 1: Patients with fewer than two chronic conditions who achieve and maintain a resting heart rate of <110 beats per minute.
AVBC1,2ormore,Performance rate 2: Patients with two or more chronic condition who achieve and maintain a resting heart rate of <110 beats per minute.
AVBC1,overall,Performance rate 3: Combined populations
GIQIC23,overall,Rate 1: Overall percentage of procedures among average-risk patients aged 45 to 75 years receiving a screening colonoscopy with biopsy or polypectomy and pathology findings who had a follow-up interval consistent with US Multi-Society Task Force (USMSTF) recommendations for repeat colonoscopy documented in their colonoscopy report
GIQIC23,hyperPolyps&FollowUp,Rate 2: Percentage of complete and adequately prepped screening colonoscopies of average-risk patients aged 45 to 75 years with biopsy or polypectomy and pathology findings of only hyperplastic polyps for which a recommended follow-up interval of 10 years for repeat colonoscopy was given to the patient
GIQIC23,1-2adenoma&FollowUp,Rate 3: Percentage of complete and adequately prepped screening colonoscopies of average-risk patients aged 45 to 75 years with biopsy or polypectomy and pathology findings of 1-2 tubular adenoma(s) for which a recommended follow-up interval of not less than 7 years and not greater than 10 years was given to the patient
GIQIC23,3-4adenomas&FollowUp,Rate 4: Percentage of complete and adequately prepped screening colonoscopies of average-risk patients aged 45 to 75 years with biopsy or polypectomy and pathology findings of 3-4 tubular adenomas for which a recommended follow-up interval of not less than 3 years and not greater than 5 years was given to the patient
GIQIC23,5-10adenoma&FollowUp,Rate 5: Percentage of complete and adequately prepped screening colonoscopies of average-risk patients aged 45 to 75 years with biopsy or polypectomy and pathology findings of 5-10 tubular adenomas for which a recommended follow-up interval of 3 years was given to the patient
GIQIC23,neoplasm&FollowUp,"Rate 6: Percentage of complete and adequately prepped screening colonoscopies of average-risk patients aged 45 to 75 years with biopsy or polypectomy and pathology findings of Advanced Neoplasm (>= 10 mm, high grade dysplasia, villous component) for which a recommended follow-up interval of 3 years for repeat colonoscopy was given to the patient"
GIQIC23,serration&FollowUp,Rate 7: Percentage of complete and adequately prepped screening colonoscopies of average-risk patients aged 45 to 75 years with biopsy or polypectomy and pathology findings of Sessile serrated polyp >= 10 mm OR sessile serrated polyp with dysplasia OR traditional serrated adenoma who had a recommended follow-up interval of 3 years for repeat colonoscopy consistent was given to the patient
GIQIC26,overall,Rate 1: Simple average of Rate 2 and Rate 3
GIQIC26,male,Rate 2: The percentage of male patients aged 45 to 75 years with at least one conventional adenoma or colorectal cancer detected during screening colonoscopy
GIQIC26,female,Rate 3: The percentage of female patients aged 45 to 75 years with at least one conventional adenoma or colorectal cancer detected during screening colonoscopy
HM7,14to17,Rate 1: SUBMISSION CRITERIA 1: Patients aged 14-17 years of age on date of encounter
HM7,18to64,Rate 2: SUBMISSION CRITERIA 2: Patients aged 18-64 years and older on date of encounter
HM7,65over,Rate 3: SUBMISSION CRITERIA 3: Patients aged 65 years of age and older on date of encounter
HM7,overall,Rate 4: SUBMISSION CRITERIA 4: Patients aged 14 years of age and older on date of encounter
IRIS59,nocormorbid20/20,Rate 1: Eyes of patients with no comorbidities or additional procedures on the same date as the cataract surgery and a 20/20 or better post-operative best corrected distance visual acuity
IRIS59,comorbid20/200,Rate 2: Eyes of patients with comorbidities with a pre-operative visual acuity of 20/200 or better and a 2 lines or better improvement in the post-operative best-corrected distance visual acuity from preoperative visual acuity
IRIS59,comorbid20/400,Rate 3: Eyes of patients with comorbidities with a pre-operative visual acuity of 20/400 or worse and a 1 line or better improvement in the post-operative best-corrected distance visual acuity from pre-operative visual acuity
IRIS63,5ormoretreatments,"Rate 1: Percentage of patients with a diagnosis of exudative age-related macular degeneration, treated with 5 or more treatments of Anti-VEGF Agents over the reporting year, with a gain of 1 Snellen line or more (which is equivalent to 0.1 logMAR or more) of visual acuity within the past 12 months compared to pre-treatment. "
IRIS63,lessthan5treatments,"Rate 2: Percentage of patients with a diagnosis of exudative age-related macular degeneration, treated with 1 to 4 treatments of Anti-VEGF Agents over the reporting year, with a gain of 1 Snellen line or more (which is equivalent to 0.1 logMAR or more) of visual acuity within the past 12 months compared to pre-treatment."
